---||Bengaluru||Family makes Ganesha idols; has kept tradition on for 92 years||Come Ganesh Chaturthi and the Rao family of Mannagudda, is one of the busiest households in Mangaluru city. The Raos are popular for their aesthetic home-made Ganesha idols, which grace some of the biggest homes and pandals in the city. "My father Mohan Rao started making these idols over nine decades ago; this is our 92nd year," smiles Ramachandra Rao, 72, who is joined in this noble task by his brothers. "We learnt idol making from my father and he taught us the most delicate nuances of carving Ganesha idols. Even though we all pursued regular professions, this is something we will never let go of. My brothers and I are joined by our entire family during the festive season to make these idols. Our sons, daughters-in-law, grandkids and cousins, everyone comes home to lend a hand," Ramachandra tells us. This year, the family has made the highest number of idols thus far -- 230. In keeping with the pandemic, the family has requested all their patrons to collect the idols much before the festival to avoid rush hour and ensure social distancing. And if the idols are in such high demand even after all these decades, it's because the Raos do not compromise or cut corners when it comes to their idols. The clay for the idols comes from a field in Ganjimutt, on the outskirts of the city. The straw comes from a friend's farm. "During my father's time, we'd procure it from the paddy fields around Mangaluru but with these lands slowly disappearing, we had to fetch it from Ganjimutt," shares Ramachandra. Ask him about the debate around making eco-friendly Ganeshas and he quips, "We have always been making our idols out of clay which is the most eco-friendly material you can find. And unlike cities like Mumbai, we never use plaster of Paris and distemper. It's always eco-friendly paint sans lead, which will not harm the water body where you immerse the idol," states Ramachandra. On a parting shot, we ask him his opinion on innovative Ganeshas -- of him playing cricket, wearing a cap amongst others. "In South Kanara, we respect our Gods and traditions. These are sentiments that can't be played around with. Ganesha always sits and that is how we will always depict him. This is not a profession for us, but a sacred task," sums up Ramachandra.||http://timesofindia.indiatimes.com//city/bengaluru/family-makes-ganesha-idols-has-kept-tradition-on-for-92-years/articleshow/86062137.cms||Madhu Daithota
---||Aurangabad||PRO booked for stalking woman||Aurangabad: Based on the complaint lodged by a 24-year-old journalism student, the chief public relations officer (PRO) of a leading educational institution has been booked for stalking and outraging the modesty of a woman. Begumpura police station inspector Pradhant Potdar said an offence has been registered against the accused. “We have sent out teams to nab him,” he said. As per the complaint, the woman had opted for a thesis on a topic related to the Dr Babasaheb Ambedkar Marathwada University. She called the PRO to seek details sometime last week. The PRO gave her an appointment. After she reached his office, he helped her with the required documents. Then he offered to share some data over WhatsApp, and the student agreed. The woman has claimed that the PRO also asked her to remove her mask on the pretext of interaction. The suspect after sharing data started sending her late-night messages seeking her personal details. The accused allegedly sent her some vile messages and said he was interested in her. The woman not only objected to the messages but the next day, she went to his office to reason with him, only to find that this was not the first time that he made such advances. The woman has also alleged that the institute’s internal grievances committee discouraged her from pursuing the complaint. She lodged a complaint on Thursday.||http://timesofindia.indiatimes.com//city/aurangabad/pro-booked-for-stalking-woman/articleshow/86074582.cms||टाइम्स न्यूज़ नेटवर्क
---||Coimbatore||Chain snatchers get three-year prison term||Coimbatore: A district munsif-cum-judicial magistrate court here on Wednesday sentenced two chain snatchers to three years in prison.The Kunnathur police had arrested X Raja Mathew, 60, of Ganapathy and K Sheik, 31, of GM Nagar at Ukkadam for snatching a three-sovereign gold chain from Chinnammal, 68, wife of Palaniappan of Thanneerpandalpalayam near Kurichi Pirivu while she was herding goats on February 11, 2011. The duo also snatched a four-sovereign gold chain from N Chinnammal, 85, of Ketticheviyur village near Kunnathur in 2011. The chain snatchers were also slapped a fine of Rs 1,000 each.TNN||http://timesofindia.indiatimes.com//city/coimbatore/chain-snatchers-get-three-year-prison-term/articleshow/86079365.cms||---
---||Pune||Selfie, painting contests, Ganesha art & live darshan on Times Bappa||PUNE: It is time to bring your beloved Bappa home, forget the pandemic blues and show how Ganeshtosav can be celebrated with the same fervour while following all safety precautions. Last year, amid the pandemic, The Times of India found an innovative way of celebrating the festival with its readers. The initiative was well received with more than 1.2 lakh users across Pune, Mumbai and Nagpur interacting on the special website. This year, we are scaling up the “TimesBappa” celebrations by adding interactive sections and engaging contests. All you have to do is visit www.TimesBappa.com either on your laptops or cellphones, create and customize your own Ganapati avatar using various options of idols, backgrounds, décor, sweets, fruits and the other paraphernalia. Your ‘Bappa’ can be shared with friends and family via social media platforms like WhatsApp, Facebook and Twitter. Multiple Bappa creations can be designed and decorations of your idol can be changed every day. On the last day, a digital Visarjan can be done. We have added new contests this year. For Selfie with Bappa, click a selfie with your idol and submit as an entry and get votes. You can paint or draw your own Bappa and submit your original artworks to get votes. Ganesh mandals that have put up pandals following all the pandemic restrictions imposed by the civic body and government can share Bappa’s image with all the details and get votes. The best Bappa creations and contest entries will be published weekly in TOI. Most voted contest entries will win amazing vouchers every day and a leader board will be visible on the website which will list top voted entries. The pandemic may have restricted the celebration, but you will not miss attending the aarti or darshan of your favourite Bappa. We have the ‘Live Darshan and Aarti’ tab which will live stream aartis from famous pandals/temples around the city. But that is not all. Since Lord Ganesha is the patron of all arts, we have arranged a digital art gallery this year. Around 100 artworks from renowned artists around the country have been added in this section. TOI in partnership with ArtZolo.com also gives you an opportunity to become an esteemed owner of a Bappa masterpiece from the collection on display.||http://timesofindia.indiatimes.com//city/pune/selfie-painting-contests-ganesha-art-live-darshan-on-times-bappa/articleshow/86081638.cms||---
---||Aurangabad||Malpractice in recruitment exam: 4 held||Aurangabad: The police arrested four people for getting someone else to appear for the police driver recruitment exam on their behalf in Aurangabad city on Wednesday. The city police carried out the recruitment examination at 10 different centres in the city. Of 3,360 who had that applied, 1,491 appeared for the exams. In all, six accused have been booked in two offences registered with the Satara and MIDC Cidco police stations. In the offence registered with the Satara police station, a 17-year old girl, who was caught impersonating, has been sent to the juvenile welfare home. Police inspector Surendra Malale said, “At the MIT engineering college centre, the police caught the teenaged girl while trying to impersonate the woman candidate Pooja Diwekar.” The police detained the minor and arrested Diwekar and their male accomplice Akash Rajput. They were produced before the court on Thursday and remanded to two days police custody. The police are on the lookout for another accused, who was allegedly helping them. In the second offence, registered with the MIDC Cidco police station, a candidate Rahul Rathod (23) was arrested after he was caught using hidden devices. Police have also arrested his cousin Satish, who was help him.||http://timesofindia.indiatimes.com//city/aurangabad/malpractice-in-recruitment-exam-4-held/articleshow/86074624.cms||टाइम्स न्यूज़ नेटवर्क
---||Coimbatore||Shopping frenzy hits city on eve of Vinayaka Chaturthi||Coimbatore: The flower market in the city was crowded on the eve of Vinayaka Chaturthi on Thursday, as a large number of people turned out to buy Ganesh idols and other puja items.Shopkeepers said the crowd was negligible till 4pm. But people started thronging the market when they got out from workplaces late in the evening. Social distancing norms went for a toss at the market. “Because of the sheer number of people, we could not control them,” a shopkeeper said.Flower vendors said the situation wasn’t much different on Wednesday. Flower prices, meanwhile, shot up because of the huge demand. Jasmine, which was sold at Rs 400 a kg, was priced at Rs 1,400 on Wednesday. Similarly, prices of other flowers too had skyrocketed.H Azath, a trader, said the price had slightly come down on Thursday, when jasmine was sold at anywhere between Rs 800 and Rs 1,000 per kg. He said mullai was priced at Rs 600 per kg, seventhi (chrysanthemum) at Rs 120 (per kg), oleander at Rs 250 (per kg), button rose at Rs 230 (per kg) and a rose bunch (20 flowers) at Rs 120.“The price dropped on the day because of the increase in supply and lower demand compared to the previous day. Most of the traders had purchased flowers in bulk on Wednesday itself,” he said.Vinayaka idol sellers were also happy as they could sell more idols this year. Last year, they could sell only a fraction of the idols that they had made because of the restrictions in place. G Selvam, an idol seller at the flower market, said, “The sales are encouraging this year and we expect around 70%-80% of the usual sales this time.”Areas such as Ganapathy, Singanallur, Thudiyalur and Vilankurichi also witnessed a large crowd, who turned out to purchase idols and puja items.B Maragatham, a resident of Ganapathy, said the idols were priced high this year. “But it wasn’t a deterrent, as I spent on it only once a year. We usually visit a temple to celebrate the festival. This time, we are planning to restrict the celebrations to home because of the restrictions in place.”||http://timesofindia.indiatimes.com//city/coimbatore/shopping-frenzy-hits-city-on-eve-of-vinayaka-chaturthi/articleshow/86079440.cms||V Devanathan
---||Delhi||Delhi to soon get 2 multi-level bus parking facilities||NEW DELHI: The national capital will soon get multi-level bus parking at Delhi Transport Corporation’s Hari Nagar and Vasant Vihar bus depots, transport minister Kailash Gahlot announced on Thursday. “This multi-level bus parking facility will be yet another world-class, state-of-the-art public transport infrastructure that the Arvind Kejriwal model of governance will give to the people of Delhi,” Gahlot said in a statement. “This facility, built on a self-sustaining model, will undoubtedly put Delhi in the list of world’s top cities in public transport and transport infrastructure,” he added. The project, which aims to develop these two depots at prime locations into world-class depots with up to three times the current parking capacity as well as retail spaces, will be executed by National Buildings Construction Corporation Limited (NBCC). Construction of these first-of-its-kind multi-level bus depots will start by the end of this year and will be completed in a phased manner by 2024, the government said. The depots at Hari Nagar and Vasant Vihar can accommodate 100 and 230 buses each, respectively. The Delhi government said in a statement that these depots would be able to accommodate 330 and 400 buses each over four and seven-floor depots after the redevelopment. These depots will also account for basement parking of over 2.6 lakh sqft, accommodating over 690 cars and retail spaces. DTC had signed an MoU with NBCC in October 2020, according to which NBCC will act as project management consultants for development of its major land parcels in various locations across Delhi, for multi-level bus parking depots, redevelopment of residential colonies of DTC and more commercial facilities. DTC’s residential colonies in Shadipur and Hari Nagar are also being redeveloped into residential units along with retail and commercial facilities. According to the statement, these depots are designed with a vibration isolation system by use of steel helical springs, after noise and vibration impact analyses and a 45° angle for maximum parking efficiency. Various other features such as washing pits, electric charging stations, will also be incorporated at these sites, the government said.||http://timesofindia.indiatimes.com//city/delhi/city-to-soon-get-2-multi-level-bus-parking-facilities/articleshow/86079432.cms||---
---||Nagpur||NMC ropes in sculptors to identify PoP idol sellers||Nagpur: For the first time in the city, the civic body has roped in idol-makers to nab plaster of paris (PoP) idol sellers. Despite the ban on the sale of PoP idols, it continues to be sold openly in the city under the garb of pure clay idols. Since the last few years, TOI has been doing on-ground survey with officials of Nagpur Municipal Corporation (NMC) and members of NGO Green Vigil Foundation. Every year, it was found that sellers would lure customers to buy PoP idols by presenting them as ones made by ‘shadu mitti’. Having no mechanism in place to identify the difference between PoP and pure clay idols has always been a major cause of concern of environmentalists. To overcome this hurdle, mayor Dayashankar Tiwari has formed a committee of 20 idol-makers who are accompanying NMC officials in raids, helping them identifying PoP and pure clay idols. “The idol-makers have been distributed different zones. On Wednesday, the team seized nearly 200 PoP idols and seized fine of Rs 2 lakh,” he said. The mayor further informed that the civic body had first sought help from the Maharashtra Pollution Control Board (MPCB). “Since NMC has no expertise in identification, we approached the board which cited that it is short-staffed and it’s responsibility is to only make rules. On getting no support from them, we came up with this first-of-its-kind initiative of involving idol makers who have the best expertise,” added Tiwari. As reported by TOI, the Nagpur bench of Bombay high court permitted the makers to sell their products only as PoP objects and not as idols. “The sellers need to inform the buyers that the idols are not intended for any kind of worship, nor are they intended to be immersed in any natural or artificial water body,” the court observed. Nodal officer of the NMC’s sanitation department Dr Gajendra Mahalle informed that the NMC has been taking action since September 6. “The action will continue till September 11,” he said. However as per experts, a large number of PoP idols were already sold. “To ensure that the ban is implemented, NMC should start taking action at least a month before. During the raid, we found many makers selling last year’s stock of idols, 80% of which were of PoP,” said Kaustav Chatterjee, founder of NGO Green Vigil Foundation.||http://timesofindia.indiatimes.com//city/nagpur/nmc-ropes-in-sculptors-to-identify-pop-idol-sellers/articleshow/86079510.cms||Manka Behl
---||Delhi||Jio-bp, BluSmart to kick off EV charging in NCR||New Delhi: Jio-bp, Reliance Industries Ltd’s fuel retail and new-age mobility solutions joint venture with British energy major bp, has teamed up with BluSmart, an all-electric ride-hailing startup, to set up a network of commercial scale charging stations for electric vehicles (EVs) in the country.NCR, BluSmart’s largest market, will be the first to get the network, with Jio-bp setting up EV charging stations capable of accommodating 30 EVs, a company statement said in a statement on Thursday without giving the number of stations planned or a timeline for their rollout.The network will be gradually expanded to other cities, with focus on urban areas where EVs are more common. The stations will serve passenger EVs and fleets. This will be in line with BluSmart’s plan to expand its network into other major cities across India.The partnership is yet another step taken by the Reliance group’s bid to fast-track an EV ecosystem and create a market for new-age mobility products such as energy storage batteries it proposes to make under a $10 billion green energy play.Last month, Reliance-bp Mobility entered into a pact with the country’s largest food aggregator Swiggy for adoption of EVs, including electric two-wheelers, for deliveries. Jio-bp is taking the partnership route with leading OEMs (original equipment makers), technology, and platform players to emerge as an integrated EV infrastructure player, with a format-specific approach for all vehicle categories.BluSmart has been disrupting the mobility landscape through its all-electric fleet, providing reliable, zero-surge and zero-tailpipe emission ride-hailing service in the NCR. “Leveraging bp’s learnings from the UK with bp Pulse, where they have the country’s largest EV charging network, and from Germany through their Aral brand, Jio-bp intends to bring in the latest in EV technology to our consumers,” the statement quoted company CEO Harish C. Mehta as saying.“EV superhubs are the future of EV charging as it provides seamless charging access to consumers and ride-hailing fleets and we will be jointly building some of the largest EV Superhubs in the world,” the statement quoted BluSmart co-founder Anmol Jaggi as saying.||http://timesofindia.indiatimes.com//city/delhi/jio-bp-blusmart-to-kick-off-ev-charging-in-ncr/articleshow/86079409.cms||Sanjay Dutta
---||Coimbatore||Corpn engineers, town planning dept to stop building plan violations together||Coimbatore: Ward-level and zonal-level engineers of the city corporation will now work with the town planning section officials to check building plan violations and encroachment of corporation lands.Town planning section is responsible for approving building plans, regularising buildings constructed in violation of rules and clearing encroachments. With the limited human resources, the officials are struggling to meet the work expectation. Engineering wing staff are expected to help them meet the requirements.Henceforth, ward-level engineers will act against buildings constructed without permission and in violation of the permission issued by the local body. They will help to safeguard the properties belonging to the civic body including roads, public places and open space reserve lands. They will also help to identify derelict buildings and demolish them.“The engineers will inspect buildings even during the foundation state to check whether it is being constructed adhering to the design approved by the corporation. Regularizing buildings after they are constructed in violation of rules is a difficult task for the civic body, which also involves litigations. Moreover, owners of the property might also find themselves in trouble later,” a corporation official said.“Activists have been urging the civic body to remove encroachments from OSR lands. With more hands, we can speed up such work,” he added.||http://timesofindia.indiatimes.com//city/coimbatore/corpn-engineers-town-planning-dept-to-stop-building-plan-violations-together/articleshow/86079430.cms||---
---||Pune||Pune: Ganapati comes home on 10-day sojourn amid great enthusiasm||PUNE: Neither the fear of a possible third wave nor the showers could dampen the spirit of citizens who enthusiastically visited shops selling Ganpati idols to bring home their favourite Bappa on Thursday evening. Areas such as Mandai, Kumbar Wada, and the Peth areas witnessed heavy footfall since morning. There was a palpable excitement in the air as people geared up for the ten-day festival, starting Friday.  Karve Road on Thursday“It is nice to see people out and about, gearing up for the festival this year. Though we were happy being amidst the hustle and bustle, we were cautious about maintaining a safe distance and keeping our masks on,” said Siddharth Patil, resident of Sadashiv Peth. “Last year, we could not celebrate any festival properly. This year, we plan to make up for it,” said Rohan Tanksale, a resident of Kedarinagar. Debasmita Roy, a resident of Magarpatta, said, “My husband and I came from Kolkata 25 years ago and settled down here. Since then, we have been celebrating the festival. We initially kept the idol only for five days, but over the last few years we have been keeping it for all ten days of the festival.” Pramod Jain, a resident of Mundhwa, said, “We decorate our puja room with flowers. All of us also attend the aarti at each other’s home.”||http://timesofindia.indiatimes.com//city/pune/ganapati-comes-home-on-10-day-sojourn-amid-great-enthusiasm/articleshow/86081663.cms||Anjali Jhangiani
---||Ahmedabad||New transporters to speed up work||Ahmedabad: The National High-Speed Rail Corporation Limited (NHSRCL) will acquire 20 indigenously designed and manufactured full span launching equipment-straddle carrier and girder transporters to expedite the construction of elevated corridor for Mumbai-Ahmedabad High Speed Rail corridor. The new transporter is the proven technology in metro and similar projects. Work has already begun on 325km (in Gujarat) of 508km corridor between Mumbai and Ahmedabad. More than 97% of land has been acquired for the project in Gujarat and Dadra & Nagar Haveli and 30% land in Maharashtra. For the construction of viaduct superstructures of 508km long, Mumbai-Ahmedabad High-Speed Rail Project (MAHSR), the state-of-the-art construction methodologies like full span launching methodology (FSLM) will be adopted. This technology will speed up launching girders as the precast girders of full span length will be erected as a single piece for double track viaduct. FSLM is used world over as it is faster than the segment by segment launching method, usually adopted for the construction of viaducts for metro system. NHSRCL is also preparing detailed project reports for seven high speed rail corridors. With the experience of execution of Mumbai-Ahmedabad High Speed Rail project, the works of other corridors will be faster.||http://timesofindia.indiatimes.com//city/ahmedabad/new-transporters-to-speed-up-work/articleshow/86079462.cms||---
---||Pune||Low patent & research scores keep Pune colleges out of top NIRF ranks||PUNE: Savitribai Phule Pune University (SPPU) slipped a spot yet again to finish 20th in the list of top 100 institutes overall in the country. The rankings were declared by the ministry of education’s National Institutional Ranking Framework (NIRF) on Thursday. The university retained its position as the number one state university from Maharashtra with Mumbai University coming second at 96. Compared with last year, there has been a mixed response as many institutes slipped, while some climbed in the rankings. Parameters such as perception, patents-filed, financial resources and their utilisation for students among others pulled most of the institutes in the city down. Principals also said that the competition has increased this year as more colleges have registered. Educators said the ban on teacher-recruitment in the colleges leading to recruitment of temporary staff had affected various marking parameters in NIRF. Symbiosis International climbed up in its rankings compared with last year. However, the university too suffered in various parameters such as filing of patents, earnings via research funding, consultancy work and the percentage of students (mostly socially or economically challenged) being provided full tuition fee reimbursement by the institution to pursue their degree programmes. Pro chancellor Vidya Yeravdekar said, “We have set up the IPR cell two years ago and our patents have risen. However, generally, patents are high in engineering-focused institutes. Our engineering college is also building up now on filing patents. We have done well in research as compared to earlier years.” Bharati Vidyapeeth Deemed University’s College of Engineering at the 96th rank among engineering colleges said that the competition is increasing every year as more colleges are participating every year. Making it to the top 100 list when more than 1,500 colleges participated of which there are 20 IITs, 30 NITs and more than 50 good government colleges itself is an achievement, Anand Bhalerao, principal of BVDU CoE, said. Vice-chancellor Nitin Karmalkar said there are two main reasons for slipping in the ranking. “Since the university campus was closed due to Covid-19 pandemic and following restrictions, the number of students coming from foreign countries have reduced. Various programmes which involved foreign faculty have also not happened due to Covid-19 restrictions,” he added. SPPU, IISER in top 50 for research:SPPU and IISER have featured in the top 50 institutes for research. Indian Institute of Sciences tops the list and there are 6 institutes from Maharashtra with IISER, Pune securing the 16th rank and SPPU securing the 37th rank. Ranks in other streams, except for architecture:Despite the city having a fair share of the country’s professional and conventional colleges, there seems to be very little representation in the top 100 institutes in various categories given by NIRF, except in engineering verticals. There is no architecture college from the city to feature in the list, while management, pharmacy verticals have two colleges each in the top 100 list. There is one college each in the medical, law, dental, college list too. “Council of Architecture (COA) is the highest governing body for all architectural institutions. To date, COA approvals were the prime focus of all architectural institutions. COA had mentioned some years ago that no other approval is necessary and that it is coming up with its own accreditation platform. Hence, many institutions had not signed up for NAAC too till recent times. NIRF ranking was never required in architectural institutions and its awareness is also limited on architectural scenarios. Hence, representation of architectural institutions is not seen in NIRF. BNCA is applying for NIRF this year as soon as the next window for application opens up,” Anurag Kashyap, principal of Bhanuben Nanavati College of Architecture said. Fergusson slips to lowest ranking since 2017:Fergusson College is the only one from the city which has featured in the top 100 list of colleges but its ranking has slipped to the lowest since a separate college category was introduced by the NIRF in 2017. However, it still is the only college from the city to feature in the list and also scores very high in terms of academic peers and employers perception parameters.||http://timesofindia.indiatimes.com//city/pune/low-patent-research-scores-keep-pune-colleges-out-of-top-nirf-ranks/articleshow/86079444.cms||Ardhra Nair
---||Delhi||Court raps cops for adding IPC section later in NE riot case||New Delhi: Delhi Police cannot cover up its flaw of invoking a penal section against a man for an act that was not initially mentioned by the complainants by recording their supplementary statements, a court has said in a case related to the northeast Delhi riots. It further said the court was conscious of the fact that cases of communal riots had to be considered with utmost sensitivity, “but that does not mean that common sense should be given a go-by”. Mind has to be applied even at the stage of framing of charges with regard to the material available on record, it added.Additional sessions judge Vinod Yadav said the offence under IPC Section 436 (mischief by explosive substance with intent to destroy house) was not made out against Javed in the case related to alleged looting of houses and shops.The judge noted that though one of the complainants had later alleged that after looting his house, the riotous mob had set the same on fire; he did not say a word about it in his initial written complaint based on which the case FIR was registered. “It is only when his statement under Section 161 CrPC was recorded by the investigating officer on 6.03.2020 that ingredients of Section 436 IPC for the first time came into fore and the same were accordingly invoked in the chargesheet,” the judge pointed out. “I am afraid that the investigating agency cannot cover up the said flaw by way of recording the supplementary statements of complainants, if the ingredient(s) of Section 436 IPC was not there in their initial written complaints made to the police,” ASJ Yadav said. The court added that a fine-tooth comb analysis of their respective written complaints also failed to invoke the ingredients of IPC 436. There was also no eyewitness, CCTV footage or photograph of the incident, it pointed out.The judge also said that till date, police had not been able to apprehend any other accused and the investigating agency hadn’t progressed a bit since the accused was granted bail in July last year.||http://timesofindia.indiatimes.com//city/delhi/court-raps-cops-for-adding-ipc-section-later-in-ne-riot-case/articleshow/86079451.cms||Usha Das
---||Coimbatore||Two more school students test positive for Covid-19||Coimbatore: Two more students have tested positive for Covid-19 in the district, taking the total number of infected students to 10. Among the new cases is a Class IX girl from the government higher secondary school at Arasur. A health official said the girl, who tested positive on Thursday, was asymptomatic. However, she was admitted to the ESI Hospital for observation.She is the second girl student to be tested positive for Covid-19 from the school. Earlier, a Class XI girl had contracted the virus. An education department official said the classrooms were disinfected by sanitary workers with the local body. “The school will be opened as usual on Monday after the puja holidays.”The remaining new case is a Class XII girl from a private matriculation school at Ramanathapuram. A health official said the girl did not have any major complications.“There is no need for the parents to panic, as all precautionary measures are in place to curb the spread from one student to another. Random testing is being widely carried out to detect the infection among the students in the early stages of infection. Isolating the infected students is helping us curb the spread,” the official said.A private school teacher from Annur had tested positive for the virus earlier.||http://timesofindia.indiatimes.com//city/coimbatore/two-more-school-students-test-positive-for-covid-19/articleshow/86079407.cms||---
---||Delhi||EOW files case on DoT complaint as firm refuses to hand over IMEI data||New Delhi: Economic Offences Wing (EOW) of Delhi Police on Wednesday registered a case on the complaint of Department of Telecommunications (DoT) against Mobile Standard Alliance of India (MSAI) for allegedly not providing data related to international mobile equipment identity (IMEI) certificates to the government.Additional commissioner of police (EOW) R K Singh said a case had been registered. According to police, to prohibit the import of mobile phones with duplicate, fake and non-genuine IMEI, DoT issued a standard operating procedure (SOP) in 2015. It was implemented by the government through the IMEI cloning and duplication restriction (ICDR) system that was operated by MSAI, erstwhile reporting body of London-based GSMA. Since 2015, MSAI was responsible for the operations in India. “From April 29, 2019, another organisation took over the charge for GSMA reporting body in India for TAC (type allocation code). TAC is the first eight digits of IMEI,” the complainant told police. Later, DoT sent a letter to MSAI stating it was not allowed to operate ICDR. It was further asked to submit all data related to IMEI certificates, imported devices and user account details of brands, manufacturers, importers and customs officers. According to police, in reply, MSAI wrote the project was given to GSMA and MSAI, so mutual understanding and consent of both parties were required for further process. DoT, in 2020, wrote another letter asking MSAI to provide data along with confirmation regarding the closure of ICDR operations. “MSAI informed DoT that due to the lockdown, its office was closed and it wasn’t able to process any request. The DoT allowed MSAI to provide data within seven days of lifting of lockdown in Delhi,” the complainant said, adding that no response was given by MSAI. DoT, in August 2020, gave the final opportunity to MSAI, but it failed.Later, a DoT official filed the complaint and a case was registered under various sections of the IPC following an investigation. Investigators are also probing whether IMEI certificates were generated by MSAI after they were directed to close ICDR operations.||http://timesofindia.indiatimes.com//city/delhi/eow-files-case-on-dot-complaint-as-firm-refuses-to-hand-over-imei-data/articleshow/86079484.cms||Abhay Singh
---||Ahmedabad||Prime Minister to inaugurate Sardardham Bhavan on Saturday||AHMEDABAD: Prime Minister Narendra Modi will virtually inaugurate Sardardham Bhavan, developed by Vishwa Patidar Samaj, on Saturday, September 11. He will also perform the groundbreaking ceremony for the second phase of the project. The first phase of Sardardham Bhavan has been completed at an estimated cost of Rs 200 crore. Spread over 7.19 lakh square feet, the state-of-the-art Sardardham Bhavan houses hostels for 800 boys and 800 girls. It has a library with a capacity of 1,000 students, an auditorium with 450 seats, two multi-purpose halls with capacities of 1,000 persons each, indoor games, and other amenities. It also has a gymnasium and healthcare unit for students. Sardardham president Gagaji Sutariya said a girls hostel that will accommodate 2,500 students will be built, at a cost of Rs 200 crore, under the second phase of the Sardardham project. “Sardardham initiatives are aimed at the country’s overall development, and we are fortunate that Prime Minister Narendra Modi will perform the inauguration as well as the groundbreaking ceremony for the two projects,” he said.||http://timesofindia.indiatimes.com//city/ahmedabad/prime-minister-to-inaugurate-sardardham-bhavan-on-saturday/articleshow/86079502.cms||---
---||Coimbatore||Hair loss after Covid infection worries people||Coimbatore: People in the city seem to be worried about post-Covid hair loss. Sources with the tele counselling unit at the district collectorate told TOI that they were receiving at least five to seven phone calls from the people facing the problem after recovering from the viral infection. C Radhiga, medical officer at the counselling centre, said some women were facing severe hair fall after Covid-19 treatment. “We have advised them to take high-protein food, including boiled eggs. After four to five months, they could control the hair loss.” Pointing out that only a few people were treated with steroids for the infection, the officer said the hair loss issue was common to people after Covid infection. “At least five to six of the 20 calls that we receive a day raise the issue of hair loss. Stress is one of the factors for this. I have advised them to take a nutritious diet daily and do small exercises.”The tele counselling unit provides support to the public by addressing queries related to Covid-19 and mental health. Set up on June 24, it functions from 8am to 8pm on all days.“Many people contact us asking about vaccination schedules and doubts over getting inoculated. They often share with us their traumas. At least 307 families who lost one or two members to the infection have contacted us. They were in tears. Many people have lost jobs as well because of the pandemic situation. We are trying to instil in them confidence and hope,” said M Iniyavan, a member of NGO ActionAid India. tnn||http://timesofindia.indiatimes.com//city/coimbatore/hair-loss-after-covid-infection-worries-people/articleshow/86079458.cms||A Subburaj
---||Mumbai||Mumbai: Ban on pandal-hopping starts today, police ordered to be polite but firm||MUMBAI: The Mumbai police issued prohibitory orders under section 144 of the Code of Criminal Procedure on Thursday, banning the assembly of more than five persons at public places between September 10 and 19 during Ganeshotsav. Alongside, a notification said Ganpati ‘mukh darshan’ by visiting pandals will be prohibited between September 10 and 19. The notification, signed by deputy police commissioner S Chaitanya, will be applicable within the jurisdiction of the Mumbai police commissionerate. No processions will be permitted for welcoming the Ganpati idol or bidding farewell. “Violation of this order will invite action under section 188 of the IPC and other existing laws,” the notification said. The state home department has issued instructions, in a separate order on September 8, that only online darshan or darshan by way of electronic media would be permitted. Addressing personnel in a video, police commissioner Hemant Nagrale said Covid infections have started picking up. “Enforcement of guidelines could be tough and is likely to invite the wrath of citizens but you need to be calm and keep your cool. Do not use a harsh tone while speaking to people but ensure that the law is followed... Keep your eyes and ears open and look out for situations that are out of the ordinary,” Nagrale said. He added that nakabandis, combing operations and crackdowns on hotels flouting rules should continue. Guidelines require the height of household Ganpati idols to be capped at two feet and sarvajanik idols to be capped at four feet. No cultural programmes or performances will be permitted. Only five people have been permitted to gather for Ganpati pooja and 10 for visarjan. The 10 people involved in visarjan should all be doubly vaccinated and 15 days should have passed after taking the second dose, according to BMC guidelines.||http://timesofindia.indiatimes.com//city/mumbai/mumbai-ban-on-pandal-hopping-starts-today-police-ordered-to-be-polite-but-firm/articleshow/86079520.cms||---
---||Coimbatore||79 detained under Goondas Act||Salem: The city police are slapping the Goondas Act on repeated offenders to bring down crime rates.Of the 79 Goondas Act cases, 45 were registered between June 1 and September 9, police commissioner Najmul Hoda said. While 10 people were detained for burglary, six were held for Pocso offences, one each for bootlegging and black marketing, two for drug peddling and 14 for immoral trafficking till May.Flesh trade is rampant in Salem city, Hoda said. “The racket is being run under the guise of spas,” he said. “We started a crackdown in the first week of August and slapped the Goondas Act on people involved in flesh trade, the highest in the history of Salem city police.”||http://timesofindia.indiatimes.com//city/coimbatore/79-detained-under-goondas-act/articleshow/86079479.cms||---
