31-10-2021||News||Mind The Gap | Report card: What is it like for girls being back in school?||THE BIG STORY
31-10-2021||Noida||Noida: Road safety month begins from Nov 1||The Gautam Budh Nagar traffic police will launch the road safety month from November 1, aimed at raising awareness among the public about the traffic rules. Ganesh Prasad Saha, deputy commissioner of police (traffic), Gautam Budh Nagar, said that the traffic police observe November as safety month every year. “We have planned various initiatives in November. We will visit different schools and colleges and organise programmes to create awareness about traffic rules among students. We will also conduct enforcement and ensure all the motorcycle riders wear helmets. The pillion riders are also required to wear helmet, otherwise they will be fined,” he said. The inauguration programme will be held at the commissionerate office in Noida’s Sector 108 on Monday.The officials said that they will also engage some people to volunteer with the traffic police in managing traffic on busy roads. The traffic personnel will also be provided training at a private hospital to know what to do as the first respondent to an accident victim, they said. The state government has already announced to pay ₹2,000 to the good Samaritans who help road accident victims reach hospital and save lives. Saha said the police will not question the good Samaritans who help the road accident victims. “We will reward them for their noble works,” he said.||https://www.hindustantimes.com/cities/noida-news/noida-road-safety-month-begins-from-nov-1-101635701184680.html
31-10-2021||Noida||Greater Noida: ₹12 crore for improving Dadri road||The Greater Noida authority has decided to spend ₹12 crore on a one-km stretch of the Dadri-Surajpur-Chhalera (DSC) road to deal with waterlogging problems during the monsoon. The commuters using the road have been complaining of traffic congestion between Kulesra and Sector Ecotech 3 due to the waterlogging at these two points. The 30-km DSC road, also known as Dadri road, begins from Noida-Delhi border at Sector 14A and ends at Dadri after passing through Greater Noida. Dozens of residential and industrial areas are located along this route. The authority’s chief executive officer, Narendra Bhooshan, has approved a plan that suggests making channels so that rainwater can be emptied into Hindon river.“We have approved a fund of ₹12 crore to resolve the waterlogging issue, so that the commuters do not face inconvenience. The authority will soon float a tender to hire an agency for the project,” said Bhooshan.According to the officials, the authority will spend ₹4.66 crore on laying of water pipeline from Kulesra to Haldoni, where it will empty the water into Hindon, and ₹7.34 crore will be spent on construction of four sump wells in Sector Ecotech 3.“During rainy season when waterlogging takes place, these four sump wells will help drain out the water into Hindon river,” said AK Arora, general manager of the authority.Residents said that they have been complaining of this issue for a long time. “The authority has been promising action on the waterlogging issue for the past several years, but nothing has happened. We hope that the issue will be addressed this time,” said Pawan Chaudhary, a resident of Kulesra.||https://www.hindustantimes.com/cities/noida-news/greater-noida-12-crore-for-improving-dadri-road-101635700885078.html
31-10-2021||Mumbai||Coastal Road: BMC yet to pay forest department ₹74 crore for marine conservation||The Brihanmumbai Municipal Corporation (BMC) has not fully complied with the terms of coastal regulatory zone (CRZ) clearance granted to its coastal road project, as it is yet to deposit at least ₹74 crore with the state forest department for “conservation of coastal and marine biodiversity”. As per a special condition laid down by the union environment ministry’s CRZ expert appraisal committee in 2017, the BMC is required to pay the Mangrove Foundation of Maharashtra 2% of the project cost to offset the Coastal Road’s environment impact.Officials in the BMC’s coastal roads department, including the chief engineer, deputy chief engineer and executive engineer, did not respond to calls seeking comment on Sunday.Officials in the state forest department’s mangrove cell, however, confirmed that the BMC is yet to pay this amount in entirety. They also said that the BMC has not officially conveyed to the forest department their total cost of the project as on date, making it difficult to exact the payable amount as per updated project costs.“We have asked the BMC to deposit ₹254 crore with us, which is two percent of the total project cost of about ₹12,700 crore, based on newspaper reports. I do not know how much the total project cost is because the BMC has never intimated us about the same,” said Virendra Tiwari, additional principal chief conservator of forests (APCCF), mangrove cell. Of the ₹254 crore, the BMC has so far deposited only ₹150 crore, despite it being mandatory for the entire amount to be paid “on or before commencement of construction”.In 2017, when the project cost was estimated to ₹5,303 crore, the forest department had written to the BMC in June that year asking the latter to deposit a sum of ₹106.6 crore as per the conditions of the CRZ clearance. Of this, the BMC deposited an initial tranche of ₹25 crore on June 12, 2019. Due to escalation of the project cost, the amount to be paid toward coastal and marine conservation has also increased. In October 2020, Tiwari wrote to the environment department with the subject “Non-compliance of... CRZ clearance awarded to MCGM for Mumbai Coastal Road project”.Soon after the MCZMA allowed the additional land to be reclaimed (on December 2) in a post-facto approval, the BMC deposited another tranche of ₹150 crore with the Mangrove Foundation on December 11, 2020, leaving an outstanding of ₹74 crore. The entire amount is to be added to the corpus fund of the Mangrove Foundation, which generates a certain amount of interest every year that is used in running the organisation (which is an autonomous society under the state forest department). “This is a clear violation of the terms of the CRZ clearance, which clearly said that the amount should have been deposited before commencement of construction. The BMC has had to be reminded on multiple occasions, in June 2017 and then February 2019, to deposit the money. The BMC did not show any intention of paying the amount until they needed permission to reclaim additional land,” said Devendra Tandel, president of the Akhil Maharashtra Machimaar Kruti Samiti (AMMKS), who obtained these details via RTI last week.This alleged violation is the third in a string of non-compliances that fisherfolk and experts have highlighted in recent weeks, amid protests by Worli fisherfolk against the project. Over 100 boats from Worli Koliwada have been parked in the alignment of the Coastal Road-Sea Link interchange since early Saturday, disrupting construction work. Fishers have alleged that the project will cut them off from their customary fishing grounds and will force them to shut down Cleveland Bunder, an artisanal fishing port in Worli Koliwada which is at least a 100 years old and houses between 40 to 60 boats. They also say that movement of barges and tugboats in their customary waters has damaged over 60 fishing nets, each costing between ₹70,000 to 1,00,000, and disrupted their activities.In a letter to authorities including the chief minister on October 25, Koli community leaders from the Worli Koliwada Nakhwa Vyavsay Sahakari Society (WKNVSS) wrote, “One of the specific conditions of the Maharashtra Coastal Zone Management Authority (MCZMA) clearance dated January 4, 2017, was as follows: ‘BMC to ensure that no fishing activity is hampered during construction and operation phase of the project’. Thereafter the final CRZ clearance dated May 11, 2017, was granted by the MoEFCC (Union environment ministry), subject to the following specific condition: ‘Bridges with navigable spans will be provided by the project proponent as committed, so that there are no obstructions to fishing boats’.”In an earlier development, the Akhil Maharashtra Machimaar Kruti Samiti (AMMKS), a state-wide fishworkers’ collective, which has pledged their support to Worli Koliwada’s fisherfolk, also took up this issue with the Maharashtra State Road Development Corporation (MSRDC). The latter had in March 2017 provided a no objection certificate (NOC) for the coastal road project to BMC, which is subject to compliance with 14 statutory conditions. “In the 14th condition, MSRDC clearly wrote that if fisherfolk are obstructed from doing their business, and if fisherfolk recorded any objections, it will be considered as violating the terms of the NOC,” said Devendra Tandel, president, AMMKS.The BMC has also been accused of violating the NOC given to the Coastal Road project by the fisheries department, which contains a similar clause. “Despite all these clearances, which assured fisherfolk that our livelihoods will not be impacted, what has transpired in reality is the complete opposite. We will continue our protest and not allow construction work to continue until our demands for a redesign of the coastal road-sea link interchange is met,” said Nitesh Patil, president, WKNVSS.A senior official in the fisheries department, however, said they are aware of the NOC violation by the BMC and will be deliberating on the matter in the next few days. “If there is a violation, an appropriate resolution will be found for the fishermen,” the official said, seeking anonymity.||https://www.hindustantimes.com/cities/mumbai-news/coastal-road-bmc-yet-to-pay-forest-department-74-crore-for-marine-conservation-101635699805783.html
31-10-2021||Mumbai||33% land for bullet train project acquired in Maharashtra||The National High Speed Rail Corporation Limited (NHSRCL) has completed acquisition of 33% of land in Maharashtra for the Mumbai-Ahmedabad bullet train corridor – the pet project of Prime Minister Narendra Modi.As per the information provided by NHSRCL, of the 432 hectares (ha) of land required for the project in Maharashtra, 143ha or 33% of land has been acquired. In Gujarat, 1,084.48ha of the required 1,396ha has been acquired. In Dadra and Nagar Haveli, the acquisition is about 97%, with 933.52ha of the required 955ha been acquired for the corridor.Chief minister Uddhav Thackeray had earlier questioned if the bullet train project was of any benefit to the state. The Maharashtra Vikas Aghadi (MVA) had appeared “non-committal” on the project after coming to power in 2019.“Land acquisition is going on in Maharashtra and we are expecting to speed up the process and acquire more land in the coming months for the project,” said a senior NHSRCL official.By September, NHSRCL – the authority that will soon undertake the construction of the Mumbai-Ahmedabad bullet train project – had acquired 30% of land in the state.To push the acquisition process, Union minister of state for railways, Raosaheb Danve, had visited Mumbai last month and interacted with senior officials from NHSRCL, Western Railway, collectors of Palghar, Raigad and Thane districts as well as state government officials. He had also directed the officials to work on increasing the pace of acquisition of the land.The construction work of the bullet train corridor project has started in Gujarat and the first phase between Surat and Bilimora is expected to open by 2026. Of the total 508.17km route of the bullet train, 155.76km is in Maharashtra, 384.04km is in Gujarat and 4.3 km is in Dadra and Nagar Haveli.The estimated cost of the project is ₹1.10 lakh crore, of which ₹88,000 crore will be funded by Japan International Cooperation Agency (JICA).||https://www.hindustantimes.com/cities/mumbai-news/33-land-for-bullet-train-project-acquired-in-maharashtra-101635699804437.html
31-10-2021||Mumbai||Western Railways sets up infotainment screens in Mumbai local trains||In a bid to increase its revenue, the Western Railway (WR) has introduced infotainment screens in compartments of eight local trains.The project is part of a non-fare revenue scheme and around 20 local trains will be fitted with such infotainment screens in the coming future.The infotainment devices are LCD screens that have been placed inside the local train compartment that is displaying commercial advertisements along with awareness initiatives and information related to the people at large and railways.“The initiative has been taken under non-fare revenue model and will fetch the railways ₹65 lakh per annum and around ₹3.45 crore for a period of five years as per the contract. The feedback from the passengers has been positive and encouraging,” said Sumit Thakur, chief public relation officer, WR.Earlier, the Central Railway (CR) had also planned to install infotainment hotspot devices that would enable passengers to view movies, soap operas, audio-video songs inside the local train compartments. The commuters will be able to stream movies, soap operas inside the compartment with the help of a mobile application.Presently, luxury trains are operating on the Indian Railways have pre-loaded infotainment device contents provided on LCD devices.The hotspot devices are also being introduced. The Railway Board, an apex body of all zonal railways, has issued directives to the 18 zones of Indian Railways to increase its revenue.||https://www.hindustantimes.com/cities/mumbai-news/western-railways-sets-up-infotainment-screens-in-mumbai-local-trains-101635699744583.html
31-10-2021||Lucknow||Ayodhya woman banker’s death: Two cops among three booked for abetment of suicide||A First Information Report (FIR) was registered against three people, including two police officers, under Section 306 of Indian Penal Code (IPC) for abetment of suicide on Saturday night in connection with the death of a 30-year-old woman bank officer who was found hanging in her rented accommodation in Khawaspura area of Ayodhya district late on Friday night, said senior police officials here on Sunday.While answering media queries over allegations against two police officers mentioned in the victim’s suicide note, senior superintendent of police (SSP), Ayodhya, Shailesh Pandey said three names were mentioned in the note and that the city Kotwali police had registered the FIR against them on the complaint of the victim’s family. He said the exact reason for her alleged suicide could not be ascertained and further probe into the matter was going on.The SSP said the woman’s body was brought down in the presence of her family members and videography of the entire proceedings had been done. He said the body was later handed over to the woman’s family after its post-mortem examination. The hand written note recovered from the woman’s room had been seized for its forensic examination, he added.In the FIR, the victim’s family alleged that the victim’s marriage was fixed with one Vivek Gupta but she cancelled it after discovering that he had some habits. Still, Gupta used to make calls to her over phone and trouble her, they alleged. They said the woman had held responsible Gupta and two police officers for her extreme step.The woman (now deceased) had been working with the Punjab National Bank since 2017 and had been living in a rented house in Ayodhya. She belonged to Rajajipuram locality in Lucknow.||https://www.hindustantimes.com/cities/lucknow-news/ayodhya-woman-banker-s-death-two-cops-among-three-booked-for-abetment-of-suicide-101635699144481.html
31-10-2021||Lucknow||Lucknow Run 2021: People in large numbers take part in event||People in large numbers participated in the “Lucknow Run half marathon-2021”, the third edition of the event, held at GD Goenka Public School here on Sunday. Organised by “The Centrum”, an urban lifestyle club, in association with Krida Bharti, Uttar Pradesh, the event was in in four categories of 21, 10, 5 km and 3 km.“Through this event, we want to spread the message of good health and prosperous lifestyle among people. One of the main objectives of this half marathon is to promote the culture of sports in the country and also to make them aware of ensuring the good health of their surroundings and environment,” said Sarvesh Goel, organiser of the “Lucknow Run” and managing partner of “The Centrum”.While the 21-km half marathon started at 5:30am, 10-km run at 6am and 5 km and 3 km fun runs got under way at 7am. The 21-km half marathon was flagged off by ADG police Lucknow, Binod Singh while the 10-km run was flagged off by ADG, Lucknow zone, SN Sabat and additional chief secretary Anil Kumar.The 5-km and 3-km fun runs were flagged off by BJP state president Swatantra Dev Singh; UP minister Swati Singh; MLC Avanish Kumar Singh and commissioner, Lucknow division, Ranjan Kumar. More than a thousand people took part in ‘Lucknow Run 2021’. All the winners and participants too were awarded medals and certificates.
31-10-2021||Mumbai||50% of IAS to be women; men should not be without jobs: Maharashtra governor||In a statement that is likely to spark controversy, Maharashtra Governor Bhagat Singh Koshyari has said that he predicts that in the next two-three decades, 50% of India’s bureaucrats would be women. He also expressed “concern” that men would be “without jobs” and could get involved in “destructive” activities. The governor was addressing vice-chancellors and senior professors at the convocation ceremony of Dr Panjabrao Deshmukh Krishi Vidyapeeth last week, where he also added that there needs to be a “balance” in the society.“Earlier, we saw that girls were behind and we had to bring them ahead, so we made efforts. Even today, we say educate the girl [through programmes such as] ‘Beti Padhao, Beti Bachao’. In reality, we can see that girls are doing a good job today. It’s my prediction, and I have shared it with many people, that in the next 20-30 years, 50% of IAS [officers] will be women due to their sincerity. It shouldn’t be so that our young boys are without jobs, [they] shouldn’t get into destructive things. A balance must remain [in the society], and we must think on these lines,” the governor said, while addressing the convocation ceremony last week.The Maharashtra Vikas Aghadi (MVA) government and Raj Bhavan have been at loggerheads over several issues in the past two years. The ruling MVA is likely to use Koshyari’s statement to trouble him. Maharashtra State Commission for Women (MSCW) chairperson Rupali Chakankar said that the body would study the statement made by the governor and decide if any action is required.“The progress of women and girls is a matter of pride and needs to be encouraged. I think the state women commission will minutely study the statement made by the governor. We will then think if any action is required,” she said. Chakankar added that the governor’s statement was “disappointing”. “We in public life try to change the opinion of society on such issues. If such a statement came from the governor, then it’s disappointing. Don’t understand why women are repeatedly regarded as secondary citizens through such statements,” she told a regional news channel.||https://www.hindustantimes.com/cities/mumbai-news/50-of-ias-to-be-women-men-should-not-be-without-jobs-maharashtra-governor-101635698424279.html
31-10-2021||Lucknow||Restaurant owner dies days after being shot at in UP’s Lucknow||Three days after he was allegedly shot at and injured by two people over some reasons yet to be ascertained, a 47-year-old restaurateur succumbed to his injuries at the trauma centre of King George’s Medical University here on Sunday morning, police said.The victim, Jaswinder Singh aka Romi, ran a restaurant, Chik Chik, which served non-vegetarian food. He was shot at and injured by two car-borne assailants at the cash counter of his restaurant located in Chander Nagar area under Alambagh police station on Wednesday midnight, said assistant commissioner of police (ACP), Alambagh, DK Singh.He further said a First Information Report (FIR) under Section 307 (attempt to murder) of the Indian Penal Code (IPC) was lodged against the two people identified as Neeshu and Jaspreet on the basis of the victim’s statement given to police before his death.As per the ACP, Romi had suffered a bullet wound on his chest and had been undergoing treatment at the trauma centre of King George Medical University since then. He said the FIR would now be altered into the IPC Section 302 for murder. He said two suspects had been taken into custody and efforts were on to arrest the attackers.Another police officer privy to the investigation said the police had recovered two empty shells from the crime scene and collected the footage of the CCTV installed at the restaurant in which the incident had been recorded.“Before his death, Romi had mentioned the names of Neeshu and Jaspreet in his statement. Neeshu is said to be illegal liquor supplier while Jaspreet runs a medicine shop,” he said and added that “The exact reason behind the attack is still not ascertained.”The officer said three teams, including the crime team of deputy commissioner of police, central and electronic surveillance teams had been deployed to trace the assailants.||https://www.hindustantimes.com/cities/lucknow-news/restaurant-owner-dies-days-after-being-shot-at-in-up-s-lucknow-101635697824218.html
31-10-2021||Other||Punjab must review meagre relief for cotton growers: Sukhbir||Mohali Shiromani Akali Dal (SAD) president Sukhbir Singh Badal on Sunday asked chief minister Charanjit Singh Channi to review the meagre compensation offered to cotton growers, whose entire crop had been destroyed by Pink Bollworm attack. “Farmers have been demanding a compensation of ₹50,000 per acre, but the Congress government is offering a measly compensation of only ₹2,000 for up to 35% crop damage and ₹5,400 for up to 75% crop damage. The officials also want to ensure they put maximum farmers in this category. This effectively means that even a meagre compensation of ₹12,000 per acre for 100% crop damage will not be available to farmers,” Sukhbir, in town for a road show, from the Siswan T-point to the Marble Market in Mullanpur along with party candidate from Kharar Ranjit Singh Gill. Prem Singh Chandumajra accompanied him. Sukhbir also criticised Channi for failing to even register a protest against the appointment of 1984 genocide perpetrator Jagdish Tytler to a top Congress panel. Asserting that the Congress government had not only back-stabbed cotton farmers, Sukhbir alleged that even farm labourers had been cheated. “The government has defrauded farm labourers by offering them 10% of the total compensation award. No frame work has been made for distribution of this award. We reject this injustice with farm labourers and demand that they be given flat compensation of ₹15,000 per acre.”The SAD president also asked the CM to leave photo-ops and start working for the welfare of the people. “You have only two months at your disposal. You should use them to mitigate the suffering of the people and implement the promises made by your party. Instead of doing this, you are solely indulging in publicity gimmicks.” Interacting with a cross-section of people in Kharar, Sukhbir said it was astonishing that in spite of proximity to Chandigarh, the town did not have all modern amenities. In Nayagaon, he announced that it would be developed on the pattern of New Chandigarh by making it a part of the new township, if the SAD-BSP alliance came to power.||https://www.hindustantimes.com/cities/others/punjab-must-review-meagre-relief-for-cotton-growers-sukhbir-101635697465579.html
31-10-2021||Lucknow||Priyanka Gandhi attacks BJP government over Lakhimpur Kheri, Gorakhpur incidents||Congress general secretary Priyanka Gandhi Vadra on Sunday reiterated a series of poll promises and lashed out at the Bharatiya Janata Party (BJP) government in Uttar Pradesh over the Lakhimpur Kheri violence that claimed eight lives on October 3. She also raked up the Kanpur realtor murder case in Gorakhpur in September and the alleged shortage of fertilizers in Lalitpur.The Congress leader was addressing her party’s pratigya rally in Gorakhpur on the 37th anniversary of the assassination of her grandmother and former Prime Minister Indira Gandhi.“You may have seen (it) time and again. In Lucknow, Vivek Tiwari was shot dead by police. In Gorakhpur, Kanpur businessman Manish Gupta was brutally murdered by police. Neither criminals nor policemen are under control here in UP,” she said.(Apple executive Vivek Tiwari was allegedly shot by constable Prashant Chaudhary near Maqdoompur police outpost, under Gomti Nagar police station limits, in Lucknow on the intervening night of September 28-29 in 2018 when he was in an SUV with an ex-colleague. On September 27, 2021, Kanpur-based realtor Manish Gupta died after a police raid on a Gorakhpur hotel. Six policemen were booked for murder after the Gorakhpur incident.)Priyanka, who greeted the crowd in Bhojpuri, also said, “Things have happened against the ‘vaani’ (teachings) of Guru Gorakhnath.”Guru Gorakhnath is worshipped at the Gorakhnath temple of which Yogi Adityanath is the chief priest.She alleged there was harassment of all sections of the society, including dalits and backwards under the BJP government. Inflation has made survival difficult for people and farmers are debt ridden, she alleged.She also criticised the Samajwadi Party (SP) and the Bahujan Samaj Party (BSP) over charges that the Congress was in league with the BJP.Priyanka questioned the “silence” of both the parties and their absence from the ground. The Congress alone was fighting for the poor and the oppressed, she said.“I will die but I won’t ever tie up with the BJP,” she said.She also attacked Union home minister Amit Shah for his recent remark that law and order under the Yogi government has improved to an extent that now binoculars are needed to search criminals. “When Shah was saying this who was standing by him on stage? It was (Union minister of state for home) Ajay Mishra whose son unleashed brutality on farmers in Lakhimapur Kheri. So, he doesn’t need binoculars but the right spectacles,” she said. Ajay Mishra’s son Ashish Mishra, the main accused in the Lakhimpur Kheri case, was arrested on October 9.Reaching out to the Nishad community, she announced that a university would be set up in Gorakhpur named after Guru Machhendra Nath and fisheries will be given the status of agriculture if the Congress is voted to power.She reiterated the Congress would give 40% of the party tickets to women in the UP assembly polls. The party has pledged to provide jobs to 20 lakh (0.2 million) youths, free smart phones to class 12 pass girls and free scooties to graduate girls, besides promising to waive farmers’ loans.“The entire loans of the farmers will be waived. Wheat and paddy will be purchased at ₹2,500 per quintal, while sugarcane will be purchased at ₹400 per quintal. The problem of stray cattle will be resolved on the lines of Chhattisgarh, and a complete solution will be evolved,” she said.The Congress general secretary added that government jobs will be given to 20 lakh youths, while contractual workers will be regularised.The anganwadi workers will get an honorarium of ₹10,000, and women will get three free cylinders in a year, she promised.“Apart from this, if voted to power, our government will bear the cost of treatment of any illness up to ₹10 lakh,” she said. She also said that ₹25,000 will be given to families who have lost their livelihood due to Covid-19.||https://www.hindustantimes.com/cities/lucknow-news/priyanka-gandhi-attacks-bjp-government-over-lakhimpur-kheri-gorakhpur-incidents-101635697464309.html
31-10-2021||Pune||SPPU to conduct offline examinations from next semester onwards||PUNE The Savitribai Phule Pune University (SPPU) will conduct examinations “offline” for its next semester. This will be the first offline exams of the SPPU since pandemic started. Primary preparations have gun with a detailed plan to be drawn up for the offline exams. On December 15, an important meeting of the SPPU’s examination department will happen at which the detailed planning of the offline exams will be decided. The SPPU’s next semester commences from January 2022.Due to the Covid-19 pandemic all examinations held by the university have been online. Now as the state government has allowed college and university campuses to reopen for fully vaccinated students, exams will also have to given offline. “At a recent meeting held by the university about conducting offline exams for the next semester was discussed. It was unanimously decided to conduct it in offline mod. Detailed planning will start after the Diwali vacations,” said Mahesh Kakade, SPPU examination and evaluation department head. “Our next meeting will be held on December 15, where we will be taking a Covid review in the state and also of students in colleges. Accordingly, a further decision about how to conduct the exam will be taken. It will include for how many hours – one or two, oral examination or by multiple-choice questions (MCQs),” Kakade added.||https://www.hindustantimes.com/cities/pune-news/sppu-to-conduct-offline-examinations-from-next-semester-onwards-101635696805479.html
31-10-2021||Mumbai||Cruise drug bust case : Munmun Dhamecha, Arbaaz Merchant walk out of jail too||Arbaaz Merchant and fashion designer Munmun Dhamecha the two other accused who were arrested by the Narcotics Control Bureau (NCB) along with actor Shah Rukh Khan’s son Aryan Khan in the cruise drug bust case were released from Arthur Road jail and Byculla Women’s Prison, respectively, on Sunday.While the trio had been granted bail by the Bombay high court (HC) on Thursday,Dhamecha and Merchant had to wait till Sunday to ensure that all formalities were completed. Aryan was released on Saturday. The HC had imposed 14 conditions for grant of bail. Dhamecha’s lawyers will be making an application before the NCB seeking permission for her to travel to Madhya Pradesh, her hometown.Inspector general of police (prison) Ankush Shinde said, “As soon as the paper works were completed Arbaaz Merchant and Munmun Dhamecha both were released”.Dhamecha’s lawyer Kaashif Khan said, “After the formalities of surety and legal paperwork were completed in the session court on Saturday, we got the release memo around 7.30pm and it was dropped in the letterbox at Byculla women’s prison on the same day. She was released around 11am from jail on Sunday”.“I am filing an application before the NCB seeking permission to allow her to travel to Delhi and Madhya Pradesh as per the condition from the Bombay high court. Her permanent hometown is in Madhya Pradesh, while she lives in Delhi,” the lawyer said.Her passport was already seized by NCB while they conducted a search at her Delhi house, added Khan.Superintendent Nitin Vychal of the Arthur Road jail said, “Arbaaz Merchant was released around 11:30am on Sunday from the jail after the paperwork was completed”.The HC had in its detailed order asked Aryan, Merchant and Dhamecha to appear before the NCB’s Mumbai office every Friday between 11am to 2pm to mark their presence. Khan said, “Now Dhamecha is staying in Mumbai and her brother’s friends are helping her as she has to report every Friday in the NCB office. But soon we will be filing an application for modification and relaxation of conditions in the HC order because she does not have a house here in Mumbai”.On Friday afternoon, the HC made available its operative order, in which it imposed 14 bail conditions on Aryan, Merchant and Dhamecha, stipulating their release on a personal bond of ₹1 lakh each, with one or two sureties of the same amount.Arbaaz Merchant’s father advocate Aslam Merchant said, “My son was released from jail at 11:45am on Sunday. After coming out of jail Arbaaz’s first question was where was his mother?. His mother Aisha Merchant, 48, was waiting in the car about 25 meters away from the jail’s main gate, he then ran to the car and hugged her”.“Arbaaz has lost almost seven kilograms of weight during his confinement in jail. He is mentally fine but has anxiety problems. He was nervous on Saturday as he was stuck one more day after Aryan Khan was released” said Merchant. On October 2, the NCB officers stepped aboard a cruise ship anchored at the International Cruise Terminal at Green Gate. Cordellia was set to make its way to Goa before 22 officers led by the agency’s Mumbai zonal director Sameer Wankhede began to search passengers and rooms, based on a tip-off. The team apprehended 14 persons, including Aryan Khan, the 23-year-old son of actor Shah Rukh Khan, Aryan’s friend Arbaaz Merchant and fashion designer Munmun Dhamecha.The haul included multiple drugs: 13 grams of cocaine, 5 grams of mephedrone, 21 grams of charas, and 22 pills of MDMA (ecstasy). A sum of ₹1.33 lakh was also recovered from the cruise. Merchant purportedly admitted to carrying 6g of charas in a plastic pouch tucked away in his shoe.Later that evening, all 14 were brought to the NCB office at Ballard Pier in south Mumbai where NCB officers checked their WhatsApp chats, mobile call details and interrogated them for 12 hours. At 2pm on October 3, Khan, Merchant and Dhamecha were put under arrest along with five others for alleged involvement in consumption, sale, purchase and attempt to commit an offence under various sections of the Narcotic Drugs and Psychotropic Substances (NDPS) Act.||https://www.hindustantimes.com/cities/mumbai-news/cruise-drug-bust-case-munmun-dhamecha-arbaaz-merchant-walk-out-of-jail-too-101635696804175.html
31-10-2021||Lucknow||6 more Zika virus cases in Kanpur, CM asks for strict surveillance||Six more people tested positive for the Zika virus in Kanpur on Sunday taking the tally to 10 in the district. Chief minister Yogi Adityanath has asked the health department to ensure strict surveillance to check the spread of the disease, officials said.Instructing officials to increase the focus on controlling infectious diseases, the chief minister said frequent and extensive door-to-door sanitisation and fogging drives should be undertaken to stop the breeding of mosquitoes. “People should be made aware of the preventive measures and must be encouraged to maintain cleanliness,” Yogi Adityanath instructed during a high-level meeting with senior officials in Lucknow on Sunday.The tally has increased to 10 patients in Kanpur, confirmed Kanpur’s chief medical officer Nepal Singh.All of the fresh cases are among the civilians, unlike earlier when three of the four patients were Indian Air Force (IAF) personnel. One of the new patients is a pregnant woman, who has been put under round-the-clock observation.The Kanpur chief medical officer said the area within a three kilometre-radius of a fever patient’s location would be screened. The patient would be monitored for 14 days.“We have increased the sampling and the area to a radius of three km from the earlier two for our operations,” he said.The Uttar Pradesh government will further intensify comprehensive surveillance and implement stringent containment curbs on the breeding of mosquitoes, said a state government press statement.“Since the confirmation of the state’s first Zika virus case on October 22, the testing of samples at a large scale is being carried out to remove the risk of any further spread. So far, a total of 645 samples have been sent to KGMU. Of them, 253 samples have been collected from people with symptoms of fever, 103 samples are of pregnant women,” the statement said.“Out of 507 samples tested, only nine people have tested positive for Zika virus while one patient tested positive from the samples that were sent to NIV Pune. A total of 10 patients have been found infected with the Zika virus so far in Kanpur district of the state,” the statement added.The health department teams have found Zika breeding larva in a park just across the street from one of the patients in Shyam Nagar, Kanpur. He tested positive on Saturday along with two IAF personnel. This patient is in the decoration business and has travelled several times since he started complaining of fever, said the health officials.Additional director (health) GK Mishra said all necessary steps were being taken to contain the spread. Apart from the IAF station, Pokharpur, Pardevanpurwa, Shyam Nagar, Tiwaripur, Om Purwa, Adarsh Nagar, Jagai Purwa localities and parts of Jajmau in Kanpur were being rigorously screened, he said.“We have pointed out 117 mosquito breeding points in these localities and they all have been destroyed. Fifty Malaria control teams are constantly looking out for such points for source reduction,” said Singh.But the anti-larva spray wasn’t effective on the mosquitoes, said a member of the malaria control team.The health teams have found 70 people suffering from fever in Tiwaripur and nearby localities. All of them have been isolated in their houses, said the officials.The people were being advised strongly to use mosquito nets and look for mosquitoes and the places where they could breed. Teams of specialists camping in Kanpur have asked for strict observation of people suffering from fever and special care of pregnant women. At present, 70 teams are visiting 8,000 households with a checklist being used for screening.“People need to protect themselves from the mosquitoes and destroy the source of their breeding in their houses,” the CMO said.Zika is a mosquito-borne virus that spreads through the bite of an infected Aedes species of mosquito named Aedes aegypti. According to the World Health Organisation, Aedes mosquitoes usually bite during the day, peaking during early morning and late afternoon or evening.Meanwhile, in view of the Zika virus cases in Kanpur, health department teams have sent 84 more mosquitoes to National Malaria Research Institute (NMRI), New Delhi by the Shatabdi Express in special boxes. The scientists would genetically analyse these mosquitoes to learn the presence of the Zika virus in them and its lethality. Earlier, the genetic report of 34 mosquitoes caught in Pardevanpurwa and Pokharpur came out negative. These mosquitoes were netted inside the IAF station where the malaria control teams suspect the mosquitoes bred in the storage facility between two hangars. Chief medical officer, Nepal Singh, confirmed sending the mosquitoes to NMRI Delhi for a genetic study, which he said, was crucial.||https://www.hindustantimes.com/cities/lucknow-news/6-more-zika-virus-cases-in-kanpur-cm-asks-for-strict-surveillance-101635696625784.html
