14-10-2021||News||Mind The Gap | The cost of being a modern working woman||The Big Story: The dreaded modern woman
14-10-2021||Lucknow||SCDRC penalises pvt airline for forcing passenger off plane||The State Consumer Disputes Redressal Commission (SCDRC) has imposed a fine of ₹85.5 lakh on IndiGo Airlines. The penalty was imposed by SCDRC member Rajendra Singh on the complaint of poor services and misbehavior made by Vinay Shankar Tewari, a contractor and the Bahujan Samaj Party (BSP) MLA from Chillupar assembly constituency of Gorakhpur.Of the total fine, ₹35 lakh was awarded as compensation, ₹50 lakh for causing mental agony and ₹50,000 as expenses of the case along with interest. Tewari, had booked a ticket from Lucknow to New Delhi on IndiGo flight number 6 E -141 on April 15, 2013, from an online air ticket booking portal. Tewari’s flight from Amausi airport in Lucknow was scheduled at 10.50am. He reached the airport and boarded the flight but just before the takeoff, the cabin crew reportedly informed Tewari that his ticket had been cancelled. In his complaint Tewari said he was forcibly removed from his allotted seat 5A. Tewari was told by the online booking portal that his ticket was valid even though IndiGo authorities informed him that that his ticket was cancelled by one Shailendra at around 7.38am, hours before the scheduled take off. During proceedings of the case, the SCDRC held that even if the ticket was presumed to be cancelled then why did the airlines allow Tewari to board the flight. The Commission also asked why the airlines failed to share screenshot of the message with Tewari conveying cancellation of the ticket and pointed out that the airlines also failed to submit the mobile number before the court from which the ticket was allegedly cancelled. In its order, the SCDRC held that the airlines indulged in unfair trade practice, caused mental agony and financial loss to Tewari, who is a contractor and was going to New Delhi for a meeting.||https://www.hindustantimes.com/cities/lucknow-news/scdrc-penalises-pvt-airline-for-forcing-passenger-off-plane-101634216567294.html
14-10-2021||Mumbai||Southwest monsoon withdraws over Mumbai, expect rise in temperatures||The southwest monsoon on Thursday withdrew over Mumbai, six days after its official date of withdrawal on October 8, the India Meteorological Department (IMD) has confirmed. The withdrawal has taken place across the state, having begun on October 12. The withdrawal line as of Thursday afternoon continued to persist over Vengurla in the southernmost part of the Konkan coast and is expected to withdraw entirely within the next day. “With the monsoon having now exited Mumbai completely, citizens can expect clear skies and rising temperatures over the remaining period of October. The maximum temperature has been between 33 and 34 degrees Celsius over the past three days, but it will quickly climb now. It may touch 35 degrees Celsius or more by the end of the week,” said a meteorologist with the IMD’s regional forecasting centre in Mumbai. They also added that there may be a slight chance of unseasonal rains toward late October. Monsoon withdrawal in Maharashtra first began from the easternmost tip of the Vidarbha region between October 9 and 11, subsequently progressing over parts of Marathwada and then Madhya Maharashtra. Withdrawal over the Konkan region began on October 12. Last year, the monsoon’s withdrawal over Mumbai had taken place on October 28, nearly three weeks after the official date, making it the season’s most delayed retreat since 1975. In 2019, the withdrawal was recorded on October 14. The 2021 monsoon season also marks the third consecutive year in which Mumbai received over 3,000mm of rain, and follows 2020’s seasonal total of 3,759.7mm (which was just 70mm short of being the wettest September on record), as per the met department’s monitoring station in Santacruz. This year, the city saw three ‘extremely heavy’ rainfall days (one in June and two in July), receiving over 204.5mm in 24-hours. The first of these events occurred on June 10 (231.3mm), coinciding with the arrival of the southwest monsoon two days prior to the official onset date of June 11. The highest amount of rain — 1,222mm — was received in July. The month also saw two consecutive, atypical thunderstorms which dumped more than 500mm of rain over the city, resulting in the second and third ‘extremely heavy rainfall’ events of the season. A convective thunderstorm, described by meteorologists as “monstrous”, deposited a whopping 235mm rain between 12am and 4am on July 18, less than 48 hours after a similar high rainfall event resulted in the season’s highest daily rainfall on July 16 at 253mm. July rains saw a 48% departure from the monthly normal of 822mm. Meanwhile, the maximum temperature on Thursday rose to 34.8 degrees Celsius at the IMD’s monitoring station at Santacruz. This was up from 33.7 degrees Celsius the day prior, and is expected to rise consistently over the rest of the month. The highest temperature recorded in Mumbai this year touched 35.8 degrees Celsius on October 7.||https://www.hindustantimes.com/cities/mumbai-news/southwest-monsoon-withdraws-over-mumbai-expect-rise-in-temperatures-101634216507591.html
14-10-2021||Mumbai||No road widening proposed in Aarey, clarifies BMC||The Brihanmumbai Municipal Corporation (BMC) on Wednesday clarified that the tender it floated earlier this month for proposed road work at Aarey will not include any road widening, and only road upgradation of the carriageway from a tar road to a concrete one will be carried out. While environmentalists have expressed relief, they remained sceptical of the BMC’s clarification as the tender calls for construction of a nine-metre wide road, as opposed to the existing seven-metre wide carriageway. They also highlighted that BMC intends to lay concrete pipes on either side of the road, which seems unnecessary in an area with sufficient natural drainage. Zoru Bhatena, environmentalist with the Save Aarey movement, who had filed a detailed complaint in the matter with authorities, said, “Grateful that BMC has clarified that no trees will be touched in Aarey. But, it doesn’t answer the question as to why they want to add concrete drains in a natural area, or why they want to create facilities to increase traffic in the forest. Nor does it answer why they are doing such work without statutory forest and eco-sensitive zone clearances as is mandatory in notified forest areas.” BMC for its part has now said that there will be “no proposal of widening of existing asphalt road” and that “due care will be taken to protect existing trees and the adjoining Aarey forest.” “Necessary mitigation measures will be taken care of as per the direction of chief conservator of forest,” BMC added. Sanjiv Valsan, another Save Aarey campaigner, said, “It is a relief to know they aren’t going to widen Aarey road but converting a tar road into concrete isn’t going to solve the real and current problem of Aarey road, that of unacceptably high vehicular congestion in an eco-sensitive zone. There needs to be a heavy toll on private vehicles entering Aarey, as was the case a few years ago.”||https://www.hindustantimes.com/cities/mumbai-news/no-road-widening-proposed-in-aarey-clarifies-bmc-101634216387511.html
14-10-2021||Mumbai||Navi Mumbai Bengalis celebrate Durga Puja with traditional village theme||The Navi Mumbai Bengali Association (NMBA), one of the largest associations of Bengalis in Maharashtra, is celebrating its 42nd Durga Puja at Sector 6, Vashi. The theme of the pandal is a traditional ‘Village Puja Pandal’ depicting rural celebration under Banyan Tree. The celebrations are digital in view of the Covid threat.NMBA president, Nemai Gorai, said, “Sharod Utsav 2021 is presented digitally through a web portal and NMBA’s YouTube Channel. The live broadcast of puja and cultural events is available in India and the world over. Devotees can worship from home and also book prasad and bhog through the website. There are also live performances by Tollywood and Bollywood singers from their studios.”Funds raised through the event would help cancer patients.||https://www.hindustantimes.com/cities/mumbai-news/navi-mumbai-bengalis-celebrate-durga-puja-with-traditional-village-theme-101634215607302.html
14-10-2021||Mumbai||47% of people above 60 years in Navi Mumbai yet to get first vaccination against Covid||Even as the Navi Mumbai Municipal Corporation (NMMC) has vaccinated 98% of its eligible population, as per the statistics, around 47% of the people above the age of 60 years are yet to get even their first jab.NMMC commissioner, Abhijit Bangar, claimed that a door-to-door survey would be conducted to check how many beneficiaries were remaining while a call centre would also be set up to check with families to ensure no senior citizen is left out.Currently, 11.07 lakh population of Navi Mumbai is estimated to be eligible for the vaccination, of which 1.76 lakh is estimated to be above the age of 60 years. Till now, only 92,894 people above the age group of 60 years have got their first jab, which is 53% of the total estimated population of this age group. Around 34,445 people under the category of Health Care Workers were also jabbed with the first dose.“Currently, we do not differentiate the beneficiaries as per the health care workers and front line workers, and each person is reported under their respective age group. Hence, when the vaccination had started for the health care workers, many medical professionals who were above 60 years got their vaccination under that category,” a medical officer from the corporation said.Meanwhile, Bangar said that the data of estimated target is notional and not the exact number. Hence, it is important to get the exact numbers of the people above the age group of 60 in the city to conclude if there is anyone remaining.“Even when there was low supply of vaccination, we have always had at least one slot for the first dose of 60 years-plus. So, this age group was never neglected and was always given priority. There is no reason why anyone from 60 years and above would be left out. There was never any reluctance from this age group and they were always eager to get the vaccination done. Accessibility, too, is not the reason as the drive for them was always available. In fact the queue for the first dose is declining slowly and even after we reach 100% target, the first dose drive will continue for those with no proof of being a resident of Navi Mumbai,” Bangar said.He said that the target statistics is a notional figure and to get the exact figure, a door-to-door survey would be done, and simultaneously will have call centres verifying the exact number of 60 years and above existing in the city.“Through various drives and initiatives, we have collected the data of the families in Navi Mumbai and their family members. The call centre staff will be asked to call up the families and check if the senior citizens at their residences have been vaccinated. Besides, we also have around 3,500 housing societies registered with us who are also connected via WhatsApp. The housing societies, too, would be asked to provide the information.”In many cases, the elderly were shifted to their hometowns when the pandemic started and while some might have still not come back, some others might have returned after getting their vaccination done, due to which their record is not registered with the NMMC.According to the corporation, the target given by the State to Navi Mumbai is to vaccinate 11.07 lakh population, of which 10.95 lakh have been vaccinated with the first dose and 12,000 are pending. In the age group of 45 years to 59 years, the target given to the corporation is to vaccinate 2,49,600 beneficiaries, of which 2,25,510 (89%) have been vaccinated with the first dose and 11% are remaining. Meanwhile, for the age group of 18 years to 44 years, the target is to vaccinate 6,81,300 beneficiaries while the corporation has vaccinated more than that with 7,12,087 getting their first dose.||https://www.hindustantimes.com/cities/mumbai-news/47-of-people-above-60-years-in-navi-mumbai-yet-to-get-first-vaccination-against-covid-101634213086812.html
14-10-2021||Chandigarh||Eye on elections, Punjab CM wants pensions, dues cleared||With an eye on the elections, Punjab chief minister Charanjit Singh Channi on Thursday asked deputy commissioners of all districts to organise suwidha camps to clear the backlog of social security pensions and dues of widows and Ashirwad Shagun scheme beneficiaries. Also read: ‘Captain is with BJP’: Punjab minister alleges Amarinder behind govt’s BSF moveHe ordered that property cards (sanads) for 5 marla plots be given to the homeless under the state’s Basera scheme and proprietary rights to slumdwellers occupying government land on Diwali on November 4. This was earlier scheduled for November 15. Punjab goes to the polls by February next year and the Channi government wants the administration to focus on people-centric works. During the meeting with the district chiefs in Chandigarh, the CM asked for starting the process to waive arrears of electricity bills of up to 2-kilowatt load. To speed up ongoing development works and welfare schemes, Channi told the DCs to meet the MLAs concerned and redress concerns related to their constituencies. CM wants panel of revenue officers for reforms He suggested amendments in the law to protect ownership rights of people’s property that have become obsolete and ensure timely clearance of driving licences, birth and death certificates and disability certificates. He said this initiative would streamline the existing procedure of girdawari, mutation, jamabandi and land division to save people from fraudulent practices to divest them of their rights. Channi directed chief secretary Anirudh Tewari to constitute a committee of revenue officers to suggest reforms and make a proposal to abolish the girdawari system to ensure ownership rights only vests with the legitimate owners. Hussan Lal, the principal secretary to the CM and special principal secretaries to the CM, Rahul Tewari and Kamal Kishor Yadav, also attended the meeting. Calls to end corruption in registry offices Channi asked DCs to be punctual and not to function from camp offices. He asked them to clamp down on corruption in registry offices. He asked the DCs not to allow tehsildars to undertake property registration after office hours and unnecessarily cause delay on frivolous grounds. He suggested DCs conduct surprise checks in offices to ensure punctuality and any employee found absent be suspended. The CM instructed the CS to direct all heads of departments, too, in this regard. “Ensure that none from the public is forced to give bribe for getting their work done whether it’s approval for building plans or driving and arms licences,” Channi said. He asked them to keep a vigil on drug trafficking and illegal mining. He called for protection of NRI properties and ensuring timely payment to farmers during paddy procurement.||https://www.hindustantimes.com/cities/chandigarh-news/eye-on-elections-punjab-cm-wants-pensions-dues-cleared-101634212726699.html
14-10-2021||Kolkata||Political row erupts in Bengal over move to extend BSF jurisdiction||A political row erupted in West Bengal after the Centre decided to extend the area under the jurisdiction of the Border Security Force (BSF) in three state’s - West Bengal, Punjab and Assam. While the ruling Trinamool Congress (TMC) in the state hit out at the Centre on Thursday alleging that it is an infringement on the state land through back doors, Bharatiya Janata Party (BJP) leaders welcomed the move saying that BSF should be given more powers. The Congress echoed TMC’s stance. “This is a condemnable decision. This is infringing upon the state’s land through the back door. The party is seriously looking into this,” said Kunal Ghosh, TMC spokesperson and the party’s state general secretary. On Monday, the Union government amended the BSF Act to authorise the force to undertake search, seizure and arrest within a larger 50 km stretch, instead of the existing 15 km, from the International Border (IB) in Punjab, West Bengal and Assam. Among all states, West Bengal has the longest and one of the most porous international borders. The state shares a 2216-km-long international border with Bangladesh. It also shares around a 100-km border with Nepal and a 183 km border with Bhutan. “The expansion of #BSF area of jurisdiction up to 50 km from border of some states amounts to brazen infringement upon the territory of states. @HMOIndia, you should not indulge any ‘Chherkhani’ else will face the consequences,” tweeted Adhir Ranjan Chowdhury, leader of the Congress party in the Lok Sabha. The Indo-Bangladesh border, particularly in West Bengal, is also one of the most porous borders. Data placed by the Union ministry of home affairs before the parliament in March 2020 shows that in 2017, 2018 and 2019, security agencies arrested 1175, 1118 and 1351 people along the entire stretch of the Indo-Bangla border in India. “We welcome this decision. But just giving more jurisdictions to the BSF won’t help. The BSF cannot arrest anyone independently. Whenever a smuggler, trafficker or terrorist is held, they need to be handed over to the local police. The BSF should be given more teeth so that they can work independently and also should be given more manpower,” said Samik Bhattacharya, BJP spokesperson in West Bengal. In Gujarat, which shares a border with Pakistan, the same limit was reduced from 80 km to 50 km, and in Rajasthan, it was kept unchanged at 50 km. “This is simply infringing upon the sovereign rights of the state. There are allegations of links between BSF and smugglers. To let them increase their area of operation would be suicidal. The state should oppose this,” said Saugata Roy, TMC MP. In Bengal, some BSF officers are under the scanner of the Central Bureau of Investigation (CBI) in a 2020 transborder cattle smuggling case. Senior BSF officials refused to comment on the developments and the political row that followed.||https://www.hindustantimes.com/cities/kolkata-news/political-row-erupts-in-bengal-over-move-to-extend-bsf-jurisdiction-101634210747998.html
14-10-2021||Mumbai||In seeking bail for Aryan Khan, his lawyer praises NCB||Aryan Khan's lawyer on Thursday put in a word of praise for the officials of the Narcotics Control Bureau (NCB) as he sought bail for the eldest son of Bollywood star Shah Rukh Khan, who was arrested after a raid on a cruise ship by the central agency on October 2. Senior counsel Amit Desai was responding to the NCB lawyer’s arguments in the special court under the Narcotics Drugs and Psychotropic Substances (NDPS) Act. The special NDPS court on Wednesday adjourned the hearing for a day on bail applications of Aryan Khan, Arbaaz Merchant and Munmun Dhamecha, who were arrested along with Aryan Khan.“There can be no doubt on the importance of a statute on the nation. There is no doubt that the world is fighting the drug menace. We got our freedom, we must protect it, and ensure the development of society,” senior counsel Amit Desai said in the court, according to Bar and Bench. "I don't think there is any debate or doubt that the entire world is fighting drug menace… Kudos to the NCB for doing this job and just hope that they continue the investigation in a legal manner. I am appreciating that the officers are risking their lives for protecting their country,” Desai said.Also read | Many countries have legalised these drugs: 5 things Aryan Khan's lawyer saidHe said Aryan Khan can still be granted bail without affecting the ongoing investigation into the cruise ship drugs bust case. “As bail doesn't take away their right to continue their investigation,” he said. He also alleged that the NCB may have crossed a legal line in an endeavour to convince the court to oppose Aryan Khan’s bail application.“By no stretch of the imagination, the boy is involved in illicit drug trafficking or international drug trafficking. These allegations are fake. He has nothing to do with illicit drug trafficking,” he continued.Also read | Aryan Khan regular consumer of drugs, says NCB; compares with Rhea-Showik caseOn Wednesday, Desai called the NCB's contention "inherently absurd" and argued that when there was no recovery of drugs from him, then he should not be penalised at the stage of granting bail. Desai also told the court that the accused in the case are young adults and not drug peddlers, traffickers or racketeers. "In many countries, these substances (drugs) are legal. Let us not penalise them at this stage when bail is sought. Let us not make it worse for them (accused). They have suffered enough and they have learnt their lesson, if at all," he said.The central agency in its reply filed in the special court said that its investigation has revealed Aryan Khan's role in illicit procurement and distribution of contraband. The NCB said that Aryan Khan used to procure drugs from Arbaz Khan. "It is also revealed in the investigation that accused number 1 (Aryan Khan) used to procure drugs from accused number 2 (Arbaz Khan) and people connected to Arbaz. Six gm of charas was removed from the accused number 2 from his shoes during the raid by NCB," the NCB said in its reply.Also read | Aryan Khan chatted about drugs in bulk quantity with a foreigner: NCB"Accused numbers 1 and 2 are associated and worked in close collaborations so the offences are attracted against them especially section 29 of the NDPS Act ( Criminal Conspiracy to commit an offence)," the agency added in its reply.Aryan Khan was arrested on October 3 following the NCB raid on the cruise ship and is currently in judicial custody. He is lodged at the Arthur Road prison in Mumbai. He approached the special court seeking bail after a magistrate's court rejected his plea last week. As many as 20 people, including two Nigerian nationals, have been arrested so far in the case related to the seizure of drugs following a raid at a party on the Cordelia cruise ship off the Mumbai coast on October 2.￼||https://www.hindustantimes.com/cities/mumbai-news/in-seeking-bail-for-aryan-khan-his-lawyer-praises-ncb-101634209321987.html
14-10-2021||Jaipur||Rajasthan government transfers 39 IPS, 18 IAS officers||In a late-night development, the Rajasthan government transferred 39 Indian Police Service (IPS) officers, including two ADGs and 18 Indian Administrative Service (IAS) officers, officials said. The transfer list was released by the department of personnel late Wednesday night. The 39 IPS officers who have been transferred include two Additional Director General (ADGs) and the Superintendent of Police (SPs) of 15 districts. ADG, Police, law and order, Saurabh Srivastava has been appointed ADG police headquarters while ADG Traffic, Smita Srivastava, was shifted to Civil Rights. Inspector-General of Police (IG), Jaipur range, Hawa Singh Ghumariya has now taken over as the Inspector General (IG), law and order. He was replaced by IG chief minister’s security, Sanjay Shotriya. The SPs of Bikaner, Baran, Jhunjhunu, Barmer, Ajmer, Sriganganagar, Pali, Bundi, Jhalawar, Jalore, Banswara, Kota rural and Deputy Commissioner of Police (DCPs) of Jaipur West and Jodhpur West have been transferred. The list of 18 IAS officers also includes two officers - secretary Labour, Skill and Entrepreneurship, Niraj K Pawan, and managing director of Rajasthan Skills and Livelihood Development Corporation (RSLDC) Pradeep Gawande. The duo is in controversy after the Anti Corruption Bureau (ACB) arrested two RSLDC employees with a bribe of ₹5 lakh in September. Pawan is replaced by Bhanu Prakash Atru and Gawande by Nalini Katotiya. Director of secondary education, Saurabh Swami has been transferred to a state health insurance agency, he is replaced by Kana Ram. Secretary, Rajasthan Public Service Commission, Shubham Choudhary, was transferred to Commissioner Labour department. He is replaced by Kumar Pal Gautam.||https://www.hindustantimes.com/cities/jaipur-news/rajasthan-government-transfers-39-ips-18-ias-officers-101634209427758.html
14-10-2021||Mumbai||Raigad district administration gives nod to reopen Elephanta Caves for tourists||The residents of Elephanta Island have now heaved a sigh of relief as the Raigad district administration reopened its ancient caves for the tourists earlier this week.The caves were shut for tourists since April 1, when the government announced the second lockdown. Last year too, they were shut for almost eight months (from March 19 to November 6) during the first lockdown.Mahendra Kalyankar, collector of Raigad district, said, “As the scenario of Covid is better now, we have given consent to reopen the caves on the island.”Elephanta Island or Gharapuri is a popular tourist spot 10km off the city of Mumbai. The island houses three villages – Rajbunder, Shetbunder and Morabunder – and its population collectively is around 1,200. Due to lack of other sources of income on the island, its residents are heavily dependent on the tourism industry.Kailash Shinde, conservation assistant of Archeological Survey of India (ASI), said, “With the reopening of the caves, the tourists have started visiting the island, but their number is very less. Every year, a huge number of tourists from across the world visit the island during the Christmas vacation and the weeks after that. We hope this year, too, we will receive the same response.”According to the local gram panchayat officials, 7 lakh to 8 lakh tourists would visit the island every year to see its ancient caves before the pandemic. Around 30% of the tourists were foreigners.Sunil Padte, 60, a shopkeeper from the island, said, “I had no income ever since the caves were shut for tourists. So, my household was entirely dependent on my son’s income who works as a boat contractor. Others, who had no such options, went out of the island to take up jobs of security guards, salesmen among others. They have now started coming back.”Baliram Thakur, sarpanch of the island, said, “We have some farming land on the island and the residents would cultivate on them till mid-2000s. However, monkeys started spoiling our crops and hence everyone stopped doing it. The number of monkeys has increased manifold on the island over the past two decades. The monkeys cannot be relocated as it is violating the Animals Act.”||https://www.hindustantimes.com/cities/mumbai-news/raigad-district-administration-gives-nod-to-reopen-elephanta-caves-for-tourists-101634208528025.html
14-10-2021||Pune||Taste of Life: World War 2 air raid shoots Pune street food into public acclaim||Food traditions are often messy, complicated, and mostly a confluence of other varied traditions. There is usually little by way of purity or simplicity. In April 1942, Pune was preparing itself to face an aerial attack. When war seemed inevitable and it was realized that aerial attack would be the greatest threat posed by any coming conflict, the British government established a volunteer organization – Air Raid Precautions or ARP – that would stand at the centre of the wartime civil defence. Members of the ARP in Britain distributed gas masks to the population and policed the blackout. After the war started in September 1939, they played a vital role in shepherding people to shelter, reporting on damage, and rescuing people from wrecked buildings. In India, ARP Law came into force in 1939. Each city had multiple ARP wardens, and they had a troop of volunteers to help them with their wartime activities. Regular drills were carried out by the ARP wardens in conjunction with the police, local hospitals, and the fire department. There was a provision to arrest people who did not cooperate with the ARP volunteers. When Vishakhapatnam, Kakinada, and Colombo were bombed in the first week of April 1942, Pune panicked. A black-out was enforced, and the Municipal Corporation supplied each house with jute sandbags. Several practice drills were held, and air-raid sirens would wail at ungodly hours. The local populace was supposed to rush into air-raid shelters upon hearing the sirens. But since there were only a handful of them in Pune, and almost none for the common public, it was expected that people would rush into their homes instead. One such drill was held in Sadashiv peth on April 10, 1942. Though it was supposed to be a routine affair, there was an unusual commotion on the streets that day because a gentleman refused to obey. His name was Mr Gopal Thakur, and he sold “Bhel” in an open cart. According to a report published in “Jnanaprakash” on April 11, 1942, when the ARP volunteers requested Thakur to move his cart immediately to a “safe” location, he not only refused to listen to them, but also manhandled the volunteers, and later, the police. The next day, he was ordered to spend a day in jail, and pay a fine of ₹50. Thakur refused to pay the fine, and as a result, had to be imprisoned for a month. It is unclear why Thakur did not obey the ARP volunteers. Maybe he did not want to go home and lose his earnings. Or he did not want to obey the volunteers who were helping the British. “Jnanaprakash”, a month later, reported that a small crowd had gathered outside the jail to welcome him when he stepped out. It seems that Thakur was known for his “Bhel” because the newspaper referred to him as “Bhelwale Thakur” in all the reports. The last one about his release also mentions something very interesting. One Mr Narhari Shintre was released from jail 4 days prior. He too was imprisoned for not obeying the ARP law. Shintre sold “Santosh Wada” near SP College. The report mentions that his regular customers crowded at his roadside cart once he was back. I wouldn’t have been able to find out what “Santosh Wada” was, had Mrs Lakshmibai Vaidya not written the recipe in her cookbook “Paakasiddhi”. Vaidya’s cookbook, first published in 1969, has a recipe for “Breadcha Wada” where a chutney sandwich is coated with a seasoned gram flour batter and deep-fried. There’s another version where the sandwich is stuffed with a savory potato filling. She mentions that bread could be replaced with pao, provided the crusts are cut. “Santosh Wada” is a slight modification of the recipe where the gram flour batter also has soaked bread. Vaidya states that the gram flour batter could be replaced by a mixture of eggs, milk with salt, and pepper. “Santosh Wada” and “Breadcha Wada” seem to be inspired by various versions of the French toast. There are several savory versions of the same in the UK, of which “Gypsy Toast” is a close relative of “Santosh Wada”. It is unclear when “Breadcha Wada”, and “Santosh Wada” lost their identity to “Bread Pattice”, the now popular snack in Maharashtra, which is also known as “Bread Pakoda” in the north of India. Though called ‘pattice’, this dish has nothing to do with, perhaps, the more popular Indian chicken and mutton “pattice”. The “Chicken / Mutton Pattice” made famous by Irani bakeries and cafes are a version of French puff pastries. Their resemblance to Cornish Pasties is striking. The humble “Bread Pattice” is not a pocket pie. It is not baked, but deep-fried in oil. The word “pattice” comes from “patties”. During World War II, after the rationing of food grains, sugar, and kerosene came into effect, many men resorted to eating out while their wives were working in offices. Dishes like Misal, Samosa, and “Bread Pattice”, which were never cooked at home, gained popularity. The opening of bakeries operated by Hindus also played a role. Vaidya has included these in her cookbook. “I wonder who came up with the name “Santosh Wada”. Was it cooked in a restaurant named “Santosh”? The famous eatery in Pune, “Santosh Bhuvan”, did not serve the dish in 1942. Mr Ratnakar Soman, who ran “Maharashtra Bhuvan” in Budhwar Peth told me in 2014 that their restaurant served “Breadcha Wada” in 1950. He had never heard the name“Santosh Wada”. Where exactly did the dish originate? Did Shintre himself come up with the name, and the recipe? Did he use sliced bread or pao? Which chutney did he smear the bread slices with? And did he use potatoes? Were there others who sold the same dish around that time? I wish I knew. No dish is ever “authentic”. The origin is always obscure. Within a few years, at the most decades, culinary origins become blurred, and are lost in the mists of time.May be because of our motley heritage, there is a tendency to fixate and obsess over foods that have a more clear lineage. It would help if we understand that the history of food is the history of invention in times of necessity and inheritance from diverse cultures.||https://www.hindustantimes.com/cities/pune-news/taste-of-life-world-war-2-air-raid-shoots-pune-street-food-into-public-acclaim-101634208286712.html
14-10-2021||Chandigarh||Paddy stubble burning picks up in Punjab’s border areas||Stubble burning has picked up pace in Punjab’s border belt of Majha, including Amritsar, Gurdaspur and Tarn Taran districts, where the harvest of paddy is on in full swing. This year, crop residue burning is delayed as paddy harvest was behind schedule due to the late withdrawal of the monsoon. Also watch: MHA expands BSF’s powers in border States & why Punjab CM wants move rolled backOn October 13, a total of 132 events were captured by the satellite in Punjab. On the same day in 2019, 117 active fire events were captured, while there were 240 active fire events in the state on October 13, 2020. According to the cumulative figure from September 15 to October 13, a total of 1,057 incidents took place this year, while 3,123 fields on fire were recorded during the corresponding period in 2020. Of the 132 fire events recorded on Wednesday, Tarn Taran recorded 37 incidents, while Amritsar witnessed 26 farm fires. Officials dither to act against farmers in protest mode “Don’t expect that number of fire incidents to come down. It’s now an annual phenomenon, as in-situ utilisation of paddy straw is expensive, while there are only few takers for paddy straw bales in ex-situ management of the straw. Amid the ongoing farmers’ protest against the new farm laws, no official dare act against farmers. Officials are at the receiving end both from farmers and the government,” said a senior official of Punjab Pollution Control Board (PPCB), requesting anonymity. PPCB experts said that the maximum number of fire incidents are expected from the last week of October till Diwali. The Punjab Government has so far appointed 8,000 nodal officers in Punjab to check stubble burning. “There is no viable solution for the management of paddy straw. If the government wants farmers to adopt in-situ or ex-situ management of paddy straw, it must pay ₹200 as incentive per quintal of paddy,” said Thakur Mann, a farmer of Patiala. He said that farmer unions will oppose any punitive move by the government. PPCB begins penalising defaulters In Punjab, setting fire to a field of less than two acres attracts a fine of ₹2,500, while a penalty of ₹5,000 is imposed if the field is between two and five acres. If the field on fire is over five acres, then the fine shoots up to ₹15,000. “The PPCB has started the process to identify farms where stubble burning has been identified by satellite and fines have been imposed,” said PPCB secretary Krunesh Garg. Air quality in moderate range in Amritsar Despite the farm fires, the air quality index (AQI) in the state is better than it was during the corresponding period in 2020. The AQI of Amritsar and Tarn Taran, where farm fires have started, is 150, which is in the moderate range. The AQI measures particulate matter and four harmful gases that pollute the air and converts the measured pollutant concentrations in the air to a number on a scale of 0 to 500. 0-50 is good air quality with minimal impact on health; the 51-100 range is satisfactory but may cause minor breathing discomfort to sensitive people; 101-200 AQI is the moderate range that may cause breathing discomfort to people with lung and heart disease; 201-300 is poor quality air that causes breathing discomfort to most people on prolonged exposure. The 301-400 range is very poor AQI range that can cause respiratory illness on prolonged exposure; and 401-500 is the severe range that affects healthy people and seriously impacts those with existing diseases.||https://www.hindustantimes.com/cities/chandigarh-news/paddy-stubble-burning-picks-up-in-punjab-s-border-areas-101634206786354.html
14-10-2021||Delhi||Doctors assaulted at Delhi hospital by family as newborn dies, case registered||Three doctors were allegedly assaulted by the family members of a woman after her baby died during a caesarean procedure at Kuber Hospital in northwest Delhi's Pitampura on Wednesday, police said on Thursday. The family claimed “negligence” on part of the doctors. They were later detained by the police for misbehaviour.Sakshi Sharma, a 26-year-old resident of Rani Bagh, was admitted to the hospital on Tuesday. However, the doctors performed a caesarean or C-section on her to deliver the baby due to complications. The baby was stillborn, however, a senior police officer said.According to the police, some of her family members had an argument with the doctors, hurled abuses and manhandled them, blaming them for the child’s death. One of the doctors lodged a police complaint against the patient's family members. “A written complaint was given by the Dr Kanti Shamsukha alleging that some persons belonging to the family and relation of the patient misbehaved, beat the doctors and also tried to cause damage to the hospital,” deputy commissioner of police (northwest) Usha Rangnani said.Based on the complaint, a case has been registered against the family members under sections 323 (voluntarily causing hurt), 341 (wrongful restraint) and 34 (acts done by several persons in furtherance of common intention) of the Indian Penal Code (IPC).The accused were also booked under the Delhi Medicare Service Personnel and Medicare Service Institutions (Prevention of Violence and Damage of Property) Act, 2008. They have been detained and the matter is being investigated, the police said.The body of the baby has been shifted to Baba Saheb Ambedkar Hospital for a post-mortem examination, they added.||https://www.hindustantimes.com/cities/delhi-news/doctors-assaulted-at-delhi-hospital-by-family-as-newborn-dies-case-registered-101634201020329.html
