January 22, 2021||Kanpur||300 Odisha farmers on way to Delhi stopped near Kanpur||KANPUR: The Kanpur district police stopped over 300 Odisha farmers in Maharajpur on Kanpur-Fatehpur border on Wednesday night. The farmers were on way to Delhi to express solidarity with the protesting farmers, who have planned to take out a tractor rally on the Delhi border on Republic Day. UP in charge of Nav Nirman Kisan Sanghatan Himanshu Tiwari claimed that the farmers travelling in half-a-dozen buses were detained in Ruma area. However, the district administration denied the charge. Tiwari claimed, “police have detained nearly 300 farmers, who, under the leadership of national convener Nav Nirman Kisan Sanghatan Akshay Kumar, were heading towards Delhi to express solidarity with the protesting farmers, who have planned a mega tractor rally there on Republic Day, in six buses from Odisha. They had left Odisha on January 15.” “As soon as the farmers entered the UP border, police stopped them. We urge all citizens, farmers and political leaders to support the farmers,” said Tiwari adding, “The government can’t stop us from reaching Delhi to raise our voice against these laws.” ADM (City) Atul Kumar said, “Following local intelligence inputs, police force had been deployed at vulnerable points on the outskirts of the district in order to maintain peace in the area. They were stopped from entering the district as Section 144 CrPC is in force.” He, however, rubbished allegations regarding detention and harassment of farmers.||http://timesofindia.indiatimes.com//city/kanpur/300-odisha-farmers-on-way-to-delhi-stopped-near-kanpur/articleshow/80393136.cms||Faiz Rahman Siddiqui
January 22, 2021||Goa||Govt eyeing 10,000 vacancies by next year: Goa CM||POINGUINIM: Chief minister Pramod Sawant on Thursday reiterated that his government is planning to come out with 10,000 vacancies by next year. Speaking on the occasion of Vivekananda Yuva Sammelan at Canacona, he asked the youth to take self-employment by availing various government schemes as even god wouldn’t be able to give them employment amid the Covid pandemic. The chief minister urged the youth to work hard and become self-reliant. Deputy speaker and Canacona MLA Isidore Fernandes called upon the youth to unite and support the government for development of Canacona and the state. He said the focus is on development and that he needs the support of people. Others present on the occasion include state BJP chief Sadanand Tanavade, former MLA Siddharth Cuncolienkar, party vice-president for south Goa Mahesh Naik, Canacona BJP chief Nandip Bhagat besides others.||http://timesofindia.indiatimes.com//city/goa/govt-eyeing-10k-vacancies-by-next-year-cm/articleshow/80394285.cms||---
January 22, 2021||Business||‘Sensex’s return mirrors nominal GDP growth rate in the long run’||NEW DELHI: The crossing of milestones is typically greeted with mixed emotions — rejoicing by some, and apprehension by others about whether things are overheated. This is no different for the sensex, which breached the 50k mark. Given the adverse impact of Covid on the economy, many feel the sensex is not grounded in economic reality. Before getting into this debate, however, let me share an unconventional count — the “double count” (see graph). The table below represents the years in which the sensex doubled from the previous level with the starting value of 100 in 1979. Seen this way, the journey of the sensex from 100 to 50,000 has nine steps over 42 years, that is, the index has simply doubled nine times, on an average in 4.6 years. The CAGR of this journey is about 16%. This number is close to the nominal GDP growth of the Indian economy over this period, especially of the manufacturing and services sectors. This is not a coincidence, rather it’s the very nature of the sensex. As it is diversified and represents most sectors, it tends to mimic the economic growth in rupee terms (real growth plus inflation) over time. Therefore, the 50,000 level has to be seen in the context of economic growth over this period. From this, it is evident that, while most of the attention is focused on the near-term movements of the sensex — which may be tough, if not impossible to forecast — the real money in equities belongs to the long-term investor. For 100 to become 50,000, it was patience that was the key and not intelligence or deep market knowledge. As someone beautifully remarked, “Time in the market beats timing the market”. This journey, like in real life, has also had several speed bumps — Asian crisis, the dotcom bubble, 9/11, the global financial crisis taper tantrum, etc, and more recently Covid. To the discerning few, the accompanying corrections around these events offered opportunities to buy cheaper and to improve long-term returns. However, this is easier said than done. That’s why it’s often said that equities are simple to understand but not easy to benefit from. How are markets doing well when the economy is weighed down by Covid? The first part of this answer is the impact of fall in one year’s profit has limited impact on the intrinsic value of equity. Second, lower interest rates—a result of Covid—has increased the fair value of stocks. Third, corporate earnings have surprised, led by cost savings. Finally, the 10- and 15-year returns at about 10% and 12%, respectively are reasonable and suggest that markets are not in an irrational zone. Seen another way, the total mcap to GDP at about 90% based on FY22 GDP is reasonable. Further, the returns have not been uniform across sectors and, therefore, there are pockets that offer better value than the average The sensex at 50,000 is an acknowledgement and result of India’s growing economy. The future growth outlook is supported by low interest rates, pent-up demand, continued easing of restrictions, strong rural economy and fiscal & monetary measures. To benefit from this, all equities ask is inactivity and patience. Now, what could be better than that? (The writer is ED & CIO, HDFC MF)||http://timesofindia.indiatimes.com//business/india-business/sensexs-return-mirrors-nominal-gdp-growth-rate-in-the-long-run/articleshow/80395496.cms||Prashant Jain
January 22, 2021||Patna||Man kidnapped in NE seeks Nitish’s help for safe release||PATNA: Additional chief secretary (home) Amir Subhani has asked DGP Sanjeev Kumar Singhal to probe the video clips released by northeast militant groups, showing a man from Khagaria urging CM Nitish Kumar to get him released from the captivity of militants by taking up the matter with his Assam counterpart Sarbananda Sonowal. The video came in public domain on Wednesday. The Khagaria man, Ram Kumar (28), and one Pranab Kumar Gogoi were allegedly kidnapped by Assam and Myanmar-based militants from an oil drilling site in Changlang district of Arunachal Pradesh on December 21 last year. Subhani said state government would do whatever possible to ensure safe release of Kumar. According to sources, the DGP has sought a report on the matter from Khagaria SP Amitesh Kumar. The Khagaria SP said they were in touch with their counterparts in Changlang for safe release of Kumar. Kumar and Gogoi are workers of a Delhi-based oil drilling firm. Kumar is a resident of Bahadurpur village under the Alauli police station area in Khagaria district. Meanwhile, Kumar’s wife Bina Kumari told TOI over phone on Thursday that she had last talked to her husband at 3pm on December 21. “I was later informed by one of his colleagues on the same day that he was kidnapped,” Bina said, adding she was told that the militants have sought a ransom of Rs 15 crore for safe release of her husband. Bina said her husband had joined the firm in 2016. “Our five-year-old son, Aditya Raj, is a blood cancer patient and he is undergoing treatment at AIIMS-Patna. Our elder daughter, Arushi Kumari, studies in Class III,” she said, adding the Bihar government should take necessary steps for the safe release of her husband.||http://timesofindia.indiatimes.com//city/patna/man-kidnapped-in-ne-seeks-nitishs-help-for-safe-release/articleshow/80392485.cms||Debashish Karmakar
January 22, 2021||Business||From 0 to 42%: Financials’ weightage||An unusual feature of the sensex is the dominance of the financial sector. From zero weightage when the sensex was first published in 1986, financials account for 42% of the free-float market capitalisation of the sensex. This is highly unusual for a large economy like India, where industry and non-financial services account for a significant part of the GDP. Rather than correct itself, the weightage of financials in the sensex could go up further and a key driver would be the listing of LIC, which is expected to be valued at between Rs 11-15 lakh crore. Also, more banks are expected to raise capital, which will increase the quantity of banking stock floating around. There are several reasons for the financialisation of the Indian equity markets. The primary among this is the death of manufacturing activity. Many of the steel, textiles and auto companies in the original sensex are doing poorly and there have been no competitors to take their place. Another theory is that services such as IT and financials have thrived in India because they are less dependent on infrastructure and therefore less affected by factors that determine the ease of doing business. But while the IT sector provides services for the world, the financial sector focus is entirely on domestic markets. The third reason is the regulator — the RBI — which has leaned on promoters to dilute their shareholding and forced banks to reduce stake in subsidiaries. Promoter’s stake in banks is capped at 15%, while banks and NBFCs, in turn, are not allowed to hold more than 49% in their insurance subsidiaries. The fourth reason is the absence of a developed bond market in India which has resulted in corporates relying upon bank loans, which has resulted in further bloating of bank balance sheets and consequently higher capital mobilisation. Former RBI governor Y V Reddy described financialisation as a situation where the performance of markets, households, or business depends not by demand or supply of commodities but by the liquidity is readily available. The big risk that preponderance of financials in the sensex pose is that a bad loan problem in banking could drag down the entire economy.||http://timesofindia.indiatimes.com//business/india-business/from-0-to-42-financials-weightage/articleshow/80395169.cms||Mayur Shetty
January 22, 2021||Meerut||HC issues notice to UP govt, IAS officer over cast certificate||MEERUT: The Allahabad high court has issued notices to the state of UP and former additional principal secretary, social welfare, in a case pertaining to issuance of Scheduled Caste certificates to those in the other backward caste (OBC) category. The petitioners said that while caste ‘Julaha’ has been declared OBC in the Gazette of India (Presidential notification), the IAS officer, without any approval of the authorities concerned, directed the commissioners of Meerut, Moradabad, Agra and Saharanpur divisions and district magistrates of Saharanpur, Meerut, Ghaziabad, Rampur, Baghpat and Firozabad to issue certificate of caste ‘Kori’ to Hindu Julaha, Koli and Kabirpanthi Bunkar. So far, two cases have been filed against this in Baghpat and Saharanpur. In Baghpat, the local DM, too, has been made one of the respondents. Even the central government had taken cognizance of the issue and a letter was dispatched addressed to the principal secretary, UP’s social welfare department on June 21, 2019 (copy of which has been accessed by TOI). The letter signed by Bharat Lal Meena, the then director (administration), ministry of social justice and empowerment, states, “It is appropriate that the state government should withdraw their circulars and may consider sending the proposal for inclusion of Hindu Julaha, Koli, Kabirpanthi Bunkar in the list of SCs, if they fulfill the criteria of scheduling a caste as an SC to Government of India for considering their case in accordance with the statute.” The petitions have been filed under the aegis of Samvidhan Bachao Trust whose convener, Raj Kumar said, “We have been trying to fight violation of the Constitution for quite some time. It may be noted that even the Supreme Court in a similar case has directed that caste certificates should be issued strictly in accordance with the Presidential notification. Yet the officer knowingly and willfully issued government orders dated November 6, 2011 and July 16, 2020 for issuing caste certificates and thus committed offence under IPC’s section 124A (sedition), 217 (public servant disobeying direction of law) and 218 (public servant framing incorrect record or writing).” The HC is set to hear the Saharanpur case on January 29 and the Baghpat case on February 25.||http://timesofindia.indiatimes.com//city/meerut/hc-issues-notice-to-up-govt-ias-officer-for-wrongfully-issuing-sc-certificates-to-obcs/articleshow/80391996.cms||Sandeep Rai
January 22, 2021||Business||Overpriced markets make investors cautious||NEW DELHI: A price-to-earnings (PE) ratio of over 34 times for the sensex, compared to the long-term average of 21.8 times, shows that experienced investors have turned extremely cautious. Market analysts, however, feel that as long as central banks around the globe keep pumping money into the system and the economy, stock prices may not fall anytime soon. The PE ratio indicates the amount of money an investor is ready to pay for every rupee of a company’s net profit. According to Axis Securities chief investment officer Naveen Kulkarni, it’s the global liquidity deluge that’s pushing stocks and markets to record valuations, which look “stretched”. So, if global liquidity continues to remain at an elevated level, then chances of a correction in markets will also remain low. “Good quarterly results by corporates are also supporting prices, so any deep correction in the market is not expected,” he said. The liquidity deluge is the result of the concerted efforts of central banks around the world that opened their financial war chest to support their country’s economy as the pandemic ravaged across the globe. Market players pointed out that this was the result of their learnings from the global financial crisis of 2008-09. “It’s a template they are following to come out of an extremely difficult financial situation,” the head of a broking house told TOI recently. The result of this flood of liquidity is that “we now have more money to buy stocks but the supply of stocks is not matching the flow of money”, said an investment adviser. This adviser also agrees with Kulkarni’s view that any deep market correction is a distant possibility. “The chances of any correction look remote as long as liquidity infusion measures by central banks do not reverse...and that may not happen in the next couple of years,” the investment adviser said.||http://timesofindia.indiatimes.com//business/india-business/overpriced-mkts-make-investors-cautious/articleshow/80395163.cms||Partha Sinha
January 22, 2021||Patna||Union minister Ramesh Pokhriyal opens KV building in Bettiah||PATNA: Union education minister Ramesh Pokhriyal inaugurated a new Kendriya Vidyalaya (KV) at Bettiah in West Champaran via videoconferencing on Thursday. Speaking on the occasion, Pokhriyal said KVs had become the hallmark of excellence in the country. “In the last six years more than 150 new KVs have been opened and the construction of the remaining school buildings is underway,” he added. The Union minister also lauded the KVs for adopting green standards and initiating eco-friendly campaigns like ‘One Student, One Tree’, ‘Water Conservation’ and ‘Rainwater Harvesting in School Buildings’. Referring to the New Education Policy and its various provisions, Pokhriyal said, “While the academic session was delayed in many countries due to the Covid-19 pandemic, teachers, students and parents here quickly adapted themselves to virtual platforms without hampering the education.” The new building of KV at Kumarabagh in Bettiah is spread over 10 acres of land provided by the state government and developed at a cost of Rs 13.016 crore. Although the school was established in the district in 2003, it had been operating from a temporary building. At present, KV has 489 students from classes I to X. There are altogether 53 KVs in Bihar with four operating in two shifts. “When the new school becomes fully functional from classes I to XII, almost 1,000 students of the district will be benefited,” a senior official of KV claimed. Bihar deputy chief minister Renu Devi, MPs Sanjay Jaiswal, Sunil Kumar, Satish Chandra Dubey, MLA Umakant Singh and MLCs Rajesh Ram and Virendra Yadav attended the videoconferencing from Bettiah.||http://timesofindia.indiatimes.com//city/patna/union-minister-opens-kv-building-in-bettiah/articleshow/80392692.cms||Faryal Rumi
January 22, 2021||Patna||NDA fumes as RJD backs teacher aspirants’ protest||PATNA: The lathicharge on protesting candidates who have passed the Bihar Teachers Eligibility Test (BTET) and Central TET (CTET), has given another opportunity to the opposition to attack the Nitish Kumar-led government. The teachers are demanding completion of the process of selection of teachers and issuing appointment letters to the qualified candidates. Leader of Opposition Tejashwi Yadav on Wednesday evening came to the aide of the protesting candidates when he was told that the aspirants did not get permission for a peaceful protest at their planned venue. In a viral video on social media, Tejashwi was seen talking to Patna DM Chandrashekhar Singh over the phone to get permission for the protestors to sit on dharna. Talking to media persons, the RJD leader on Thursday said the candidates have the democratic right to protest to press for their demands, but the state government is trying to snatch away their rights. “Teachers were protesting at Gardanibagh protest site, but they were batoned by the police on January 20. Do they have to seek permission daily for their protest,” he asked. RJD spokesperson Chitranjan Gagan said, “It is very unfortunate and a shame for the government of Bihar that after nearly two years have passed but they could not complete the recruitment of primary teachers in government-run schools.” Jitan Ram Manjhi tweeted on Thursday: “Nitish Kumar had recruited the teachers and giving all facilities to them and increased their salaries. The state government will further work for the rights of teachers. The leaders who dis not pay salaries to teachers while they were in the government, are provoking and instigating innocent teachers to break the law (sic).” Prem Ranjan Patel, spokesperson of BJP told this newspaper that it was inappropriate the way Tejashwi was trying to instigate teachers against the state government. “On Thursday, the leader of opposition called different organisations at his residence and provoked them to disrupt law and order. Secondly, he could not invite so many people in such a way in a VIP and restricted area. He is doing all this drama because he lost the election,” he said. The state government in September 2019 had issued an advertisement for the recruitment of about 94,000 primary teachers in government schools. However, the process has not been completed because the matter was pending in court. In December 2020, the Patna high court had given its verdict on the resumption of the recruitment process. Sanjay Kumar, principal secretary of the education department told this newspaper that the department is seriously looking into the case. A senior education department official said, “All applications have been received manually and the department is examining it accordingly to ensure there is transparency and fairness in the selection process because the department had a bad experience in the selection process of teachers. We have to ensure that the right people would be recruited,” he said.||http://timesofindia.indiatimes.com//city/patna/nda-fumes-as-rjd-backs-teacher-aspirants-protest/articleshow/80393228.cms||Faryal Rumi
January 22, 2021||Business||Car sales growth slows to 20-year low in 2015-2020||CHENNAI: Increased cost of ownership, high base effect and lower disposable incomes pushed car sales growth to just 1.3% during 2015-20, a dip from 6% in the preceding five-year period. Compounded sales growth of cars and sports utility vehicles between 2005-10 was 13%, which slowed to 6% in the next five-year block, and further slowing to just 1.3% now. But one of the big reasons for the drop is the slowdown in economic growth. “The pace of growth for the passenger vehicle segment was high in the 2000-2010 period due to strong economic growth, new model launches and reduction in excise duty in 2005-06. After that, growth slowed due to moderation in economic growth and increase in cost of ownership due to high fuel cost in 2012-13. Since 2015, sales have been impacted due to regulatory norms and demonetisation, among other factors,” said Crisil director Research Hetal Gandhi. Of course, a sharp slowdown in previous year and the pandemic this year has slowed down momentum. “The growth pace tapered off from 2012 onwards and has since then stayed range-bound because it is a reflection of the performance of the economy and the resultant consumer sentiment,” said ICRA VP Ashish Modani. What has also impacted new car buyers is the expansion of the used car market. “A significant growth in the pre-owned car market has offered a new value proposition. As the car park grows and consumer buying behaviour changes, there is bound to be an impact on overall volume growth,” said E&Y head (auto sector) Vinnay Raghunath. Some feel that increasing cost of ownership has spooked sales growth. “Cost of ownership has been going up sharply due to regulatory changes (BS4, BS6 emission norms), taxes, insurance, road tax and increase in material costs. In the last 10 years, there has been a 60% increase in on-road price of cars and SUVs due to this cost pile-up,” said Maruti Suzuki India executive director (marketing & sales) Shashank Srivastava. A premium hatchback car with an ex-showroom price tag of just over Rs 5 lakh in 2010 and below Rs 6 lakh after road tax and insurance now costs Rs 9.55 lakh on road. Finally, despite the slowdown, India is still one of the few big auto markets still on the growth lane. “The base effect is of course one reason why the CAGR (compounded annual growth rate) has slowed down, but the good news is apart from last year (slowdown) and this year (pandemic),” said BMW Group CEO Vikram Pawah.||http://timesofindia.indiatimes.com//business/india-business/car-sales-growth-slows-to-20-year-low-in-2015-2020/articleshow/80394132.cms||Nandini Sen Gupta
January 22, 2021||Patna||Shahnawaz, Sahani elected unopposed as MLCs||PATNA: BJP national spokesperson Syed Shahnawaz Hussain and VIP chief Mukesh Sahani were elected unopposed as members of the legislative council (MLC) on Thursday. The Patna divisional commission, Sanjay Kumar Agarwal, who was the returning officer, handed over the certificates to them. Hussain, a two-time MP and former Union minister, is set to get a berth in the Nitish Kumar cabinet. Sahani is already serving as minister for animal husbandry and fisheries. Both filed their nominations on January 18 as NDA candidates in the presence of CM Nitish Kumar and other senior leaders of the ruling party. Soon after receiving the certificate, Hussain tweeted, “I am feeling glad to be elected as a member of the legislative council unopposed. I express my gratitude to top leadership of the BJP, including PM Narendra Modi, party national president J P Nadda and Union home minister Amit Shah.” He revealed that he had been serving as a worker of the party since 1986. “Whatever the responsibility the party deemed to be fit, I have discharged it honestly and with full vigour and hope to do so in future also,” he posted on Twitter. Hussain’s return to state politics will boost the party’s support in Seemanchal region comprising Purnia, Katihar, Araria and Kishanganj districts, which have a sizable Muslim population. He is a prominent Muslim face of the party both at the Centre and the state. VIP chief Mukesh Sahani also felt elated after being elected as an MLC. He, however, used the opportunity to attack RJD and the leader of opposition Tejashwi Prasad Yadav for making hollow promises to provide jobs to 10 lakh youths. Meanwhile, a senior BJP leader attributed the reason for delay in cabinet expansion to the party’s focus on giving due representation to all sections of society keeping in mind the region where party had performed well in the recently held assembly polls. “Top leadership of the party is in the process of giving their nod to the names of the legislators likely to be inducted as ministers in the cabinet,” the leader preferring anonymity told this newspaper on Thursday.||http://timesofindia.indiatimes.com//city/patna/shahnawaz-sahani-elected-unopposed-as-mlcs/articleshow/80392913.cms||Ramashankar
January 22, 2021||Patna||2 held in Patna for looting jewellery from Delhi showroom||PATNA: A Delhi Police team on Thursday arrested a father-son duo with the help of local police from the vicinity of Patna high court ‘mazar’ under the Kotwali police station area here for their alleged involvement in loot of gold jewellery worth around of Rs 1 crore from a showroom at Pitampura in New Delhi on January 14. SHO of Kotwali police station Sunil Kumar said the arrested people were identified as Subarati Sheikh and his son Abdul Hakim, residents of Sahebganj in Jharkhand. He said the two had reached Patna from Delhi on Wednesday and were scheduled to travel to Jharkhand on Friday. Kumar said eight gold bangles looted from the Pitampura showroom were seized from the possession of the arrested duo. “The two were handed over to Delhi Police. They were later taken to the national capital,” he said.||http://timesofindia.indiatimes.com//city/patna/2-held-for-looting-jewellery-from-delhi-showroom/articleshow/80392788.cms||---
January 22, 2021||Patna||Gurdwara Sheetal Kund to be ready by next year: Nitish||BIHARSHARIF: Chief minister (CM) Nitish Kumar on Thursday bowed his head before Guru Granth Sahib and participated in the concluding day functions at Rajgir’s Sheetal Kund on the occasion of 354th birth anniversary of tenth Sikh Guru Gobind Singh. The CM later inspected the construction work for Gurdwara Shri Nanak Dev Sheetal Kund Sahib and Makhdoom Kund. He expressed satisfaction over the progress of work and said the construction of Sheetal Kund would be completed before the Prakashotsava next year. “Guru Nanakji Maharaj had visited the place in 1506. There were several kunds of warm water around the place then. However, the water was not suitable for drinking purpose. Local residents gathered around Gurunanak Dev Maharaj and requested him for a ‘kund’ of cold or normal water. Gurunanak Devji then touched water of a warm kund with his feet and it turned cold. This is how the Sheetal Kund came into existence. A small gurdwara was built around it long ago, which was named Sheetal Kund Gurdwara,” the CM said. The new gurdwara is being built in an area of one acre with an estimated expenditure of Rs 12 crore. Nitish said once the gurdwara is ready, people visiting Takht Shri Harmandir Sahib Gurudwara in Patna will also visit Sheetal Kund at Rajgir. “Rajgir is a unique place as it is associated with all major religions. It was the capital of Magadh Empire before being shifted to Pataliputra,” Nitish said. The CM added that Gurdwara Sheetal Sahib will soon receive water from the Ganga as the groundwater is fast depleting. At Makhdoom Kund, the CM offered ‘chadar’ at the shrine of Sheikh Sharfuddin Yahya Maneri, a great saint of 12th century, who spent 24 years praying at the place which was named after him.||http://timesofindia.indiatimes.com//city/patna/gurdwara-sheetal-kund-to-be-ready-by-next-year-nitish/articleshow/80392632.cms||Farrukh Nadim
January 22, 2021||Patna||State records 168 fresh Covid cases, four deaths||PATNA: The state’s Covid-19 tally increased to 2,59,449 on Thursday with 168 more people testing positive for the virus in the last 24 hours. Four fresh deaths, on the other hand, took the state’s toll to 1,468 on Thursday. However, with 2,55,080 people recovering from the virus so far, action cases in the state have now come down to 2,899. With 315 more people recovering from the virus in the last 24 hours, the state’s recovery rate has now gone up to 98.32%. As per the health department, Bhojpur, Muzaffarpur, Patna and Saran districts recorded one death each on Thursday. Two more people from the state capital have succumbed to Covid at AIIMS-Patna – a 68-year-old woman and an 80-year-old woman. AIIMS-P’s nodal incharge for Covid Dr Sanjeev Kumar said eight patients were admitted to the hospital and nine discharged on Thursday. Altogether 100 patients are currently undergoing treatment for Covid at the hospital. Of the 168 cases recorded in the state on Thursday, Patna accounted for 73. The district’s tally has now increased to 51,794. However, with 50,288 recuperating from the virus and 405 dying in the district so far, there were 1,101 active cases on Thursday. Among other districts, Bhojpur and Darbhanga reported seven cases each on Thursday; Araria, Gaya and Sheohar six cases each and Vaishali five cases.||http://timesofindia.indiatimes.com//city/patna/state-records-168-fresh-covid-cases-four-deaths/articleshow/80392030.cms||---
January 22, 2021||Patna||Tejashwi reviews preparations for human chain formation||PATNA: Leader of opposition in state assembly Tejashwi Prasad Yadav on Thursday urged people to hold soil in their hands and take a pledge to support farmers while participating in the human chain on January 30 against the three controversial farm laws enacted by the Centre recently. Tejaswhi said the RJD would organise a weeklong ‘kisan jagrook’ programme in the state from January 24 to January 30 to create awareness among farmers. Tejashwi, who held a meeting with senior RJD leaders, including district presidents and MLAs at 10, Circular Road residence of former CM Rabri Devi, told reporters that the human chain will be formed at panchayat and village levels as well. Tejashwi accused the NDA governments at the Centre and in state of failing to address the concerns raised by farmers. “Farmers of Bihar are compelled to sell their produces much below the minimum support price (MSP). For instance, if MSP of any produce is Rs 1,850, farmers are selling the same at Rs 700 or Rs 800. During the RJD rule, farmers used to sell their produces above the MSP,” Tejashwi said, said the Bihar government’s decision to abolish Agricultural Produce Market Committee (APMC) in 2006 led to the plight of farmers in the state. Tejashwi also slammed the state government over various other issues, including law and order, unemployment, problems faced by contractual employees and protests by the TET aspirants. JD(U) state spokesperson Arvind Nishad, however, said Tejashwi was raising the issue of farmers to gain political advantage. “Bihar has already implemented the third agriculture road map and it was awarded by the Centre for it. Two days back, a mobile app and a website, ‘sichai nishchay’, were launched to facilitate technical survey of farmland. Irrigating all farmland in the state is the priority of the state government,” Mishad said.||http://timesofindia.indiatimes.com//city/patna/tejashwi-reviews-preparations-for-human-chain-formation/articleshow/80392771.cms||Sheezan Nezami
January 22, 2021||Lucknow||Nirbhaya’s lawyer: POSH Act needs better implementation||Lucknow: Lawyer in the Nirbhaya case and Supreme Court advocate, Seema Samridhi, said on Thursday that while delay in judicial processes is a major challenge in getting justice for victims of crimes against women, the POSH Act has not been able to achieve desired results due to laxity in implementation. Samridhi was speaking at a webinar on ‘legal tools for women against attempts of harassment at workplaces’ organized by the department of Sanskrit and Prakrit languages at Lucknow University. The event is a part of a six-month campaign launched recently under ‘Mission Shakti’ by LU to sensitise students on gender issues. Citing the example of Nirbhaya case that took almost a year to get listed in court and seven years thereafter for justice, Samridhi said that the government should come up with a mechanism to expedite the judicial process. She explained the aims of Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, also known as POSH Act, to students and faculty members. Dean of arts and Sanskrit faculty Prof BK Shukla informed the audience about strict punishments prescribed in Hindu scriptures for crimes against women. Coordinator for LU Mission Shakti Prof Sheela Mishra said that soon, LU will host a brainstorming session with ICC chairpersons of other institutes in the city to make POSH implementation more effective.||http://timesofindia.indiatimes.com//city/lucknow/nirbhayas-lawyer-posh-act-needs-better-implementation/articleshow/80395468.cms||---
January 22, 2021||Business||Street Smart: Reaping Profits At 50,000 Peak...||Did you invest in the stock market during the April-May lockdown period? Nearly a crore of investors did. The number of new entrants into the stock market each month is now about five times more than what it was a few years ago. Consider this: Between December 2009 and December 2019, the two depositories — CDSL and NSDL — together had added 2.1 crore demat accounts with the total at 3.93 crore. By December 2020, the total had jumped to 4.98 crore, indicating the addition of 1.05 crore demat accounts in just one year. In effect earlier on an average less than two lakh new investors were being added each month. In 2020, this rate jumped to over eight lakh per month. And since the lockdown was imposed, this rate jumped further to over 10 lakh-a-month, official data showed. One of the reasons for the rush to open demat accounts was that during lockdown, investors realised gold was not as liquid an asset as they thought it to be. According to Ravi Kumar, co-founder & CEO, Upstox, the second-largest retail broker in India, earlier, many people saved in gold, something that was a highly liquid asset. But during the lockdown, since everything was shut, they had no way to sell gold to get money. On the other hand, stock markets were open. “People realised that it was important to have financial assets that could provide them liquidity in such extreme situations and physical assets were not as liquid.” There are other reasons too, adds Kumar. During the lockdown, people spent extra time planning their finances. Investors also looked for alternative ways to make money and the stock market was one of them. “The slide in FD rates in the past few years, from 7-9% per annum to 4-5% also prompted people to look at assets that could give them higher returns,” he said. The number of mutual fund investors has also seen a big jump since March last year: From nearly 9 crore folios, the end-November figure was 9.4 crore. The rush of new investors also throws up two important questions: Should you invest in the stock market now when leading indices are at such high levels and most stocks look either fully valued or overvalued? And if the answer is yes, then how should investors invest? According to Rajeev Thakkar, CIO & director, PPFAS Mutual Fund, people who are willing to invest through the mutual fund route, should first decide the quantum of investment and then move systematically. People who are salaried and those with a regular stream of income should invest through the systematic investment plan (SIP) route. And even while taking the SIP route, “diversified schemes are the most suitable ones”, Thakkar said. According to him, investing through the sectoral or market-cap based schemes is not the ideal solution. And what about those who are already invested in stocks directly? According to Arun Kejriwal, director, KRIS, an investment advisory firm, it’s a good time to look at one’s portfolio and go for some cleanup. “Most portfolios have some Class A shares, some Class B and some Class C shares. In the current market, most stocks are up and so it’s the right time to sell the Class C and some Class B stocks and invest the corpus in Class A stocks,” Kejriwal said. Brokers are also advising those who want to enter the market directly to look at investing in blue chips only and not take the undue risk that comes with investing in small and midcap stocks.||http://timesofindia.indiatimes.com//business/india-business/street-smart-reaping-profits-at-50000-peak-/articleshow/80395348.cms||Partha Sinha
January 22, 2021||Patna||Makeshift gun factory busted in Mokama, three arrested||PATNA: Police busted a makeshift gun factory leading to the recovery of a large cache of partially or fully manufactured firearms and ammunition, and arrested three persons at a village under Mokama police station area in rural Patna on Thursday. SP (rural) Kantesh Kumar Mishra said the factory was running inside the house of one Ashok Mistry. “Mistry along with Sooraj Kumar and a minor were arrested. Ashok is aged around 35 years and Sooraj is his son who is 19 years old. The minor is a resident of Saket Vihar in Phulwarisharif,” he said. Mishra said six country-made breach-load pistols, one country-made semiautomatic pistol with magazine, 11 partially manufactured pistols, 19 bodies of pistols, 20 different sized barrels for use in these pistols and six live cartridges were recovered from the spot. “Besides these firearms, equipment like an electrical and hand-held drilling machine, gas-welding machine, grinder, two generators, hammers and several other items were seized from the spot,” Mishra said. Mokama police station SHO Raj Nandan said Ashok runs an iron grill manufacturing shop at his house. “In the guise of this shop, he was operating the gun factory,” he said. Nandan said Ashok used to manufacture these firearms and sell them in bulk to smugglers and suppliers from other districts in the state. “His modus-operandi of not selling the country-made firearms to people from Patna and neighbouring areas kept his activities hidden from police for long,” he said. The SHO said Ashok is accused in four criminal cases of which two are registered with Noorsarai police station in Nalanda and one each with Mokama and Barh. “In Barh, he is accused in a theft case while in Mokama, a loot case is registered against him. One of the cases in Noorsarai is of an attempt to murder where he had shot at a person,” SHO Nandan said, adding the investigation is going on in connection with the case.||http://timesofindia.indiatimes.com//city/patna/makeshift-gun-factory-busted-in-mokama-three-arrested/articleshow/80392783.cms||---
