October 6, 2020||Goa||Donachie looking forward to FC Goa’s Asian challenge||PANAJI: FC Goa defender James Donachie is ready to make his towering presence felt this season. The Australian centre-back is a perfect replacement for Senegalese Mourtada Fall, who followed former coach Sergio Lobera to Mumbai City FC. But more importantly, it is Donachie’s vast experience in the AFC Champions League that FC Goa stand to benefit. The 27-year-old has played in the Champions League for Melbourne Victory and Brisbane Roar. He now wants to leave a mark with FC Goa, who finished as league toppers last season and created history to become the first team from India to feature in Asia’s premier competition. “I like to play in that tournament (AFC Champions League) because you get to play against the best teams in Asia, especially from Japan and Korea. I’m really looking forward to try and do something in that tournament because it’s the first time an Indian team has qualified, so if we can go a long way it will be a big deal,” Donachie said during an online interaction arranged by the club on Monday. The former Australia U-23 player had never imagined playing in India, so soon in his career. He had left Melbourne Victory and signed a three-year deal with the Newcastle Jets, but was loaned to FC Goa after the Coronavirus pandemic prompted A-League clubs to reduce their budgets. He will be the fifth player to join Indian Super League (ISL) clubs from the A-League this season after Gary Hooper (Kerala Blasters), Brad Inman (ATK Mohun Bagan), Jacob Tratt (Odisha FC) and Joel Chianese (Hyderabad FC). Donachie has also played in South Korea for Jeonnan Dragons and has always wanted to play in Europe in the Premier League or the Championship. “It is still a dream of mine, but I don’t think going to Goa is something that will hurt my career. I can play lots of games that will benefit me. I’m hoping to get there with the team at least four to five weeks before the season starts to know the players,” said Donachie. FC Goa have already started their pre-season last week and are waiting for new coach Juan Ferrando and other new signings to arrive. Donachie is also waiting to fly and is mentally prepared to undergo his fourth quarantine in Goa after already going through the process in Australia on three separate occasions. The defender is aware of FC Goa’s attacking style of play and is comfortable with the ball at his feet. He will be a guiding force and will partner Ivan Gonzalez, a Real Madrid youth product. “In my last few years I have been an aggressive centre-back, but also someone who likes to coach on the field. Organising people I think it is a big thing because in the Asian Champions League sometimes you can’t always attack,” said Donachie.||http://timesofindia.indiatimes.com//city/goa/donachie-looking-forward-to-fc-goas-asian-challenge/articleshow/78503310.cms||FLAVIO LOPES
October 6, 2020||Ludhiana||Punjab Agricultural University VC tests +ve for Covid-19||LUDHIANA: Punjab Agricultural University (PAU) vice-chancellor Baldev Singh Dillon tests positive for Covid-19. He gave the sample for testing at Dayanand Medical College & Hospital (DMCH) after feeling symptomatic. His wife too has tested positive. The result of the test was declared on Sunday at 7.30 pm. Since the result, he has been home isolated. His office at Thapar Hall has been closed and others officials who came in contact with him, including director research, director extension education and the registar have been asked to isolate themselves. Even though PAU officials did not confirm the news, but doctors from DMCH has confirmed that he has been tested positive for Covid-19. It has been revealed that VC doesn’t use air-conditioners and used to maintain social distancing during meetings. Prior to this, many officials at PAU were infected and campus was closed for a week, once in August and once in September.||http://timesofindia.indiatimes.com//city/ludhiana/pau-vc-tests-ve-for-covid-19/articleshow/78501103.cms||---
October 6, 2020||Kolkata||West Bengal to get 58 indigenous, low-cost automated AQI monitoring stations||KOLKATA: The city will get at least two more continuous ambient air-quality monitoring stations (CAAQMS) — or real-time air quality reporting stations — and each district two such stations by next March. All these equipment are indigenously developed by state public sector organization Webel at almost one-third the price of the imported ones.  Track the pollution level in your cityAt present, Kolkata has seven and Howrah three such stations. Air quality in the districts is measured manually. Apart from Kolkata and Howrah, Siliguri, Asansol, Haldia and Budge Budge each have one real-time air quality stations. “Collecting real-time air quality data is crucial for analysis of pollution level and working out remedial measures,” PCB chairman Kalyan Rudra told TOI. TimesViewAccurate readings are the basis of any future action. Hopefully, the addition of automatic stations will help us know the real situation and frame relevant policies.PCB is looking at procuring 58 new units. While the units that are currently installed cost around Rs 1 crore each, PCB intends to purchase the machines from Webel for Rs 30 lakh apiece. But before buying the units, PCB will run a pilot study of two units, one at the Administrative Training Institute in Salt Lake and the other at Birla Industrial and Technological Museum in Ballygunge alongside the existing stations to tally the data. Most of the new stations will be installed on university campuses and their affiliated colleges. Vice-chancellors of nearly all universities responded to the PCB chairman’s call and agreed to provide space for the stations. The urban development department has provided space for four stations. Each unit requires 270 sqft, less than the size of a storeroom in an apartment.||http://timesofindia.indiatimes.com//city/kolkata/state-to-get-58-indigenous-low-cost-automated-aqi-monitoring-stations/articleshow/78501107.cms||Subhro Niyogi
October 6, 2020||Chennai||1,500 LED streetlights to replace sodium lamps in city’s added areas||Chennai: To improve infrastructure in the areas added to the Greater Chennai Corporation in 2011, the civic body has floated tenders to procure and install 1,500 LED street lights at a cost of Rs 8.5 crore in zones such as Manali, Madhavaram, Ambattur, Valasaravakkam, Alandur, Perungudi and Shollinganallur. This is part of the civic body’s drive to provide better illumination in these areas by replacing the existing sodium vapour lamps. “In the added areas, new streets keep coming up as people migrate to the peripheries. So the demand for basic infrastructure like roads and lights keep coming up,” said a senior official from GCC’s electrical wing. Though 100% lighting was achieved, demands keep increasing due to vacant lands turning into plots in added areas, the official said. Four hundred of the LED lights will be installed in Valasaravakkam zone, a dense residential and commercial neighbourhood. LED lights have been installed in many parts of the core city areas and has received a favourable response, he added. A senior official from the Manali zone said with LED, the consumption of electricity decreases, while the lighting is brighter and hence gives a perception of better safety. Sajeevan, a resident of Perungudi, said in his area, the civic body had already installed these lights. “The sodium vapour lamps were not very efficient. With the LED lights, there is a separate official at ward level who handles complaints,” he said. GCC will also be installing a remote monitoring system to turn the lights on and off from the headquarters itself. The system will also fix power fluctuations and alert local officials if the lights malfunction. Currently, pillar boxes have timers and lights switch on and turn off at preset time.||http://timesofindia.indiatimes.com//city/chennai/1500-led-streetlights-to-replace-sodium-lamps-in-citys-added-areas/articleshow/78501110.cms||टाइम्स न्यूज़ नेटवर्क
October 6, 2020||Pune||Sassoon docs cure 10-month-old struck down by severe post-nCoV syndrome||Pune: A 10-month-old boy, brought to Sassoon General Hospital’s paediatric intensive care unit with a severe immune overreaction linked to Covid-19 Multisystem Inflammatory Syndrome, has recovered. Paediatrician Aarti Kinikar said, “The baby fits the Covid-linked MIS criteria in children. Past Covid infection was proved by high concentration (titers) of antibodies (IgG) specific to Covid-19. Both parents also had high titers of antibodies indicating past exposure to the virus.” The baby developed high-grade fever, vomiting, and loose stools three days before admission to Sassoon hospital on September 20. “He had convulsions when he was brought here. The pulse was poor and he was showing signs of cardiac failure,” paediatric intensivist Rajesh Kulkarni said.A team of doctors immediately stabilized the baby and treated the convulsions. “The child required ventilator support,” Kulkarni said. All inflammatory markers were highly elevated and blood tests to diagnose cardiac involvement (myocarditis) were very high, Kulkarni explained.The baby started responding after 48 hours but required medications to treat blood pressure for another five days.“This is a unique case of an infant with severe MIS-C requiring mechanical ventilation, medications to treat very low blood pressure and IVIG which led to recovery,” hospital's dean Muralidhar Tambe said. The baby was discharged on October 3.||http://timesofindia.indiatimes.com//city/pune/sassoon-docs-cure-10-month-old-struck-down-by-severe-post-ncov-syndrome/articleshow/78502425.cms||Umesh Isalkar
October 6, 2020||Nagpur||Honey-trappers arrested for robbery, extortion||Nagpur: Nandanvan police on Sunday arrested two alleged honey-trappers, Kewal Buddhadev and Shubham Buradkar, for robbing 28-year-old Hitesh Agashe of cash Rs600, Activa scooter and also forcing him to withdraw Rs13,000 from ATM. They also demanded Rs1 lakh, and threatened to make his video film viral on social media. It’s learnt Agashe was lured by Kewal’s wife Puja, also made co-accused in the case, at her place at Ramna Maroti, where he was tortured and filmed in semi-naked condition. While Kewal and Buradkar filmed Agashe in semi-nude condition, they threatened to implicate him in a fake rape case and robbed him of the cash in his possession and also the cash he withdrew at the ATM. Nandanvan police immediately registered an offence and took Kewal and Buradkar into custody.||http://timesofindia.indiatimes.com//city/nagpur/honey-trappers-arrested-for-robbery-extortion/articleshow/78502426.cms||---
October 6, 2020||Hyderabad||Two peddlers arrested in Hyderabad, 1,000 kg ganja worth over Rs 1 crore seized||HYDERABAD: A gang of inter-state narcotics peddlers was arrested and 1,010 kilos of ganja, worth Rs 1.3 crore, was seized from their possession at Abdullapurmet on Monday. Acting on specific information, LB Nagar Special Operations Team (SOT) sleuths arrested Mohammed Ramzan, 24, a driver of Haryana, and Shashikant Gowtham Rao, 25, a hotel worker from Uttar Pradesh, near ORR in Abdullapurmet while they were transporting ganja from Koraput in Odisha to Uttar Pradesh. Rachakonda police seized 1,010 kilos ganja and a container truck (HR-55-M-459) along with Rs 4,000 cash and two cell phones from the accused. Ramzan and Gowtham reportedly work for Imran of Haryana and Vivek Singh of Varanasi. “Vivek and Imran are habitual ganja peddlers. They have been transporting ganja from Agency areas of AP and Odisha to Uttar Pradesh. The accused store ganja in secret partition behind the driver in the container,” Rachakonda police commissioner Mahesh Bhagwat said. Vivek procures ganja from Mahadev of Odisha. Vivek and Imran purchase ganja from Mahadev for Rs 3,000 a kg and sell it to buyers in Uttar Pradesh for Rs 9,000 a kg. Police said Vivek digitally transfers the money to Mahadev.||http://timesofindia.indiatimes.com//city/hyderabad/two-peddlers-arrested-1000kg-ganja-worth-over-rs-1-cr-seized/articleshow/78502433.cms||---
October 6, 2020||Delhi||Wrong number: Why Delhi has plate full||NEW DELHI: A fortnight after Delhi government’s transport department warned of action against vehicles without high security registration plates (HSRP) or colour-coded fuel stickers, the number of people unable to get their hands on the two despite booking slots online is growing by the day. Hapless vehicle owners who were allotted a date and time slot after applying on the website www.bookmyhsrp.com and paying for HSRP and fuel sticker have visited the dealership only to find the new licence plates hadn’t yet arrived from the plate manufacturer, Rosmerta Safety Systems Private Limited. Vehicle owners said that the dealership staff authorised to affix these could offer no clue about their promised plates and stickers. Not getting the HSRP on the allotted date is only one problem. Those who already have an HSRP and need just the fuel sticker claim it is near impossible to book this on the website. Also, owners of cars manufactured by General Motors and Hindustan Motors said the website offered no option for such vehicles and there was nobody who could answer their query. This lack of information has added to the woes of car owners. The public notice issued by the transport department on September 22 warned of an enforcement drive ‘very soon’, but there is no clarity on the much time vehicle owners would get before the crackdown began. The fine for a vehicle not sporting the new HSRP is Rs 10,000 under the amended Motor Vehicles Act, compoundable to Rs 5,000. Vehicle owners alleged that no one answered the helpline number provided on the website and those manning the transport department helpline had no information either. While Rosmerta claimed on Saturday that the customer care helpline was fully functional between 10am and 6pm, the company didn’t reply to a questionnaire sent by TOI. Vehicle owner S. Bhatia grumbled, “I booked a slot for October 1 for the 4-6pm. I received a message saying that due to a medical situation, the slot had been changed to October 3. After reaching the designated address on that day, I learnt the licence plate hadn’t arrived.” He said that the staff at the dealership refused to call Rosmerta about the problem, asking him to do so instead. Bhatia continued, “After 50 attempts, I managed to get through to the helpline number, and I was told to phone the person who was to deliver the plate to the authorised centre. When I called that number, I was shocked to hear the person given me a volley of abuses, saying he had nothing to do with HSRP but had received over 100 calls from customers.” When an exasperated Bhatia called the customer care number again, there was no response. “On status tracking on the website, my case shows ‘number embossed on October 3’,” Bhatia exclaimed. Sources said that Delhi government has sought the help of Society of Indian Automobile Manufacturers, a representative body of vehicle makers, to ensure coordination between dealerships and original equipment manufacturers (OEMs). A government official revealed that a meeting has been called by Delhi’s transport minister Kailash Gahlot on Tuesday, to be attended, among others, by auto OEMs, HSRP manufacturers, including Rosmerta Safety Systems Private Limited, and senior transport department officials. Gahlot didn’t respond to phone calls and a query sent by TOI. Watch Delhi: Why high security registration plates have added to vehicle owners’ woes||http://timesofindia.indiatimes.com//city/delhi/wrong-number-why-city-has-plate-full/articleshow/78502437.cms||Sidharatha Roy
October 6, 2020||Allahabad||STF arrests exam centre organiser in Prayagraj||PRAYAGRAJ: Special Task Force (STF) on Monday arrested one of the key accused in the 69,000 Assistant Teachers’ Recruitment Scam near Company Bagh Road in Prayagraj. The accused Chandrama Singh Yadav is a resident of Transport Nagar. STF cops also recovered an Aadhar card, a mobile phone and Rs 500 from him. Additional SP (STF) Neeraj Kumar Pandey said, “STF was tipped off that Yadav was seen wandering near Company Bagh road. The team cordoned off the area and nabbed the accused.” Yadav was wanted in connection with a case registered under sections 406, 419,420,467, 468 and 471 IPC and section 66D of IT Act.||http://timesofindia.indiatimes.com//city/allahabad/stf-arrests-exam-centre-organiser/articleshow/78501948.cms||---
October 6, 2020||Bhopal||BJP list for bypolls yet to get party’s election committee nod||BHOPAL: The much-awaited list of BJP candidates for the upcoming bypolls on 28 seats in Madhya Pradesh is yet to get approval from the party’s central election committee. Chief minister Shivraj Singh Chouhan, who returned here on Monday after attending the meeting in New Delhi, held discussions with the state election committee members to reach a consensus over names in three constituencies - Joura, Agar Malwa and Biaora. Sources in BJP said that with a final decision on 25 names, the party is likely to announce the list very soon. “BJP is a party. It is not a private limited company so that you could release the list whenever wanted. The central election committee (BJP) met yesterday evening. Everything has been discussed in the meeting and it (list of the candidates) will come very soon,” said union minister Narendra Singh Tomar in Gwalior on Monday. Sources in BJP disclosed that the meeting discussed mainly candidates for Bihar assembly polls and the state election committee has been asked to reach consensus over names on the remaining three seats. Chief minister Shivraj Singh Chouhan, who returned from New Delhi after attending the meeting did not disclose the details with the media on Monday. "The list of BJP candidates is already open. The official announcement will be made soon," said home minister Narottam Mishra on Monday. Meanwhile, chief minister Shivraj Singh Chouhan attended another meeting of election management committee at BJP office in the evening. Sources said that the state leaders discussed names on three remaining seats and finalised the panel forwarded to the central committee. The management committee also discussed the names with the state election committee members on phone, sources added.||http://timesofindia.indiatimes.com//city/bhopal/bjp-list-for-bypolls-yet-to-get-partys-election-committee-nod/articleshow/78501106.cms||---
October 6, 2020||Chennai||MRTS pillars turn free ad space, defaced with posters||CHENNAI: While red tape has delayed the completion of the elevated MRTS (Mass Rapid Transport System) railway line between St Thomas Mount and Velachery by more than a decade, the pillars of the elevated line have been defaced with posters and political graffiti. With the elections coming up, political parties are expected to deface walls and such flyover pillars further, say residents. The pillars from Thillai Ganga Nagar subway till Vanuvampet were recently defaced with posters announcing the launch of a cellphone showroom and condolences. The pillars, residents in the neighbourhood say, have become the canvas for such non-aesthetic displays and free advertisement space for private entities and political parties. “The posters are an eyesore and it will only get worse in a few months due to the elections,” said M Sadasivan, a retired banker and Nanganallur resident. With the railway line itself not taking shape for several years, residents said defacing of MRTS flyover pillars would be the least of Southern Railway’s concerns. According to R Mani of Puzhuthivakkam, political parties have already started encroaching wall space in their neighbourhood to muster up support for their party. Poster culture, however, is ubiquitous to the city. From the ones by political parties and movie promotions to those grieving deaths to temple festivals and treatments for incurable diseases, posters of all sizes and colours are stuck all around the city. Civic officials, however, take steps from time to time to ward off the menace. The lockdown and the restriction on public movement has allowed the Tambaram municipality to beautify parapet walls of Tambaram Railway bridge. “Until now, the walls were vandalized with posters and we couldn’t work on them,” said a municipality official. Such posters can be found on flyovers and bridges under the maintenance of Greater Chennai Corporation too, but efforts such as vertical gardens, which are at various stages of completion, are expected to address the issue.||http://timesofindia.indiatimes.com//city/chennai/mrts-pillars-turn-free-ad-space-defaced-with-posters/articleshow/78501119.cms||---
October 6, 2020||Varanasi||Junior doctor ends life at Saifai Medical University||KANPUR: A 27-year-old junior doctor of Uttar Pradesh University of Medical Sciences in Saifai, Etawah allegedly committed suicide by hanging himself with a ceiling fan hook in his room at Vivekanand hostel on Sunday night. He has left behind a suicide note which is in the possession of the police. The deceased student was identified as Saurabh Pandey, a native of Sahibganj’s Subhash Colony in Jharkhand. He was in the Ist year of post-graduation at the university. The incident, however, came to light on Monday afternoon when his batchmates staying in adjacent rooms found his room locked from inside. They alerted the hostel warden, who in turn informed the local police. The police rushed to the spot and broke open the doors and found him hanging from the ceiling fan hook. The incident sent shock waves in the university. Station house officer (SHO) Saifai Chandra Deo Singh told TOI that the deceased student was alone in his hostel room.||http://timesofindia.indiatimes.com//city/varanasi/jr-doc-ends-life-at-saifai-medical-univ/articleshow/78502514.cms||Faiz Rahman Siddiqui
October 6, 2020||Pune||Single-day tally hits over 2-month low, toll dives too||Pune: The Pune Metropolitan Region (PMR)’s single-day Covid-19 tally declined to over two-month low on Monday, with 1,240 people testing positive in the last 24 hours, over reduced testing. The Monday’s tally comes after July 12 when 1,088 people had tested positive. The single-day Covid-19 toll in PMR also dived to about one-and-a-half-month low, with 51 patients succumbing to the infection in the last 24 hours. This toll comes after August 11 when 48 people had died of Covid-19 infection. As for recoveries, 2,804 were discharged on Monday — more than double the number of new cases. Barring cantonments, all other areas in PMR recorded more recoveries than the new cases. With this, the PMR tally has risen above 2.95 lakh, while its recoveries have increased above 2.53 lakh. The PMR toll has risen to 6,867. Unlike other days, more positive cases were recorded in PCMC limits (443) than the Pune municipal areas (391). As per the data released by the district health office, 917 recoveries were recorded in PMC limits, 833 in the PCMC limits and 810 in rural parts of Pune. As per PMC data, 2,880 patients were taking treatment on oxygen beds in its limits. The daily report of PMC stated that 905 critical patients were admitted in hospitals, including 507 on ventilator support. Out of the 51 deaths in the last 24 hours, the PMC limits recorded 31, while the PCMC areas reported 13.||http://timesofindia.indiatimes.com//city/pune/single-day-tally-hits-over-2-month-low-toll-dives-too/articleshow/78502431.cms||---
October 6, 2020||Kolkata||Charge 80% of pre-Covid fees: Calcutta HC to schools||KOLKATA: For the pandemic-induced closure period, schools should ask for 80% of what they used to charge during the pre-pandemic times, the Calcutta HC observed during a hearing on fee PILs on Monday. The court also observed that institutes should limit their profit to 5% during the closure period. The court took April 2019 as the benchmark, against which the reduction can be given, since things functioned normally back then. Lawyers Raja Satyajit Banerjee and Vineet Ruia, who represented 145 schools, were heard by justices Sanjib Banerjee and Moushumi Bhattacharya on Monday. The hearing will continue on Tuesday. The judges observed that neither the students, whose parents could not pay fees due to the pandemic, nor teachers should be removed by schools and that there should be no salary cut. During the past hearings, a state circular dated July 20, which had asked schools to follow certain guidelines regarding fee relief, was brought up. This circular asked schools not to charge fees for which services were not provided during the closure. This one and three other templates were being considered as the formulae for fee relief. On Monday, the court, however, observed that this circular might be vague. Hence, the court proposed to come out with a universal formula. Since schools are saving a lot during the closure period, they should pass on the benefits to students. All schools will have to comply with the order and a contempt petition may be moved in case of non-compliance, the court added.||http://timesofindia.indiatimes.com//city/kolkata/charge-80-of-pre-cov-fees-hc-to-schools/articleshow/78501118.cms||Jhimli Mukherjee Pandey
October 6, 2020||Bhopal||It’s a fight for dignity of women: Congress||BHOPAL: As part of Congress’s nationwide satyagraha against Hathras incident, the party organized demonstrations across district headquarters in Madhya Pradesh. Here in the state capital, district Congress took out a protest march from the Pradesh Congress Committee office up to the Ambedkar statue near MP Nagar Square. District Congress led by former minister and MLA PC Sharma sat in protest at the PCC office on Monday afternoon. The activists of the district Congress were joined by members of the Mahila Congress and together they marched towards the Ambedkar statue. Wearing black ribbons and carrying black placards, they chanted slogans demanding justice to the victims of crimes against women. “From Hathras to Madhya Pradesh, there are widespread incidents of rapes, gang-rapes and crimes against women. Here, in Bairagarh a woman was a victim of such atrocities that her relatives had to protest inside the police station because there was no action being taken. A woman committed suicide in Narsinghpur because the police would not register her complaint after she was allegedly gang-raped,” PC Sharma said. “This is a fight for the dignity and justice for women of this state and the country,” the former minister said. “Every other day there are violent incidents against women and chief minister Shivraj Singh Chouhan remains silent on the issue. The present government is incapable of giving protection to women. We demand the resignation of chief minister Chouhan for his inability to provide security to the daughters of this state,” he added.||http://timesofindia.indiatimes.com//city/bhopal/its-a-fight-for-dignity-of-women-cong/articleshow/78501115.cms||---
October 6, 2020||Kolkata||Kolkata climbers leave Covid behind, eye Ama Dablam||KOLKATA: A team of five mountaineers from Bengal is scheduled to scale Mount Ama Dablam next month. With the Nepal government opening the doors to mountaineers from other countries, this expedition is likely to be one of the first outside India after the pandemic broke out. “We decided to give it a shot when the Nepal government started allowing mountaineers from October. All the explorers have seen Ama Dablam from the Everest base camp and appreciated its beauty. It is the most aesthetic mountain in the Himalayas. We thought of scaling it this time,” said Malay Mukherjee, who will go on the expedition along with Debashish Biswas, Satyarup Sidhanta, Rudra Prasad Halder and Kiran Patra. “When we started talking to the Nepal government a few weeks back, they said we were the first ones to approach them post the pandemic,” Mukherjee said. Meanwhile, a team of climbers from Bahrain, led by Prince Shaikh Nasser bin Hamad Al Khalifa, has climbed Mount Manaslu. Popularly known as the ‘Matterhorn of the Himalaya’, the 6,812m mountain has a usual ascent from the south-western ridge. The challenge starts from Camp I as narrow edges of granite ridge get quite technical for climbers. It becomes even tougher as climbers cross camps II and III. First climbed in 1961 by a team of four climbers, Ama Dablam has so far not been scaled by anyone from Bengal. The team, which is gearing up for the climb after a gap of nearly 10 months, is scheduled to leave for Nepal in the first week of November. “There are restrictions in Nepal and they are asking for seven days’ quarantine now. But the Nepal government is likely to revisit the norms mid-October,” said Satyarup Sidhanta. “Normally, the expedition takes 25 days, but we are trying to cut down on the duration depending on the weather. The biggest hindrance is finding a sponsor during the pandemic. Most of the companies have cut down their budget and it is tough to get a sponsor now,” said Sidhanta.||http://timesofindia.indiatimes.com//city/kolkata/city-climbers-leave-covid-behind-eye-ama-dablam/articleshow/78501112.cms||Rohit Khanna
October 6, 2020||Nagpur||Chandrapur reports below 100 Covid cases after 37 days||AMRAVATI: The district has been recording more recoveries than new cases for the last three days. As against a spike of 119 new cases, the district recorded 210 recoveries on Monday. The spike took the caseload to 14,124 while the recoveries reached 11,765 for a rate of 83.30%, according to a civil surgeon office report released on Monday. The day also saw five patients losing their battle to coronavirus. This took the toll to 316. This left 2,043 patients, including 945 at Covid Hospital, 12 in Nagpur and 1,086 in home isolation, under treatment. CHANDRAPUR: With the detection of 92 new Covid cases on Monday, the district has, for the first time after 37 days, seen less than 100 cases in a day. The last time the district had reported single-day caseload below 100 was on August 27 when 97 patients were detected. The peak came on September 26 when there was highest 436 detections in a single day. There were seven deaths in the district during the last 24 hours. The day witnessed 113 persons being discharged taking the total recoveries to 7,671, leaving 3,273 under treatment. The deceased include 70-year-old male and 65-year-old female from Nagina Bagh, 57-year-old from Nehru Nagar, 78-year-old from Mukta Colony in Chandrapur city, 55-year-old from Rampur in Rajura tehsil, 52-year-old woman from Bramhapuri and a 68-year-old person from Bhadrawati. All the deceased had co-morbidities. While the six of them died at Chandrapur GMCH, one succumbed to the virus at a private hospital. YAVATMAL: The district recorded two more Covid deaths on Monday of which one is a 46-year-old man from Yavatmal and 65-year-old man from Digras. Also, 13 new Covid patients, including three women, were detected in the day. There are 233 patients in isolation wards. The civil surgeon has not submitted any update on Monday also and hence the exact figure is not available with the GMCH, says an official press release. The reason for the civil surgeon not releasing the update is not known. Till Sunday, it was presumed that the exact data could not be made available due to strike by the doctors. However, even after the strike has been called off and doctors have resumed duty, the updated figures have not been released. WARDHA: Reporting 74 new Covid cases on Monday, the district crossed 5,000-mark to take the total patient count to 5,010. Three deaths and 92 discharge were also reported on Monday. Till date, total 38,407 swab samples were sent for testing, while results of 22 are awaited. Total 2,815 patients have defeated coronavirus and 2,052 are undergoing treatment. The two men (72 and 65) from Wardha and a 63-year-old man from Hinganghat died due to coronavirus, taking the Covid toll to 143. New patients were reported from Wardha 52, Selu and Ashti 6 each, Hinganghat 5, Karanja 3, Deoli and Arvi one each. AKOLA: The district was the only other place in West Vidarbha to not report any Covid death on Monday in addition to Buldhana. The cases too remained low at 35, though the total number of cases climbed to 7,645. So far, 244 people have died here of Covid. Also, 53 were discharged on Monday and in all 6,569 have beaten Covid till now. There are 832 patients under treatment. WASHIM: One death and 53 new cases were reported on Monday. This took the patient count to 4,657 and 96 deaths. There are 609 active cases here now while 63 recoveries in a day took the count to 3,951. The deceased was 74-year-old and had been under treatment. The administration also identified 34 patients from outside the district, but admitted in hospitals in the district. BULDHANA: The administration received 385 reports including those from labs and Rapid Antigen Test (RAT) kits. Of this, 265 were found negative while 120 positive. As per the reports received, 114 positive samples were tested in labs and six confirmed through RAT, taking the patient count to 7,768 so far. A whopping 227 negative reports belong to labs while 38 of RAT. Those testing positive are from Mehkar, Malli, Janfad, Sindkhed Raja, Khamgaon and other places. As per Covid Care Centre data, 140 patients were discharged on Monday taking the recovery tally to 6,654. As of now, 1,054 patients are under treatment while toll remained at 99. GADCHIROLI: The district reported 99 new cases, but no one died of Covid-19 on Monday. The pattern of more recoveries than new detections was not evident here. While 99 patients were declared recovered, 844 are still under treatment after the addition of new ones. The district’s tally jumped to 3,308 cases, and 2,431 discharged, while toll remains at 21. GONDIA: For sixth day in a row, the district’s day’s recovery tally surpassed new cases on Monday. With 280 patients getting discharge, the recovery numbers comfortably crossed 6,000-mark while 80 new patients put the total Covid count at 7,547. This brought the active cases to 1,265. The administration has facilitated 1,538 beds in 15 government hospitals and 219 beds in five private hospitals. Of the total 1,757 beds, only 487 are currently occupied in these hospitals. The new patients include 57 from Gondia, four from Tiroda, Amgaon 6, Salekasa 2, Deori 4, Sadak Arjuni 3 and Arjuni Morgaon 4. BHANDARA: The district reported 97 new cases but the number of those recovering from Covid-19 stood way ahead at 197, like the neighbouring district of Gondia which too had more recoveries in the day. The recovery rate improved to 71% with total cases at 6,087, discharged at 4,309 and active cases at 1,639. However, three more Covid deaths took the toll to 139.||http://timesofindia.indiatimes.com//city/nagpur/chandrapur-reports-below-100-covid-cases-after-37-days/articleshow/78502430.cms||Mazhar Ali
October 6, 2020||Lucknow||Plot to trigger caste violence exposed, claims UP police||LUCKNOW: UP Police claims to have unmasked a conspiracy in which a host of organisations and individuals joined hands to trigger caste violence in the garb of seeking justice for Hathras rape victim and her family. In all, 19 FIRs were lodged across UP -- six of them in Hathras -- on Monday for spreading rumours and trying to vitiate the atmosphere in the state, additional DG (law and order) Prashant Kumar told reporters in Lucknow. At least six people, including two in Lucknow, have been arrested in connection with these FIRs. Without naming any political party, the ADG claimed that conspiracy was hatched to push the state into turmoil.||http://timesofindia.indiatimes.com//city/lucknow/plot-to-trigger-caste-violence-exposed-claims-up-police/articleshow/78503147.cms||---
October 6, 2020||Nagpur||New Covid cases further dip in Vid, rise in recoveries||Nagpur: Continuing the slide, Vidarbha’s Covid caseload on Monday plunged further by 79 to a new single-day low of 1,530 in the last 40 days, while fatalities remained a worry as 58 more patients succumbed to the disease. Among the 11 districts of Vidarbha, seven reported new cases below 100, while four recorded 100 and above, Nagpur with 746 remaining at the top. For the first time in 37 days, Chandrapur’s daily cases dipped below 100 after 92 new cases were detected on Monday. Against the new Covid cases, 2,212 recoveries were the highlight of the day which also reduced the number of patients under treatment to 25,299. While high recoveries kept the percentage at 80, higher Covid deaths increased the fatality rate to 2.7%. Vidarbha tally on Monday rose to 1,58,198 cases, 1,28,653 recoveries, and 4,272 deaths. Gadchiroli, Akola and Buldhana didn’t witness any Covid death on Monday. Nagpur 36 recorded highest of the day among the 11 districts followed by Chandrapur 7, Amravati 5, Bhandara and Wardha 3 each, Gondia and Washim one each and Yavatmal 2. Besides Nagpur 746, Amravati 119, Buldhana 120 and Gadchiroli 111 reported new cases in three-digits followed by Bhandara 97, Wardha 74, Gondia 80, Chandrapur 92, Washim 53, Yavatmal 13 and Akola 25. On the recovery front, Nagpur 965, Gondia 280, Bhandara 197, Amravati 210, Buldhana 140, Washim 63, Akola 53, Wardha 92, and Chandrapur 113 exceeded the new case tally. Gondia remained the only district where active cases went up in the day.||http://timesofindia.indiatimes.com//city/nagpur/new-covid-cases-further-dip-in-vid-rise-in-recoveries/articleshow/78502435.cms||Sarfaraz Ahmed
