20-12-2021||News||2021 in numbers: Central government’s receipts||The Covid-19 pandemic has taken a toll on livelihoods as well as human life. As earlier stories in this series have shown, it has hurt jobs and incomes. There is a view among economists that this strain put on livelihoods by the pandemic, which continues to a lesser degree in even the current financial year because of new variants of the Sars-CoV-2 virus, can be reduced by the government putting money in the hands of the people. Any government’s capacity to spend, however, depends on how much it earns. The central government’s receipts also took a hit in the last financial year. This is what receipts look like in the current financial year that began in April.
20-12-2021||News||Mind The Gap | The case for and against raising the marriage age for women||THE BIG STORY
20-12-2021||Chandigarh||Punjab elections: Age no limit for Badal Senior, launches campaign from Lambi||Nonagenarian Akali patriarch Parkash Singh Badal launched his party’s poll campaign in the Lambi assembly segment of Muktsar district on Monday with eight public meetings. Also read: Punjab elections: Sidhu wants debate with Kejriwal, not Bhagwant MannAccompanied by his daughter-in-law and Lok Sabha member from Bathinda, Harsimrat Kaur Badal, the five-time former chief minister has been evading a direct reply on whether he will be contesting the 2022 elections or not. When pressed for an answer on Monday, he didn’t reveal his plans but expressed gratitude to the electors of Lambi who had made him victorious from the rural constituency for the past five elections. Badal, who celebrated his 94th birthday on December 8 has been contesting elections successfully from Lambi since 1997. Earlier, he represented the Gidderbaha segment for another five terms since 1969. The Shiromani Akali Dal has announced candidates for more than 80 seats. Lambi and Jalalabad are among the key seats from where the party has yet to announce its candidates. Former deputy chief minister and SAD president Sukhbir Singh Badal was elected from Jalalabad twice in 2009 and 2014. During his two terms, he tried to nurture the segment as a SAD bastion. But in the 2019 bypoll, the SAD had fielded Raj Singh Dibbipura, who lost to novice candidate of Congress Raminder Singh Awla. Parkash Singh Badal will be super CM: Harsimrat At a public meeting at Bhitti Wala village of Lambi segment on Monday, Harsimrat said people want Parkash Singh Badal to contest again. “On winning the elections, Sukhbir may be the chief minister, but Sardar Parkash Singh Badal ji will be super CM. He will remain the guiding force for the government,” she said. “It is the wish of the people of your constituency. You need not step out of your home as I will represent the family and shoulder the responsibility of campaigning,” she appealed to Badal Senior. Villagers and aides of Badal urged him to contest but he kept everyone guessing on his plans. Congress has done maximum damage to Punjab: Ex-CMAddressing the gathering, he said the coming elections are crucial for Punjab and Punjabis. He said the SAD is known to protect the social fabric and works for inclusive development. Badal said he owed his success in public life to voters in villages. “In my political career spanning seven decades, people voted for me to form governments and represent them. They even went to jails when I was imprisoned by political dispensations for raising their voice,” he said. “The Congress has done maximum damage to the state and to the spirit of Punjabiyat. Incidents of military action on Darbar Sahib, Amritsar, and the anti-Sikh riots of 1984 were the real faces of the Congress. Leaders of such a party should not be let in the village,” he said.||https://www.hindustantimes.com/cities/chandigarh-news/punjab-elections-age-no-limit-for-badal-senior-launches-campaign-from-lambi-101639992566674.html
20-12-2021||Delhi||As air quality improves, CAQM lifts construction ban in Delhi-NCR||NEW DELHI: The Commission for Air Quality Management (CAQM) in the National Capital Region and adjoining areas on Monday lifted the ban on construction and demolition (C&D) activities in NCR and the ban on entry of petrol and diesel trucks into Delhi with immediate effect, citing an improvement in air quality over the past few days.In its order issued on Monday morning, CAQM said construction and demolition activities can resume immediately, but each site needed to follow the norms and guidelines laid down by the Central Pollution Control Board (CPCB).All construction and demolition sites in Delhi and the NCR districts of Uttar Pradesh with a plot size of more than 500sqm will, however, also have to register themselves on a ‘web portal’ developed by the state governments for online monitoring by agencies. For Rajasthan and Haryana, where the web portal is yet to be commissioned, the registration process will need to be done latest by January 20, 2022, the CAQM said. HT has reviewed a copy of the order.Also Read: Political narrative on air quality management in India“Air quality in Delhi has improved from the ‘very poor’ category and has been in the ‘poor’ category consistently for the last three days. The meteorological and weather forecast by the Indian Meteorological Department (IMD) indicates continuation of this favourable trend of wind speed and climatic conditions to facilitate dispersion of pollutants from the region,” said the CAQM in its order on Monday, underlining that entry of trucks into Delhi was being allowed with immediate effect. “Construction and demolition activities will also now be permitted, with immediate effect, subject to persons and agencies undertaking C&D activities strictly complying with directions and orders for dust control norms issued by the commission from time to time as well as those under the Construction and Demolition Waste Management Rules and various CPCB guidelines in this regard,” said the order. The commission, however, clarified that all units and sites shut down by it or by state governments for violating the norms will not be allowed to reopen under this order. It said each project proponent will be required to approach the commission individually for a review.The commission first banned construction and demolition activities across NCR on November 16, 2021. This order, which exempted activities notified as “essential, was effective till November 21. The prohibition on construction activities in NCR was, however, re-imposed on November 24, and only non-polluting activities such as interior work, plumbing and electrical activities were allowed to continue. The states concerned were told to pay notified minimum wages to workers.CAQM extended the ban on December 17 but with relaxations to construction activities for hospitals, nursing homes and healthcare facilities; linear public projects such as highways, roads and flyover and sanitation and public utility projects such as sewage treatment plants and water pumping stations.The ban on entry of trucks into Delhi has been in place since the November 16 and was extended multiple times over the last one month. CAQM has already lifted the ban on physical classes at schools, colleges and educational institutes in NCR, along with restrictions on six out of 11 thermal power plants operating within a 300-km radius of Delhi. While the restrictions on thermal power plants were lifted on December 12, the restriction on schools and colleges was lifted five days later on December 17.The Air Quality Index (AQI) across NCR was hovering between the higher end of the ‘poor’ and the lower end of the ‘very poor’ category on Monday. While Delhi’s AQI was recorded as 332 (very poor) at 12 noon, Faridabad, Gurugram, Greater Noida were in the ‘poor’ category with readings below 300. Ghaziabad and Noida, like Delhi, were in the ‘very poor’ category with readings of 328 and 308 respectively.An AQI between 101 and 200 is ‘moderate’, between 201 and 300 is ‘poor’, between 301 and 400 is ‘very poor and over 400 is ‘severe’ as per CPCB’s index.Dipankar Saha, former head of CPCB’s air laboratory, says good wind speed has played a key role in improving air quality across the Indo-Gangetic Plain region. “If the air is good, we can allow developmental activities to resume and ensure our economy keeps functioning. Trends indicate air quality will not deteriorate too much in the coming days either as a western disturbance will again impact the region,” said Saha.||https://www.hindustantimes.com/cities/delhi-news/as-air-quality-improves-caqm-lifts-construction-ban-in-delhincrdelhi-101639989746473.html
20-12-2021||Mumbai||Drugs case: Bombay high court rejects actor Armaan Kohli’s bail plea||The Bombay high court on Monday rejected actor Armaan Kohli’s bail application in a drugs-related case. The actor had moved the high court after a special court had rejected his bail application citing prima facie evidence of trafficking and purchase of drugs against Kohli.Kohli pleaded the Narcotics Control Bureau (NCB) did not have any incriminating evidence against him. He said the observations of the special court were merely based on general allegations against him. Kohli maintained there were no financial transactions between him and the alleged drug peddlers.The high court observed that WhatsApp chats between Kohli and the peddlers needed to be investigated. It added there was a chance of the evidence being tampered with while rejecting the bail application.Also Read: Sofia on Armaan’s arrest in drug case: ‘He shows lack of respect for himself’The bail pleas of Kohli’s co-accused Kareem Dhanani and Imran Ansari were allowed.Kohli’s lawyer Vinod Chate pleaded his client is innocent and has been falsely implicated. He added there was no prima facie and admissible evidence against him.The NCB opposed the bail application citing the special court’s observation that Kohli failed to justify the presence of the 1.2 gm of cocaine seized from his house. The special court also cited chats and videos recovered from Kohli’s phone and added they point to illicit trafficking.||https://www.hindustantimes.com/cities/mumbai-news/drugs-case-bombay-high-court-rejects-actor-armaan-kohli-s-bail-plea-101639988786328.html
20-12-2021||Delhi||CM Kejriwal says Delhi prepared to deal with Omicron, calls for booster doses||Delhi chief minister Arvind Kejriwal on Monday said all new cases of Covid-19 will be sent for genome sequencing for Omicron in view of the rising number of related infections being detected in the national capital.Further, the chief minister urged the central government to allow booster doses against the virus. “I appeal to Centre to allow administration of Covid vaccine booster dose in Delhi,” he said.He also said the Delhi government was ready to deal with the emerging crisis and would focus on home isolation as most cases may not require hospitalisation.“We will strengthen home isolation system as most new Covid cases will not require hospitalisation,” Kejriwal said.Also read | Omicron: New cases in multiple states, nationwide tally reaches 166Two more cases of the Omicron variant of coronavirus were detected in Delhi taking the total tally to 24. Of these, 12 patients have been discharged.The four new patients have been admitted to Max Hospital in Saket.||https://www.hindustantimes.com/cities/delhi-news/omicron-all-new-covid-cases-to-be-sent-for-genome-sequencing-says-kejriwal-101639986419640.html
20-12-2021||Delhi||Pollution: Central panel allows resumption of construction activities in Delhi-NCR||The Centre's air quality panel on Monday withdrew all restrictions on construction and demolition activities in Delhi and the national capital region (NCR) with immediate effect. The decision was taken in the wake of an improvement in pollution levels and meteorological forecast, the Commission for Air Quality Management (CAQM) said. tThe panel also gave its nod to the entry of trucks into Delhi. The lifting of restrictions was subject to persons/agencies undertaking activities strictly complying with dust control norms.The CAQM wrote on its official Twitter handle, “The CAQM considering the improvement in air quality and meteorological forecast allows the resumption of C&D activities in NCR and also the entry of trucks into Delhi with immediate effect.”Entry of trucks to Delhi would be permitted with immediate effect till further orders. Construction & Demolition (C&D) activities in NCR shall be permitted, with immediate effect subject to persons/agencies undertaking activities strictly complying with dust control norms: CAQM pic.twitter.com/S0ZiLF4if0On Friday, the central panel allowed authorities in the region to resume physical classes for students in classes 6 and above, colleges and other educational institutions with immediate effect. It had also said that physical classes for students up to class 5 can begin from December 27.Meanwhile, the overall air quality in Delhi remained in the poor category for the second consecutive day with Air Quality Index (AQI) being recorded at 290 earlier in the day.The AQI in Noida and Gurugram stood at 293 and 225, respectively.||https://www.hindustantimes.com/cities/delhi-news/pollution-central-panel-allows-resumption-of-construction-activities-in-delhi-101639984874704.html
20-12-2021||Chandigarh||Five of family found dead in Haryana’s Hisar district||The bodies of five members of a family were recovered from Nangthala village in Hisar district of Haryana on Monday morning. Also read: Dominant clan announces social boycott of another over a marriage in Haryana’s JindPolice said villagers found the body of Ramesh Kumar, 35, who ran a business of printing wedding cards, on Barwala road on Nangthala’s outskirts in the morning. It seemed he had been hit by a vehicle. “But when we went to his house to inform his family about the incident, no one responded. On going inside, we found four members of the family dead. There were injury marks on their heads and other parts of the bodies,” a villager told the police in his complaint. The bodies of Ramesh’s wife Sunita, 32, and their two daughters aged 15 years and 13 years besides their 10-year-old son were recovered and sent for post-mortem. Hisar police spokesman Vikas Kumar said the Agroha police are at the spot to investigate the matter. “We are probing whether the man killed his family before committing suicide or if someone plotted the murders. A forensic science laboratory team is collecting evidence,” he added.||https://www.hindustantimes.com/cities/chandigarh-news/five-of-family-found-dead-in-haryana-s-hisar-district-101639984646742.html
20-12-2021||Chandigarh||Punjab elections: Sidhu wants debate with Kejriwal, not Bhagwant Mann||Punjab Congress president Navjot Singh Sidhu on Monday refused to have a debate with his Aam Aadmi Party counterpart Bhagwant Mann on issues such as liquor smuggling, illegal mining and unemployment in the state, challenging the party’s national convener and Delhi chief minister Arvind Kejriwal to face him. Also read: Punjab polls: Kejriwal accepts Sidhu’s challenge, fields Mann for debateSidhu had asked Kejriwal to have a debate with him and the Delhi CM accepted the challenge, but fielded his party’s state unit chief for the verbal duel. “@ArvindKejriwal, Bhagwant is not the CM who is running Liquor Mafia with Badals Blacklisted MLA Deep Malhotra…He was not the one who notified the Black Farm Law in Delhi! Who is allowing Badals buses on the lucrative routes to Delhi Airport? Come debate with me masquerader! (sic),” the Punjab Congress president tweeted. Mann says Sidhu running away Sidhu’s tweet drew an instant response from Mann, who accused the Congress leader of running away from debate with him. “Sidhu paaji, why are you scared of me? Why is Sidhu not speaking on illegal sand mining in CM (Charanjit Singh) Channi’s constituency? What are the compulsions due to which he has not said a word on illegal mining in Chamkaur Sahib?” the two-time Sangrur MP tweeted, accusing the Punjab Congress chief of “selective outrage”. The duel over debate between leaders of the ruling Congress and the AAP, the principal opposition party, started after Sidhu, while addressing a rally in Sultanpur Lodhi on Saturday, threw a dare to the Delhi chief minister for a debate on liquor, mining and jobs in the state.||https://www.hindustantimes.com/cities/chandigarh-news/punjab-elections-sidhu-wants-debate-with-kejriwal-not-bhagwant-mann-101639980866230.html
20-12-2021||Mumbai||Omicron has created lockdown-like situation, avoid Christmas parties, BMC chief appeals to people in Mumbai||Maharashtra has been affected badly by the spread of the new variant of coronavirus disease (Covid-19), named Omicron. Its capital Mumbai is among the worst affected districts in the state.Looking at the prevailing scenario, the chief of the BrihanMumbai Municipal Corporation (BMC) has urged people to avoid parties and gatherings during the upcoming Christmas festivities.BMC Commissioner Iqbal Singh Chahal has warned of stringent action against those who are found flouting the rules."Avoid any kind of crowding, wear masks and follow Covid-19 guidelines. All citizens must also get fully vaccinated," the civic body chief said in a press release issued on Sunday. He said due to the new virus variant Omicron, the situation at many countries in the world has once again gone out of control and has created a lockdown-like situation.Chahal appealed to the people to follow all Covid-19 rules in hotels, restaurants, cinemas, malls and other places."Those violating the Covid-19 rules will be dealt with severely by the BMC's ward level teams as well as the Mumbai Police administration," the BMC chief said in a release.According to the BMC, Maharashtra chief secretary issued an order on November 27 and laid down the guidelines to curb the spread of COVID-19. The Mumbai Police also issued a notification on December 14, stating that action will be taken against violators as per the Indian Penal Code as well as the Epidemic Diseases Act and the National Disaster Management Act.As per the guidelines issued by the state government, all eligible citizens are required to complete their inoculation by taking both doses of COVID-19 vaccine. Only those who are fully vaccinated will be allowed at public places, including public transport.Maharashtra has so far reported 54 cases of the Omicron variant. Out of these, 22 are from Mumbai, including cases found through screening at the international airport, as per the official data.||https://www.hindustantimes.com/cities/mumbai-news/omicron-has-created-lockdown-like-situation-avoid-christmas-parties-bmc-chief-101639979327530.html
20-12-2021||Patna||Bihar gangster Pappu Dev arrested after encounter dies of cardiac arrest: Cops||SAHARSA: Pappu Dev, an alleged gangster from Bihar’s Kosi region, died of cardiac arrest following his arrest while undergoing treatment at a hospital in Saharsa on Sunday, police said.In a statement, Saharsa police said Dev was arrested from the Sarhi village on Sunday after a brief exchange of fire. Police said they recovered an automatic rifle, three pistols, three country-made pistols, and 47 live cartridges, besides several used cartridges from the site.“In police custody, Pappu complained of chest pain and he was rushed to Sadar hospital where he was kept in the ICU,” Saharsa police superintendent Lipi Singh said. He added Dev was later referred to Patna but he died. Singh said Dev’s post-mortem will be video-graphed.As the news of the Dev’s death spread, his supporters blocked the Saharsa-Supaul highway alleging that he died in custody due to torture and demanding that a case be registered against the police. “My husband was killed in police custody,” alleged Dev’s widow, Punam Devi.The blockade continued amid heavy police deployment in the area.Pappu Dev faced over 150 criminal cases including those related to extortion and murder.||https://www.hindustantimes.com/cities/patna-news/bihar-gangster-pappu-dev-arrested-after-encounter-dies-of-cardiac-arrest-cops-101639978165863.html
20-12-2021||Delhi||Delhi wakes up to coldest day of the season; mercury falls to 4.4°C||Delhi woke up to the coldest day of the season on Monday as the temperature dropped to 4.4 degrees Celsius, with a cold spell continuing for the third day in a row.Monday’s maximum temperature is expected to be 19 degrees Celsius. Met officials have predicted that the cold wave is likely to continue for at least another day.On Saturday, the temperature in the Capital dipped to 6 degrees Celsius. Then on Sunday, the minimum temperature was 4.6 degree Celsius, which was three notches below normal for this time of the year. The maximum temperature was 19.2 degrees Celsius, which was also three degrees above normal.  On the pollution front, Delhi’s air quality plunged to the “very poor” zone on Monday morning. Data from the Central Pollution Control Board showed that the hourly air quality index (AQI) at 7am was 325. On Sunday, the average 24-hour AQI was 271, which was in the “poor” category.||https://www.hindustantimes.com/cities/delhi-news/delhi-wakes-up-to-coldest-day-of-the-season-mercury-falls-to-44c-101639969465537.html
20-12-2021||Delhi||Yellow alert for extreme cold in Delhi today: What does this mean?||National capital and its nearby regions are experiencing a cold wave, which took the temperature to below four degrees Celsius for the first time this winter. The India Meteorological Department (IMD) said that though Safdarjung, Delhi’s base station, recorded a temperature of 4.6 degrees on Sunday morning, it plunged to 3.3 degrees at Jafarpur and 3.6 degrees at Lodhi Road.The weather department issued a yellow alert for the national capital both for Sunday and Monday.RK Jenamani, Director General of Meteorology at IMD, further said that there is a possibility of drizzling on December 24 or 25.What does a yellow alert mean?The IMD has several colour-coded warnings depicting the weather at a particular place. The warnings are issued after analysis of weather forecast data for a particular region over a few days.Yellow weather warning indicates severely bad weather. It also suggests that the weather could change for the worse, causing disruption in day-to-day activities and asks people in an area to remain vigilant.These alerts are universal in nature and are also issued during floods or heavy rainfall.The IMD has issued yellow alert for Uttarakhand also from December 18-21. Many places in that state, like Ranichauri, Mukteshwar, Mussoorie, Pithoragarh and New Tehri have recorded sub-zero or near-freezing temperatures.Cold wave in DelhiThe cold wave conditions have been prevailing in the national capital for the last two days owing to a strong, dry northwesterly cold wind, the IMD said. However, the spell will be abetted from December 21 following improvement in the weather, the weather department added.Day temperatures in Delhi on Monday will likely be around 19 degrees Celsius since wind speeds are falling. Night temperatures in the national capital are expected to hover around 4 degrees, according to the forecast.How cold wave is declared?The weather department declares a cold day if the maximum temperature is 4.5 degrees below normal. It announces a cold wave if the day’s low is either 4.5 degrees below normal, or is below 4 degrees.Cold wave in entire north IndiaSeveral parts of northwest India recorded subzero temperatures. Both the day’s high and low were several notches below normal in Rajasthan, Punjab, Haryana and Jammu & Kashmir.Sikar in east Rajasthan recorded minus 2.5 degrees, 8.5 degrees below normal. Churu in the western part of the desert state recorded minus 2.6 degrees, 8.4 degrees below normal. Amritsar in Punjab saw minus 0.5 degrees, 4.3 degrees below normal, and a maximum of 15.5 degrees, 5 degrees below normal. Bathinda recorded 0.1 degree, 3.5 degrees below normal and a maximum of 17.6, 4 degrees below normal.||https://www.hindustantimes.com/cities/delhi-news/yellow-alert-for-extreme-cold-in-delhi-today-what-does-this-mean-101639963778355.html
20-12-2021||Delhi||Delhiwale: Two lives||She sits down on the pavement, as people pass to and fro, here in Gurugram’s Sadar Bazar. Ms Kashmiro has a large bundle of raw papads with her. She starts to roast them one by one on her small stove with her bare hands. Her face shows no expressions. Her movements are slow. With a pink shawl draped about her blue sari, she seems too advanced in years to be working on such a busy street, while being saddled with so many belongings to handle at the same time.“I work because I am alone.” Ms Kashmiro says in a mournful tone, explaining that her husband died when he was very young. So did her two sons. “One chhora died 16 years ago, the other chhora died 12 years ago.”A scooter is parked adjacent to her. Its owner prepares to start the vehicle. Ms Kashmiro asks him, in Punjabi, to not accidentally bump the scooter into her stove. Within moments, the vacant place left by the scooter is taken over by a middle-aged man. He uninhibitedly, but politely, listens to the conversation, looking eager to wade into it at the earliest opportunity.“I have been selling papad in this bazar for many years,” Ms Kashmiro says. The man remarks that he had, however, never seen her before. “I usually stay in the other side of the market,” she replies. Ms Kashmiro gives more details of her life. She lives in a rented room in Rajindra Park, and there are times when she isn’t able to earn enough money to pay the month’s rent. “But then good people, who think well of me, come to my aid.” Responding to a query, she says she must be 60. The man looks surprised, telling her that she looks older than that. Ms Kashmiro says matter-of-factly: “That is because I have lived with grief for so long.”The man nods as if he understands what Ms Kashmiro is trying to convey. He says, “Who isn’t sad… I’m also in grief.” Introducing himself as Harish Chander, he says he had been working for many years in a Sadar Bazar shop but lost his job following the coronavirus pandemic. “The buisness had gone down…. so… I’m now khaali (idle).” After a prolonged pause, he adds, “My wife died in May this year… she was tested positive for corona.” Ms Kashmiro nods her head, murmuring, “Hum sab dukhi hain (we all are sad).” She continues to roast the papads. The man walks away after sometime.||https://www.hindustantimes.com/cities/delhi-news/delhiwale-two-lives-101639958097362.html
20-12-2021||Chandigarh||Ludhiana | Consumer forum directs immigration agency to refund ₹1.5 lakh for not securing visa||The District Consumer Disputes Redressal Commission has directed a travel consultancy, which was unable to secure a visa for the complainant, to refund ₹1,59,950 and pay ₹10,000 as compensation on grounds of providing deficient service. The complainant, Rajwinder Kaur of Payal of Ludhiana, had said that she had cleared the IELTS exam, which is a prerequisite for settling abroad, and had approached the consultancy for securing a visa. The immigration consultancy had assured her that a visa would be arranged within six to eight months and she had paid ₹6,59,950 for the same. However, the company was unable to secure a visa for her despite submitting all requisite documents, and also failed to inform her about the same. Citing deficiency of service on part of the immigration consultancy, Kaur sought complete refund of the amount she had paid along with ₹2 lakh compensation and ₹22,000 as litigation expense.However, the consultancy firm’s counsel said the complainant had paid ₹5,67,500 for express-entry employment facilitation in Canada, of which ₹5 lakh had already been returned to her. “The complainant had paid an additional ₹2,10,000 to the respondent, of which ₹29,399 had been given to the state exchequer as service tax, which is non-refundable. There has been no deficiency of service or negligence,” said the counsel, adding that their client had immediately started working on the immigration case. “The respondent assessed the complainants’ documents as per the national occupation classification and uploaded the complainant’s documents on Job Bank Canada for arranging a job offer. However, the complainant had failed to receive a job offer so far as the employers were yet to go through a resume, “ the counsel added.The commission, in its order, observed that it could not be disputed that the complainant had provided all the documentation, and the arrangement with a company in Dubai for a job offer had been made through the consultancy.||https://www.hindustantimes.com/cities/chandigarh-news/ludhiana-consumer-forum-directs-immigration-agency-to-refund-1-5-lakh-for-not-securing-visa-101639955904682.html
20-12-2021||Chandigarh||18 schools with increased enrolment to be upgraded in Ludhiana||With the Cabinet giving the nod to upgrade 229 government schools across the state, the state education department has upgraded 18 schools in the district, which have witnessed an increase in enrolment. As many as 83 government high schools (GHS), 100 government middle schools (GMS) and 46 government primary schools (GPS), have been upgraded across the state. The seven high schools upgraded to senior secondary schools in the district include Ragveer Singh Freedom Fighter GHS, Amloh Road, Khanna; GHS, Aliwal; GHS Haibowal Kalan; GHS Nagra; GHS Sunet; GHS Barewal Awana; and GHS Jassowal . Eight middle schools – GMS, Ratanheri; GMS, Madhepur, GMS, Kalal Majra, GMS, Housing Board Colony, GMS, Billanwali Chhapri, GMS, Jassian, GMS, Garhi and GMS, Mohi – have been made high schools, while GPS, Bhikhi Khatra; GPS, Tugal; and GPS, Jodhan, made the cut among primary schools.Schools lack staff, infra: TeachersWhile officials in the local education department say development and increased enrolment has led to the schools being upgraded, many of the selected schools are grappling staff and infrastructure shortage. Case in point, GHS, Sunet enrolled 127 students in Class 10 this year, taking its student count to 1,358. However, the school lacks the infrastructure to accommodate the students as was seen during the board exams when students had to take the exam on the floor in the extreme cold. A teacher at GHS Barewal Awana, whose enrolment has increased to 1321, said, “We are short of staff. Increasing enrolment, without hiring more teachers is not a smart move.” Upgrade need of the hour: DEOMeanwhile, district education officer Lakhvir Singh Samra said, “The upgrade was the need of the hour as enrolment in government schools has increased during the ongoing session. Government schools have become smart schools and the schools in the district are providing quality education.”Government school principal Davinder Singh Chhina says since the education system is getting streamlined and digitised, government schools have become the first choice for parents. “A large number of students migrated from private schools to the government schools, not just because of a lack of financial resources, but also because they knew that government schools are providing quality education,” Chhina said.
20-12-2021||Chandigarh||Ludhiana | Student tests Covid +ve at govt school, testing ramped up||After a Class 7 student tested positive at the Government Model Senior Secondary School, Cemetery Road, on Saturday, the health department has collected the samples of around 100 students in the school. School authorities say that the student had been seated with his classmates during the exams that had culminated on Friday, and that the student had tested positive during routine sampling. The student is asymptomatic. Principal Taskin Akhtar said routine sampling was already underway at the school and around 800 students had been tested. After the boy tested positive, around 100 samples of his contacts and other Class 6 and 7 students were collected. Meanwhile, the school is being run at 50% capacity as per the directions received from the state government.Civil surgeon Dr SP Singh said that the reports of the other students are expected on Monday. 3 more test positive Three people, including the wife and son of Sacred Heart Convent School teacher, Bhaskaran, who had succumbed to the virus, tested positive for the virus. The total case count has reached 87,723, while 2116 patients have succumbed. There were around 34 active cases in the district on Sunday.||https://www.hindustantimes.com/cities/chandigarh-news/ludhiana-student-tests-covid-ve-at-govt-school-testing-ramped-up-101639955724680.html
20-12-2021||Chandigarh||Ludhiana | Suspected of witchcraft, elderly woman stabbed to death||Ludhiana Suspecting her for performing witchcraft, a 25-year-old man Sunday morning stabbed an elderly woman to death with a kitchen knife in the Chuharwal village of Meharban. The victim has been identified as the 70-year-old Swarn Kaur. The police have arrested the accused Jaspal Singh. alias Jassa, recovering the kitchen knife used for the murder.The FIR was lodged based on the statement of Gurmail Singh, alias Jaila, the victim’s son. He revealed that he was accompanying his mother to Gurudwara Sahib, to pay their obeisance, at around 6.30am, when they ran into the accused and his mother Satnam Kaur.Gurmail Singh added that the accused began hurling profanities at his mother, accusing her for performing witchcraft. “When my mother tried to confront them, the accused flashed a knife and stabbed her repeatedly,” he said. Jaspal Singh fled from the spot after the incident. The victim was rushed to hospital, where the doctors declared her dead.Davinder Chaudhary, Assistant Commissioner of Police (ACP) East, said a murder case has been lodged against Jaspal Singh. The police later arrested his mother on charges of criminal conspiracy.||https://www.hindustantimes.com/cities/chandigarh-news/ludhiana-suspected-of-witchcraft-elderly-woman-stabbed-to-death-101639955364604.html
20-12-2021||Chandigarh||Ludhiana | 32-year-old found dead in Ludhiana||Ludhiana A 32-year-old man was on Saturday night found dead on the roadside near Laxmi Nagar in Haibowal. The deceased, who has been identified as Bittu Batra, a 32-year-old, had sustained injury marks on his body prompting his brother of suspecting that he was murdered. The police have sent the deceased’s body, which was first discovered by passersby, to the Civil Hospital for postmortem. According to the available information, the injuries were sustained over four to five days ago.Inspector Neeraj Chaudhary, Station Head Officer (SHO) of the Haibowal police station said the deceased was unmarried. According to his family members, he used to work at dhabas and would spend the nights sleeping either at work or on the roadside. The SHO added that the cause of death will be determined by the full postmortem report, following which they will take the appropriate action.||https://www.hindustantimes.com/cities/chandigarh-news/ludhiana-32-year-old-found-dead-in-ludhiana-101639955304806.html
20-12-2021||Chandigarh||Ludhiana | Industrialists share concerns with steel minister||Ludhiana Industrialists on Saturday held a meeting with Rama Chandra Prasad Singh, union minister of steel, highlighting such issues as the steep hike in steel prices.Suggesting that the government must intervene and stop cartelisation of steel to save the MSME sector, Upkar Singh Ahuja, president of the Industrial and Commercial Undertaking, said, “A majority of steel manufacturers in the country cartelise and hence monopolise the steel trade which should be stopped as the rates are fixed by them, as per their own will rather than looking at the demand and supply.”Ahuja further said the biggest hurdle faced by the MSME is procuring raw material from large steel manufacturers. It was suggested, during the meeting, that steel companies can extend the line of credit for buyers where the Government of India can act as guarantor.Industrialists also proposed that production-linked incentives should be given to the steel industry.||https://www.hindustantimes.com/cities/chandigarh-news/ludhiana-industrialists-share-concerns-with-steel-minister-101639955244619.html
20-12-2021||Chandigarh||Channi declares Sri Krishan Balram Rath Yatra state festival||Punjab chief minister Charanjit Singh Channi, who flagged off the 25th ‘Shri Krishan Balram Rath Yatra’ in the city on Sunday, declared the annual procession a state festival. The yatra, which was carried out after a gap of two years due to coronavirus restrictions, was attended by a large number of devotees. The CM also announced a grant of ₹2.51 crore for the Iskcon Temple in Ludhiana. Addressing the gathering outside the Shri Durga Mata Mandir near Jagraon Bridge, the CM said, “The government will celebrate the rath yatra as a state festival every year.” Advising the youth to imbibe the teaching of the Bhagavad Gita, the CM said the holy book had given direction to his life. “When I became a municipal councillor 25 years ago, someone had advised me to recite a shloka of the Bhagavad Gita everyday for inner peace. I have found that if one even imbibes one shloka in the book, it is enough to succeed in life.”“Religious texts are the biggest source of inspiration, and therefore a Shri Bhagavad Gita and Ramayana Research Centre is being built on 20-acre land in Patiala,” the CM added. MLA Pandey absent, says ‘not invited’ Amid reports of differences between the Ludhiana North MLA and senior leaders in the city, Rakesh Pandey was conspicuous by his absence in the yatra, which had Cabinet minister Bharat Bhushan Ashu, MLAs Surinder Dawar, Sanjay Talwar and Kuldeep Vaid, mayor Balkar Sandhu and other senior leaders in attendence. On the reason for his absence, Pandey said that he had not been invited. On December 16,Pandey had reportedly not allowed the MC to install a foundation stone and CM Channi had to inaugurate the Ambedkar Bhawan through a ribbon cutting ceremony. As per the sources, Pandey was unhappy that the name of a cabinet minister had been inscribed on the stone.||https://www.hindustantimes.com/cities/chandigarh-news/channi-declares-sri-krishan-balram-rath-yatra-state-festival-101639955184657.html
