November 6, 2020||Bengaluru||Church Street gets final touches ahead of no-vehicle weekends||It’s a makeover that took over two years, at the end of which the 750-metre stretch of Church Street was a hand-laid granite cobblestone beauty. The new look, of course, made it a hot spot for photo shoots and live musical activity and now, much to the delight of pedestriants, the stretch will be vehicle-free on weekends. Starting November 7, there will be no vehicular movement along Church Street during weekends as part of a five-month Clean Air Street initiative by Directorate of Urban Land Transport (DULT). The decision to make the stretch look and feel like a Parisian street with cafes and restaurants that have tables on the pavements has raised excitement levels among visitors to that side of town. Irfan Noor, secretary, Church Street Occupants Association, says, "This is a good move. We will have to wait for the inauguration and the feedback from the people to see how we can function. This is a good move that should help businesses along the strength, all of which have been through a prolonged dull phase owing to the pandemic. This move might just help revive that and bring people to the street." In the run-up to the initiative, the BT lens spotted workers hurriedly conducting repair works along the entire stretch to ensure everything is right before the street is thrown open to pedestrians.||http://timesofindia.indiatimes.com//city/bengaluru/church-street-gets-final-touches-ahead-of-no-vehicle-weekends/articleshow/79064298.cms||Sunayana Suresh
November 6, 2020||Kolhapur||Newborn found dead in water tank in Maharashtra, mother held||KOLHAPUR: Bhilwadi police in Sangli district have arrested a woman for allegedly killing her 13-day-old baby boy by drowning him in a water tank on the terrace of her parents’ house. The woman, Aishwarya Amitkumar Mali (22), a resident of Kawlapur in Miraj taluka of Sangli district, allegedly took the extreme step as she could not bear to see her child suffer following a major surgery the baby underwent hours after birth, said the police. Police said Mali delivered the baby in a private hospital last month and went with the child to her parents’ house at Malwadi after being discharged. “Mali allegedly put the baby in the water tank around 9.30am on Wednesday while the male members of her family had gone to the farm and women were washing clothes outside,” said the police. The mother told her family members that the baby had gone missing from the house, following which her parents lodged a police complaint. The family members, however, found the baby’s body in the water tank. Mali gave evasive replies to police during the preliminary investigation and her behaviour aroused their suspicion, following which she was detained and questioned. She soon confessed to the crime and was arrested on murder charge.||http://timesofindia.indiatimes.com//city/kolhapur/newborn-found-dead-in-water-tank-mother-held/articleshow/79066860.cms||---
November 6, 2020||Amritsar||Punjab: Shiromani Gurdwara Parbandhak Committee to elect new chief on November 27||AMRITSAR: The Shiromani Gurdwara Parbandhak Committee (SGPC) will hold its annual general house session on November 27 to elect new office-bearers. The decision came at its executive committee meeting here on Thursday. The SGPC will elect its president, senior vice-president, junior vice-president, and executive members. SGPC president Gobind Singh Longowal told the media about the executive body’s resolution to condemn Pakistan’s transferring the management of Gurdwara Kartarpur Sahib to a new department and appealed the foreign government to rethink. The executive committee also approved the plan to celebrate the SGPC’s centenary. “The Akand Path will begin at the Akal Takht on Novmber 15, while the bhog will be on November 17,” said Longowal. The SGPC will also release a document on its history of formation, besides holding a picture exhibition and workshop from November 13 to 17. Asked about the missing saroops of Guru Granth Shaib, Longowal said the executive committee had decided to make a review committee to study the circumstances of the case, even though the SGPC had punished its indicted employees already.||http://timesofindia.indiatimes.com//city/amritsar/sgpc-to-elect-new-chief-on-nov-27/articleshow/79070956.cms||---
November 6, 2020||Lucknow||Guv hails role of pvt medical colleges in tackling coronavirus||Lucknow: Governor Anandiben Patel on Thursday felicitated three private medical colleges designated as Covid hospitals in the city for their commendable service in treatment of novel coronavirus infected patients. Era’s Lucknow Medical College (ELMC), TS Mishra Medical College and Integral Institute of Medical Sciences (IIMS) had been designated as Covid hospitals for providing treatment to patients when there was a huge surge in cases. Praising private medical colleges in a meeting at Raj Bhawan, Patel said these institutions supported the government healthcare system superbly in the time of crisis and helped in keeping Covid-19 casualty rate low. She also complimented their faculty and doctors for putting their lives at stake while treating patients of a disease about which not much was known. ELMC also announced that it will provide the computer aided revision and evaluation application developed by it for making revision of topics for medical students easy to Atal Bihari Vajpayee Medical University for free. “The computer aided application developed by ELMC has novelties like medical games, animation care and medico skills. We will provide our technology-driven study material for free to benefit all students in UP,” said ELMC principal Dr MMA Faridi. The Atal Bihari Vajpayee Medical University will further connect other medical colleges with the app. The Governor also asked for pending dues of IIMS be paid to it and urged Prasad Institute of Medical Sciences to make appointments on all faculty posts and begin teaching.||http://timesofindia.indiatimes.com//city/lucknow/guv-hails-role-of-pvt-medical-colleges-in-tackling-coronavirus/articleshow/79070973.cms||---
November 6, 2020||Nagpur||Only 2 Vid districts with over 1k Covid patients under treatment||Nagpur: Only two districts, Nagpur and Chandrapur, in Vidarbha are having over 1,000 Covid-19 patients under treatment. On Thursday, active cases in all other districts came below 1,000, with lowest 198 being in Akola, which used to be the worst-hit district during April-May. The number of patients under treatment in the region is 11421, which is less than 6% of total cases. Akola reported 10 new cases on Thursday. Neighbouring Washim district reported three new cases, lowest for any district in Vidarbha in the last two months. In yet another respite for the region, the number of patients recovered in a day (1,155) was more than the number of new patients (943) on Thursday. The number of new cases was higher than recoveries on last two consecutive days. Now, out of 2.03 lakh cases of Covid-19 in the region, 1.86 lakh have recovered. This means, recovery rate is nearing 92%, which is the national average. Covid-19 deaths in Vidarbha increased on Thursday as compared to Wednesday. Chandrapur reported seven deaths, while eight patients died in Nagpur district. With Gadchiroli (2), Amravati (2), Bhandara (1), Gondia (1), Buldhana (1), Vidarbha’s toll reached 5597. The case fatality rate is still 2.75%, which is higher than state and national average. Cases on Thursday came from Nagpur (301), Chandrapur (174), Gadchiroli (92), Bhandara (84), Gondia (77), Buldhana (62), Wardha (52), Amravati (44), Yavatmal (44), Akola (10), and Washim (3). Nagpur reported 331 recoveries, Chandrapur (269), Gondia (100), Bhandara (88), Gadchiroli (88), Buldhana (76), Amravati (73), Yavatmal (57), Wardha (32), Washim (27), and Akola (14), for a total of 1,155 . Chandrapur: With detection of 174 cases, the district’s count jumped to 13,573 on Thursday. Seven deaths during the day raised the toll to 249. The day also saw discharge to 269 patients, taking the recoveries to 13,573. Now, there are 2,681 active cases. Yavatmal: No death was reported on Thursday. The caseload reached 10402 after addition of 44 new patients. Now, 335 patients are under treatment after 9,242 recoveries, including 54 on Thursday. Amravati: Two Covid deaths on Thursday took the district’s toll to 367 while 44 new cases took the caseload to 16,562. With discharge to 73 patients, recoveries surpassed reached 15,679. The recovery rate is 94.7%. Now, 511 patients are under treatment, including 298 in home isolation, a civil surgeon office report said. Wardha: The district saw 52 new cases and 32 recoveries on Thursday, taking the caseload to 6,546, After 5,984 recoveries, 350 patients are under treatment. New cases were reported from Wardha (19), Hinganghat (14), Deoli (10), Selu (6), Karanja (2) and Arvi (1). No death was reported on Thursday, keeping the toll at 211. Bhandara: A patient died during treatment in Bhandara, taking the toll to 224. On Thursday, 84 new patients were detected while 88 patients recovered. Now, Bhandara has reported 8,868 cases and 7,843 recoveries. Total 801 patients are under treatment in the district. Gondia: A 65-year-old patient died during treatment in Gondia, taking the toll of district to 132. Total 77 new patients were detected while 100 patients recovered in a day. The caseload reached 10,154 and recoveries 9,287. Gondia’s recovery rate surged above 90% mark on Thursday. The district now has 735 patients under treatment. Gadchiroli: Two men, 23 and 70, from Armori died during treatment in Gadchiroli on Thursday. The district has reported 92 new patients and 88 recoveries in a day, while the toll reached 62. Out of the 6,324 cases, 5,345 have recovered. Now, 917 patients are under treatment. Akola: The district reported 10 new patients on Thursday, taking the caseload to 8,945. No death was reported and 14 patients recovered in a day. Now, 8,015 out of 8,495 patients have recovered. The district has 198 patients under treatment which is the lowest in Vidarbha. Washim: With three new cases, the district’s tally reached 5,739. Recoveries reached 5,240 after discharge to 27 patients. No death was reported on Thursday. Now, 355 patients are under treatment. Buldhana: The district reported 62 fresh cases, taking the caseload to 9,727. With 76 patients discharge on Thursday, the number of recoveries reached 9,139. A patient died on Thursday, taking the toll to 129. Now, 459 patients are under treatment.||http://timesofindia.indiatimes.com//city/nagpur/only-2-vid-districts-with-over-1k-covid-patients-under-treatment/articleshow/79068097.cms||Chaitanya Deshpande
November 6, 2020||Kolkata||Kolkata bars seek clarity on ‘govt order’ banning musical performances||KOLKATA: A verbal order by the government to stop all live musical performances in bars within a month of allowing such performances for one hour every evening has created confusion among the owners. Some bar owners said they were yet to receive even the verbal orders from police to discontinue live musical performances. Many bars had even started decorating their façade in the run up to Diwali expecting better footfalls. The owners said the sudden decision to discontinue live singing will impact the livelihoods of those associated with the trade. TimesViewMost establishments have said they are yet to get any written order. This may be behind the confusion. A widely circulated written order can give clarity.“There is no clarity over the order as we have received nothing in writing. There are rumours that there is a verbal order that will be conveyed by the local cops. This has given rise to confusion among owners on whether to continue with the live singing,” said the owner of a bar in central Kolkata. Most singing bars located in the central business district were shut down when the total lockdown started in March. Though bars were allowed to serve liquor in the beginning of September, live singing was not allowed. Few days before Durga Puja, these bars received permission for live singing for only one hour with several restrictions. Many singers, musicians and bouncers who had taken other jobs to sustain themselves had returned to the bars. At Mbar in Park Street, music was stopped from Wednesday evening itself, within minutes after receiving the verbal order asking all bars, clubs and pubs to stop all live as well as recorded music citing a spurt in Covid cases in the city. “Since we were given permission to reopen the bar, we have never played live music. Only channel music was being played, and we used to maintain all prescribed norms inside the bar. People could shake a leg but only sitting on their chairs beside their respective tables. But we have stopped even that after receiving the order on Wednesday,” said Biswajit Das, the bar manager. Incidentally, the state had allowed bars to reopen from September 1 following unlock guidelines. The live performance in bars was allowed from October ahead of the festive season for one hour from 7 pm to 8 pm. “Our industry has already been badly hit. This directive to stop any form of music at the clubs and pubs will throw many of us out of work again,” said DJ Akash, who plays for multiple city clubs. The bars and restaurants did good business during Durga Puja specially in the last three days. “We haven’t got any written order either from the police or excise department. But considering the loss during the pandemic, we don’t want to go in for any confrontation at this moment and stopped channel music from Thursday,” said Md Shamim of Refinery 091 at Sector V.||http://timesofindia.indiatimes.com//city/kolkata/city-bars-seek-clarity-on-govt-order-banning-musical-performances/articleshow/79069299.cms||---
November 6, 2020||Hyderabad||‘Will penalise 11 schools for collecting fees’||HYDERABAD: The government said action is being initiated against 11 private schools for collecting various fees along with tuition fees from students in violation a government order issued in April this year. A Sri Devasena, director of school education, informed Telangana HC that 11 schools have clubbed other fees into tution fees to circumvent the spirit of GO No. 46. School education officials made an inspecton of private schools and found many of them have shown no respect towards order of the overnment that asked schools to collect only tuition fee during pandemic in view of job losses suffered by parents. “As far as violations found in central schools, the violations will be brought to the notice of their respective boards, CBSE, ICSE,” school education director said in her affidavit filed in tune with direction issued by a bench of Chief Justice Raghvendra Singh Chauhan and Justice B Vijaysen Reddy which was hearing a PIL filed by Hyderabad School Parents Association.||http://timesofindia.indiatimes.com//city/hyderabad/will-penalise-11-schools-for-collecting-fees/articleshow/79069282.cms||Sagar Kumar Mutha
November 6, 2020||Lucknow||Webinar series begins on Indo-French shared cultures||Lucknow: Alliance Francaise de Lucknow (AFL), a non-profit association located on La Martiniere Girls’ College campus, Lucknow, is organising a webinar series on ‘Indo-French shared cultures’. Conceptualised by Zohra Chatterji, president, Alliance Francaise executive committee, the first talk in the series was delivered on Thursday on ‘Jean-Baptiste Gentil and Awadh’ by Prof Dhir Sarangi of JNU. Counsellor for cooperation and cultural affairs and country director, IFI, Monsieur Emmanuel Lebrun Damiens, inaugurated the series. AFL, that aims at promoting study of French language and creating awareness about French culture and civilisation, has brought many cultural programmes to Lucknow, including a jazz band and a collaboration with Sanatkada on the theme of Awadhi Francisi Talluqaat. The webinar was attended by principal secretary Mukesh Meshram and secretary and director general, tourism, Ravi Kumar NG, . Director Meeta Ghosh said the next webinar will be a cook-along session with chef Joseph Laurent, which will be held next month. She urged Lucknowites to become members of AFL.||http://timesofindia.indiatimes.com//city/lucknow/webinar-series-begins-on-indo-french-shared-cultures/articleshow/79070997.cms||---
November 6, 2020||Kolkata||West Bengal: Two-week Puja break for govt staff next year||KOLKATA: State government employees will have a two-week-long Puja vacation in 2021. The list of next year’s holidays, which was released on Thursday, however, showed they would miss out on some holidays, like Netaji’s birth anniversary (January 23), May Day, Independence Day and Gandhiji’s birth anniversary and Christmas as they would fall on weekends. Next year, Durga Puja Panchami is on October 10. The Puja break will start from October 11, a Monday, and end on October 15, a Friday, but given the two weekends at the beginning and end, and Fateha-Dwaz-Daham on October 19, state employees will enjoy a two-week vacation, as the holiday will extend to Lakshmi Puja on October 20. With the government calling it holidays on October 21 and 22, the employees will have to resume work only on October 25. They will also get an off for Mahalaya on October 6 There will be another extended weekend in November as Kali Puja is on November 4 (Thursday) and government offices will be shut on Friday as well.||http://timesofindia.indiatimes.com//city/kolkata/2-week-puja-break-for-govt-staff-next-year/articleshow/79069321.cms||Debasish Konar
November 6, 2020||Meerut||Notice to 13 hospitals for not informing health authorities about patients with Covid-like symptoms||MEERUT: A notice was issued to 13 hospitals for not informing health authorities about patients with influenza-like symptoms and for continuing to treat them without getting them tested for Covid-19. An inquiry was also ordered against a Covid-19 patient, who despite being in home isolation attended a wedding in another city. “The hospitals have been warned that their licence will be cancelled if they do not explain their side,” said P Guru Prasad, nodal officer, Meerut. An order has also been issued to cancel the licences of four ayurvedic doctors who kept on treating patients despite their having Covid-like symptoms and died later, said Prasad. Meanwhile, instructions were given to ensure that patients with comorbidities are admitted to hospitals without fail.||http://timesofindia.indiatimes.com//city/meerut/notice-to-13-hosps-for-not-informing-health-authorities-about-patients-with-covid-like-symptoms/articleshow/79066907.cms||Ishita Bhatia
November 6, 2020||Amritsar||Punjab: Sikh bodies seek Prime Minister Narendra Modi’s intervention||AMRITSAR: The Sikh political as well as religious leaders have sought Prime Minister Narendra Modi’s intervention for restoration of the gurdwara management to PSGPC. Sikhs’ single largest body SGPC has also shot off a letter to the Pakistan high commissioner, asking to give back the administrative control of Gurdwara Darbar Sahib to PSGPC. “Earlier, Gurdwara Darbar Sahib, Kartarpur, was under the administrative control of PSGPC and functioning according to the Sikh code of conduct and Sikh rituals. But now, the gurdwara has come directly under the administrative control of ETPB, which may affect the daily rituals performed according to the Sikh code of conduct,” said SGPC president Gobind Singh Longowal. Calling for the PM’s intervention, SAD president Sukhbir Singh Badal on Thursday tweeted, “I request PM @narendramodi ji to ask @GovtofPakistan to revert the management of Sri Kartapur Sahib to PSGPC and take back its order to hand it over to a non-Sikh project management unit. Pak should be told to desist discriminating against Sikhs and violating maryada associated with managing shrines.” His wife and former Union minister Harsimrat Kaur Badal has also asked the PM to take up the issue with Pakistan PM Imran Khan. Delhi Sikh Gurdwara Management Committee (DSGMC) president Manjinder Singh Sirsa has also written to external affairs minister S Jaishankar. Quoting his conversation with ETPB officials, SAD (Delhi) president and former president of DSGMC Paramjit Singh Sarna said he has been informed that PMU Kartapur Sahib has been set up only for the development of Gurdwara Darbar Sahib, Kartapur Sahib. “But it would have been better if they had included Sikhs in its management,” he said.||http://timesofindia.indiatimes.com//city/amritsar/sikh-bodies-seek-pms-intervention/articleshow/79070996.cms||Yudhvir Rana
November 6, 2020||Hyderabad||High court notice to state, Centre on toll plaza violations||HYDERABAD: Telangana high court on Thursday sought to know from the state, the Centre and national highways authorities as to what steps are being taken to make the toll plazas safe and if they are equipped with CCTV cameras. A bench of Chief Justice Raghvendra Singh Chauhan and Justice B Vijaysen Reddy issued notices to the state, the National Highways Authority of India and the Hyderabad Growth Corridor Ltd, asking them to respond to the allegations made in a writ petition complaining that there is large-scale non-compliance of norms by the toll plazas on the national highways. Jasvin Jairath, a social activist, and Swapna Sundar, an advocate from Chennai, filed the writ petition pointing out how the Disha rape case could have been avoided had provisions of manual of specifications and standards on highways been complied with. “The intent of placing closed-circuit television cameras is to enable monitoring all the time. Failure to monitor makes placing of the CCTV cameras useless,” the petitioners contended. “The CCTV recording should have been continuously monitored to avoid a tragedy like Disha,” the petitioners said. According to the petitioners, the toll plaza managed by Eagle Infra had failed to provide a safe parking place and accordingly had failed to protect Disha. “This is also in violation of the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013,” they said. The bench granted four weeks’ time for the authorities to file their replies. As per the petitioners, the toll plaza managed by Eagle Infra had failed to provide a safe parking place and accordingly had failed to protect Disha||http://timesofindia.indiatimes.com//city/hyderabad/high-court-notice-to-state-centre-on-toll-plaza-violations/articleshow/79069327.cms||Sagar Kumar Mutha
November 6, 2020||Chandigarh||India condemns Pak decision to transfer Kartarpur gurdwara management to non-Sikh body||New Delhi/Islamabad: India on Thursday strongly condemned Pakistan’s decision to transfer the management and maintenance of Kartarpur Sahib Gurdwara to a non-Sikh body. The government said Pakistan’s move was against the spirit of Kartarpur corridor, as also the religious sentiments of the Sikh community. Pakistan was reported to have transferred the management and maintenance of the shrine from the Pakistan Sikh Gurdwara Parbhandhak Committee (PSGPC), a body run by the minority Sikh community, to the administrative control of the Evacuee Trust Property Board, a non-Sikh body, on Wednesday. India called upon Pakistan to reverse its arbitrary decision to deprive the Sikh minority community of its right to manage affairs of the gurdwara. “This unilateral decision by Pakistan is highly condemnable and runs against the spirit of the Kartarpur Sahib corridor as also the religious sentiments of the Sikh community at large. We have received representations from the Sikh community expressing grave concern at this decision by Pakistan targeting the rights of the minority Sikh community in Pakistan,” the MEA said in a statement. It added that such actions only exposed the reality of the Pakistani government and its leadership’s tall claims of preserving and protecting the rights and welfare of religious minority communities. Pakistan though described the Indian statement as baseless and fallacious propaganda by New Delhi. “The malicious propaganda by the Indian government is simply an attempt to malign the ‘peace corridor’ initiative by casting mischievous aspersions against the interests of the Sikh community and to detract attention from India’s own reprehensible human rights violations of minorities in India,” a statement issued by the foreign office said. The PSGPC remained responsible for carrying out rituals in Gurdwara Sahiban, including Kartarpur as per Sikh Rehat Maryada, the statement said, adding the project management unit under the Evacuee Trust Property Board had simply been created to facilitate the PSGPC in this regard. “Any insinuations regarding ‘transferring’ the affairs of Gurdwara Darbar Sahib Kartarpur from the PSGPC to the PMU (Project Management Unit) are not only contrary to the facts but also aimed at creating religious disharmony by the Hindutva-driven BJP government in India,” the foreign office said. Sources said the Pakistan government has set up the PMU Kartaprur Sahib owing to its strategic location, which is close to the India border and in proximity to villages known to be launch pads for pushing terrorists into India. They said the Pakistani terrorists, who had attacked the Dinanagar police station in Gurdaspur in July 2015, had camped at Masroor Bara Bai village close to the international border in Narowal district. Kartarpur Sahib is also in Narowal district, about 35 km from Masroor Bara Bai.||http://timesofindia.indiatimes.com//city/chandigarh/india-condemns-pak-decision-to-transfer-kartarpur-gurdwara-management-to-non-sikh-body/articleshow/79070984.cms||टाइम्स न्यूज़ नेटवर्क
November 6, 2020||Nagpur||Not just fines, remove fancy plates, tinted film before reclaiming vehicle from cops||Nagpur: Vehicle owners with fancy number plates and dark tinted glasses would face stricter action now, as city police chief Amitesh Kumar has instructed cops to ensure the violations are rectified before the vehicles are released. Apart from regular traffic cops, several special flying squads too are now being deployed. On October 4, traffic cops penalized 49 vehicles with fancy number plates and another 22 for dark films under supervision of DCP, traffic, Sarang Awad. Since October 10, the traffic cops have pulled up around 2,519 vehicles with fancy number plates and another 1,001 with black films on their windows. CP Kumar, in a recent press conference, had said vehicles would be seized and not released just by paying fines. “The owners would be asked to bring some mechanics to rectify their number plates and also remove the dark tinted film from the windows before the vehicles are released after paying fines,” he said. Kumar also said the Automatic Number Plate Recognition (ANPR) cameras would soon be functional across the city and also at the exit and entry points of the city. “The ANPR cameras would capture wrong number plates and challans would be issued accordingly too,” he said. The top cop also indicated that a dedicated drive against traffic violations would also be initiated. “We have already deployed flying squads to remove abandoned vehicles from roads,” he said. Following Kumar’s orders, 799 abandoned vehicles were spotted by the flying squads. Of these, 788 abandoned vehicles have been removed from the roads since October 9. Around 11 owners have been booked for abandoning vehicles on the road.||http://timesofindia.indiatimes.com//city/nagpur/not-just-fines-remove-fancy-plates-tinted-film-before-reclaiming-vehicle-from-cops/articleshow/79068115.cms||Soumitra Bose
November 6, 2020||Hyderabad||Telangana: Education department consults stakeholders for reopening of schools||HYDERABAD: The Telangana school education department is in the process of consulting with all the stakeholders on reopening of schools for the academic year 2020-21. Alarmed by the situation in Andhra Pradesh d 575 students have tested positive for the novel coronavirus within three days of reopening of schools, neither teachers nor parents want the schools to be reopened post-Diwali in Telangana. “The numbers in Andhra Pradesh are alarming and we don’t want to risk the lives of our children, even if the government decides to reopen schools. At a time when the number of Covid-19 cases are not showing any fall, the government should just maintain status quo and continue online classes,” said Thota Padmaja, a parent. Officials in the school education department recently held a meeting with the private teachers association and are now planning to hold similar meetings with parents, school managements etc. “While the decision will be finally at the discretion of the chief minister, our proposals will be based on consensus. We don’t intend to propose anything that may affect the safety of children as they can be carriers of the virus back home. Many have elderly parents, grandparents at home, who can be susceptible,” said an official. After holding consultation meetings with all the stakeholders, the school education department will then submit a report to Telangana chief minister K Chandrasekhar Rao, who will make a decision in this regard. After holding consultation meetings with stakeholders, the school education department will then submit a report to CM K Chandrasekhar Rao, who will make a decision in this regard||http://timesofindia.indiatimes.com//city/hyderabad/edu-dept-consults-stakeholders-for-reopening-of-schools/articleshow/79069315.cms||---
November 6, 2020||Hyderabad||HT power lines: Consider Serene residents’ plea, HC tells Transco||Hyderabad: Justice A Abhishek Reddy of the Telangana high court on Thursday sought to know from Hyderabad Growth Corridor and TS Transco officials why they cannot consider the plea of residents of Serene County Owners’ Welfare Association, Gachibowli, and conceal high tension power lines in their colony, by taking them underground.  The county’s counsel Prasad Rao Vemulapalli said they were not opposed to laying HT power lines to the growth corridor. “What we are saying is that let the authorities lay them through underground cables. In any case, they have been laying such underground cables at many places. Our area is not more than 150 metres and it is not difficult for them to conceal these dangerous lines beneath the earth to this limited extent,” he said. The high court had earlier recorded the contention of Transco’s counsel Vinod Reddy that following resistance from the residents, the task of laying power lines in the county area was stopped. “Let that order continue for some more time, in the meantime, we will respond to the contentions raised in the counter filed by Transco,” the petitioner’s counsel said. In any case, the task of laying power lines would take more than six months, he added. The judge too asked the Transco counsel as to why they cannot consider the feasibility of laying the underground cable in the county area in tune with the plea of the residents. Vinod Reddy said the task of laying power lines was almost over and it was not correct to say that it would takes six months to complete the task. The judge wanted the Transco counsel to find out whether the authorities could accommodate the residents’ request and posted the case ten days later.||http://timesofindia.indiatimes.com//city/hyderabad/ht-power-lines-consider-serene-residents-plea-hc-tells-transco/articleshow/79069350.cms||---
November 6, 2020||Chandigarh||Indian, Pak activists say quest for peace vital for progress||Bathinda: Going ahead with its campaign for peace process to continue through people to people contacts between the masses from India and Pakistan, peace organisation Pakistan India Peoples’ Forum for Peace and Democracy (PIPFPD) held the third virtual edition of ‘Guftagu band na ho’ (let talks not stop) on late Saturday evening. The campaign had started on September 28 on the 113th birth anniversary of freedom fighter Bhagat Singh and in the next two editions discussed how to take forward the revolutionary legacy of South Asia through conversations and cultural expressions. Talks were held on diverse subcontinental progressive communities to understand the relevance of the revolutionary ideals and framework of Bhagat Singh and associates and to bring together multiple political views of young socio-cultural-political activists to ensure that the conversations do not stop. It was felt that vested national interests might stop them from speaking, but digitally and in spirit they are together and efforts for progress on the count should never be allowed to die. The speakers said it is important to remember that the borders have killed, separated and continue to perpetuate violence, so the quest for peace is vital. Peace activist Naghma Iqtidar said, “Continuous attempts are on to stifle progressive voices, so Bhagat Singh’s voice should be used in times when people want us to fight in our countries where more money is spent on defence than on education.” “We want to share cultures across the borders, we share these already. Open the trade routes and let us thrive. We do not want to smuggle. Unleash us from these colonial shackles,” said another peace activist. Hussain Haidry, one of the voices at protests against CAA, said, “We must keep speaking or we end up being mute spectators.” Writer and civil rights activist Banojyotsna Lahiri said during protests against CAA, it was felt that the voices from margins and oppressed are emerging and they are getting courageous. Voices from linguistic minorities are also coming out, which is necessary, she said. Documentary maker Azhar Shan performed on peace, cooperation, love and a shared sense of togetherness across the borders in India and Pakistan. Activist Madhuresh Kumar spoke about the lineage of post-colonial and liberal development, which has eroded the collective strength of the working classes in Pakistan and elsewhere.||http://timesofindia.indiatimes.com//city/chandigarh/indian-pak-activists-say-quest-for-peace-vital-for-progress/articleshow/79071001.cms||Neel Kamal
November 6, 2020||Lucknow||LDA silence over encroachment near PGI irks HC||Lucknow: The Lucknow bench of Allahabad high court on Wednesday expressed serious concern on the encroachment near SGPGI, causing obstruction in smooth movement of vehicles, especially ambulances. A bench of Justice Pankaj Mithal and Justice Saurabh Lavania said, “We are surprised at the silence of district magistrate and vice-chairman of Lucknow Development Authority in such an important matter in taking action for removal of encroachment in an area near the main entrance of SGPGI.” The bench, however, clarified that this order would not mean to authorize LDA to demolish any construction without following due law. The bench was hearing a PIL filed by P S Pandey in 2018 for removal of encroachment near the main entrance of SGPGI. On an order of the bench, an eight-member team was constituted for submitting a report with regard to the action being taken against encroachers, but as the report was not submitted and the encroachment not removed, the court on December 6, 2019, granted a week to the DM and LDA for compliance of the earlier order and submitting the report. “In pursuance of the said order, it appears that the team has submitted a report on December 12, 2019, pointing out about specific permanent encroachment and other encroachment, but we find that no action whatsoever has been taken so far,” the bench observed.||http://timesofindia.indiatimes.com//city/lucknow/lda-silence-over-encroachment-near-pgi-irks-hc/articleshow/79071003.cms||---
