date,title,newspaper
2020-09-03,Angry tillers swim in farms to protest apathy,timesofindia
2020-09-03,"Mapusa ryots want devpt plan rectified, warn of stir",timesofindia
2020-09-03,Kerala: CBI to conduct second autopsy on Friday,timesofindia
2020-09-03,Rajasthan VAT on petrol and diesel highest in country,timesofindia
2020-09-03,Himachal Jal Shakti minister Mahender Singh tests positive for Covid-19,hindustantimes
2020-09-03,"161 found infected with Covid, Himachal hits 6.4k",timesofindia
2020-09-04,"Liquor shop owner murdered, shot 16 times; another critical",hindustantimes
2020-09-04,Centre working on rejuvenation of 13 rivers across the country: Prakash Javadekar,deccanherald
2020-09-04,Farmer sells land to help son fulfil Isro ambition,telegraph
2020-09-04,"Congress piles economy heat on Modi, Nirmala",telegraph
2020-09-04,"AAP alleges corruption in MCDs, BJP terms it ‘bunch of lies’",hindustantimes
2020-09-04,JJP MLA from Tohana takes on govt over ‘errant’ electricity officials,tribune-haryana
2020-09-04,Delhi’s Signature Bridge leaves black mark,timesofindia
2020-09-04,Himachal sees biggest single-day spike with 215 fresh Covid-19 infections,hindustantimes
2020-09-04,Chandigarh Transport Undertaking to resume interstate buses from Sept 16,hindustantimes
2020-09-04,Farmers’ body seeks opinion poll on power sector reforms,hindu
2020-09-04,Encouraging organic farming by rearing cows,hindu
2020-09-04,BJP to form state- and district-level executive bodies in Haryana,hindustantimes
2020-09-04,"Delhi: Armed with SC order, railways gears up to remove squatters",timesofindia
2020-09-04,Trouble mounts for ex-DGP Saini as SIT gets more time to arrest him,hindustantimes
2020-09-04,Religious places to reopen in Himachal from September 10,hindustantimes
2020-09-04,Mandi strike may jack up veggie prices,timesofindia
2020-09-04,Thanjavur farmers denied compensation protest,timesofindia
2020-09-04,Farmers’ union leader found dead near Jewar-Bulandshahr highway,timesofindia
2020-09-04,AAP alleges graft in Bhalswa project; BJP rejects claim,timesofindia
2020-09-04,Green shoots in Wayanad’s traditional rice conservation,hindu
2020-09-05,"To tackle stubble-burning, govt to post nodal officers",tribune-punjab
2020-09-05,"RBI revamps norms for priority sector loans, adds startups",timesofindia
2020-09-05,Mukhtar men demolish his wife’s property in Ghazipur,timesofindia
2020-09-05,‘Maths Magic Box’ gets kids fascinated,timesofindia
2020-09-05,‘Negligence in release from Narmada dam eroded soil’,timesofindia
2020-09-05,Madhya Pradesh: Supply crisis loom as veggie arrival drops on strike day 2,timesofindia
2020-09-05,"Accountant, 52, carjacked at gunpoint near Baddowal",timesofindia
2020-09-05,Punjab rice exporters demand clarity on agriculture ordinance,hindu
2020-09-05,3 succumb to Covid-19 in Himachal Pradesh; death toll at 52,deccanherald
2020-09-05,Funeral of Kerala custodial death victim held after 40 days of protest by family,deccanherald
2020-09-05,"Hit by floods, farmers still counting losses",timesofindia
2020-09-05,"Jharkhand farmers allege fertilizer price hike, govt suspends 500 dealers",hindustantimes
2020-09-05,4 held for two murders aimed at stirring communal tensions in MP,hindustantimes
2020-09-05,"RBI alters priority sector norms to help start-ups, farmers avail loans",hindu
2020-09-05,Chandigarh-Manali highway blocked due to landslides in Mandi district,hindustantimes
2020-09-05,One held for shooting liquor shop owner,hindustantimes
2020-09-05,A woman of substance and a man of steel,hindu
2020-09-05,"RBI revamps rules for priority sector loans, adds startups",timesofindia
2020-09-05,Farmer commits suicide in Bundelkhand region,hindustantimes
2020-09-05,Four die in Jodhpur after tree falls due to heavy rain,timesofindia
2020-09-06,Chandigarh-Manali highway remains blocked for second day,hindustantimes
2020-09-06,BHU student missing for six months after being picked up by cops,telegraph
2020-09-06,"Basmati exporters uncertain, seek clarity over imposition of market fee, RDF",hindustantimes
2020-09-06,Himachal sees biggest single-day spike with 397 new Covid-19 cases,hindustantimes
2020-09-06,Farmer’s body buried after 40 days,hindu
2020-09-06,"Cong MLA, IAS officer among 188 test positive, Himachal tally reaches 7,018",hindustantimes
2020-09-06,No child’s play: One-year-old boy swallows venomous snakelet while playing in courtyard in Bareilly,timesofindia
2020-09-06,Upasi seeks govt help to revive coffee industry,timesofindia
2020-09-06,Village stories open virtual chapter,timesofindia
2020-09-06,Sitapur farmer’s son tops Uttar Pradesh BEd entrance exam,timesofindia
2020-09-06,"Delhi: Teachers do ‘double’ shift, at classes and as Covid checkers",timesofindia
2020-09-06,"HP toll crosses 50 as 4 more die, tally hits 7,018",timesofindia
2020-09-06,Farmers burn copies of agriculture ordinances,timesofindia
2020-09-06,Farmers burn copies of electricity bills,timesofindia
2020-09-06,Farmers burn copies of new ordinances in Kurukshetra,tribune-haryana
2020-09-06,‘Farm bodies to protest outside Parliament when agri ordinances are debated’,timesofindia
2020-09-06,Hundreds of vehicles stuck due to rockslide on Chandigarh-Manali national highway,timesofindia
2020-09-06,IPS probationers from Telangana eager to serve home state,timesofindia
2020-09-06,Tenant farmers seek inclusion in PM scheme,timesofindia
2020-09-06,Vegetables price soar in Patna as local supply chain hit,timesofindia
2020-09-06,"Covid norms: Cops more harsh on activists than netas, suggest 10 FIRs",tribune-punjab
2020-09-06,CPDCL gears up to implement free agriculture power scheme,hindu
2020-09-06,"One-year-old swallows snakelet, survives",tribune-nation
2020-09-06,Delhi Metro set to resume services from tomorrow after 169-day hiatus,tribune-nation
2020-09-06,Peddler held with heroin worth Rs35L in Sirsa,tribune-haryana
2020-09-07,FM Manpreet Badal violates social distancing norms,tribune-punjab
2020-09-07,Delhi govt clinics work overtime to ramp up Covid-19 testing,hindustantimes
2020-09-07,Groundnut farmers at their wits’ end,hindu
2020-09-07,"Cotton crop hit by whitefly, girdawari must: Minister",tribune-haryana
2020-09-07,Body shifted in earth mover,hindu
2020-09-07,Left questions WB’s claim of no farmer suicide in 2019,hindu
2020-09-07,Portal for profit: e-NAM needs redesigning,telegraph
2020-09-07,The rise and fall of two UP strongmen,hindustantimes
2020-09-07,Covid scare in HP assembly: BJP MLA tests positive on Day 1 of monsoon session,hindustantimes
2020-09-07,Another Banaras Hindu University student missing,telegraph
2020-09-07,Himachal records 397 positive cases,timesofindia
2020-09-07,Punjab farmers hold protest against farm ordinances,deccanherald
2020-09-07,Rajasthan: Local shops hopeful as Ajmer dargah opens today,timesofindia
2020-09-07,"Ahead of Mumbai return, Bollywood actor Kangana Ranaut gets Y+ CRPF security cover",hindustantimes
2020-09-07,"MC to issue notices to PGs, hostels from today on property tax dues",timesofindia
2020-09-08,Gir Somnath farmers protest laying of 27-km BG line,timesofindia
2020-09-08,"Congress launches campaign from Bihar's Champaran, attacks CM Nitish Kumar",timesofindia
2020-09-08,3 held for clandestinely burying farmer who was electrocuted,timesofindia
2020-09-08,Mau cops seize vehicles of Mukhtar’s associate,timesofindia
2020-09-08,Farmers raise DBT concerns over free power,timesofindia
2020-09-08,"Maharashtra Assembly approves supplementary demands of Rs 29,000 crore",deccanherald
2020-09-08,Govt to rope in tech-savvy villages to push crop survey,deccanherald
2020-09-08,"Book for a book, not bullets",deccanherald
2020-09-08,Petrol pump owner shot dead in Jaipur,timesofindia
2020-09-08,"T govt-Centre spar, urea in short supply",timesofindia
2020-09-08,Transportation of 965 tonne goods via Vishesh trains helps Railways fetch Rs 34L,timesofindia
2020-09-08,Farmer body reports damage to cotton due to pest attack,timesofindia
2020-09-08,Women protest for debt waiver,tribune-punjab
2020-09-08,TNPCB recommends closure of 183 brick kilns in Thadagam valley,hindu
2020-09-08,Street veggie markets to be a regular feature,hindu
2020-09-08,Kangana Ranaut’s COVID-19 sample comes inconclusive,tribune-nation
2020-09-08,"HP logs 4 deaths, 171 fresh Covid-19 infections",hindustantimes
2020-09-08,Centre’s research body to aid UP returnees in starting fisheries business,hindustantimes
2020-09-08,31-year-old in custody for alleged sexual assault of minor girl in Pune,hindustantimes
2020-09-08,Farmer gets electricity bill of over Rs 3 crore for 2 months. This followed,hindustantimes
2020-09-08,Lightning kills a dozen people across Jharkhand,hindustantimes
2020-09-08,"Himachal records 1 Covid death, 245 cases; legislator tests +ve after session",timesofindia
2020-09-08,Whitefly-hit cotton fields inspected,tribune-haryana
2020-09-08,Kallikudi market to open from tomorrow,timesofindia
2020-09-08,Congress opposes power meters for farm connections,hindu
2020-09-08,Chief Secretary’s orders set the ball rolling,hindu
2020-09-08,Farmers start campaign against agri ordinances,hindu
2020-09-09,"Udaipur man gets Rs 3.71-cr power bill, villagers shocked",timesofindia
2020-09-09,Covid-19 reaches community transmission stage in Shimla,deccanherald
2020-09-09,PM-Kisan scam: Rs. 110 crore paid to 5.5 lakh ineligible persons,hindu
2020-09-09,Arhtiyas threaten to boycott paddy procurement over pending dues,timesofindia
2020-09-09,"Joint survey of Gurugram-Faridabad metro project conducted, station near Ghata to be proposed",hindustantimes
2020-09-09,Gurugram: MCG plans to adopt measures taken by Indore civic body,hindustantimes
2020-09-09,Family of SFJ’s Gurpatwant Pannun migrated from Pak to Amritsar village during Partition,hindustantimes
2020-09-09,"Himachal tally climbs to 8,147 with 316 new Covid-19 cases",hindustantimes
2020-09-09,Ex-CM Hooda lends support to farmers’ agitation against Central ordinances,hindustantimes
2020-09-09,"Shiv Sena’s existence is over, says Himachal CM after demolition at Kangana’s property",hindustantimes
2020-09-09,"Farmers demand spl train for Guwahati, Gorakhpur",timesofindia
2020-09-09,"No money for diesel, school dropout in Kanpur irrigates field with tube well running on LPG",hindustantimes
2020-09-09,"Farm loan waiver worked, says Congress as farmers’ suicides drop 53% in MP",hindustantimes
2020-09-09,East UP migrants to get support for starting fisheries business,hindustantimes
2020-09-09,"Kangana Ranaut tests Covid-19 negative, leaves Himachal home for Mumbai",hindustantimes
2020-09-09,1st day: Safe show at Jamalpur,timesofindia
2020-09-09,Maharashtra orders probe into Kangana’s ‘drug use’,hindustantimes
2020-09-09,We are in the process of rebuilding Andhra: CM Jaganmohan Reddy,hindustantimes
2020-09-09,Central team faces 2019 flood victims’ ire in Belagavi,timesofindia
2020-09-09,NGO spreads pre-school education in Jharkhand,telegraph
2020-09-09,Campaign to select Abe’s successor begins in Japan,hindu
2020-09-09,CPI opposes fixing of smart meters to agri pumpsets,hindu
2020-09-09,"Govt. to promote high-value spices, fruits as intercrops",hindu
2020-09-09,Ajmer cops bust gang that duped bachelors,timesofindia
2020-09-09,"Waterlogging damages cotton crop on 17,000-hectare land in Abohar",hindustantimes
2020-09-09,Only way to overcome GST crisis is to borrow money: Jaganmohan Reddy,hindustantimes
2020-09-09,"‘Repeated flooding has eroded our savings and made us bankrupt,’ farmer tells team",hindu
2020-09-09,Kurukshetra administration's no to farmers’ rally,tribune-haryana
2020-09-09,First Kisan Rail from South India chugs off with fruits to Delhi,tribune-nation
2020-09-09,Kangana Ranaut lands in Mumbai; Sena workers shout slogans against her,tribune-nation
2020-09-10,"Farmers block national highway in Haryana, hold rally against farm ordinances",deccanherald
2020-09-10,"Farmers, arhtiyas across Haryana protest against ordinance allowing private purchase of produce",tribune-haryana
2020-09-10,"Students write to Modi for free phone, Net",telegraph
2020-09-10,"Burdened with debt, farmer ends life in Uttar Pradesh village",deccanherald
2020-09-10,Redefining a farmer,hindu
2020-09-10,"PM-Kisan scam: 2,766 fake accounts detected in Krishnagiri district",hindu
2020-09-10,"2,766 fake accounts found in Krishnagiri",hindu
2020-09-10,Hooda backs farmers’ stir,tribune-haryana
2020-09-10,BKU stir against farm ordinances on Sept 15,tribune-punjab
2020-09-10,SFJ chief Pannu’s cousin tried to avert Operation Bluestar,tribune-punjab
2020-09-10,"Put off agitation, Dalal tells farmers’ union",tribune-haryana
2020-09-10,Section144 imposed in Pipli grain market,tribune-haryana
2020-09-10,Kashmir poised for a saffron surge,hindustantimes
2020-09-10,"Haryana farmers protest against farm sector ordinances, block NH-44 at Kurukshetra",hindustantimes
2020-09-10,Samajwadi Party chief Akhilesh Yadav accuses BJP government of selling country’s assets,deccanherald
2020-09-10,Punjab’s Covid capital Ludhiana grows health wise,hindustantimes
2020-09-10,Man kills wife over suspected infidelity in Pune,hindustantimes
2020-09-10,"‘Dictatorial’: INLD, Congress condemn police action against farmers in Kurukshetra",hindustantimes
2020-09-10,"Himachal’s covid tally rises to 8,319",hindustantimes
2020-09-10,"3 more casualties take Himachal toll to 61, total cases cross 8k",timesofindia
2020-09-10,"Farmers lathicharged at Pipli near Kurukshetra for defying prohibitory orders, finally given nod to hold rally",hindustantimes
2020-09-10,SP Chief Akhilesh Yadav accuses BJP govt of selling country’s assets,hindustantimes
2020-09-10,"On way to Haryana farmers’ protest at Pipli, Meham MLA Balraj Kundu arrested, later released",hindustantimes
2020-09-10,30 more shops open in Kallikudi market,timesofindia
2020-09-10,Lallu meets kin of farmers who committed suicide,timesofindia
2020-09-10,"At Khankot, Pannun’s native village, residents say have never met him",timesofindia
2020-09-10,Kangana’s mother expresses gratitude to Amit Shah for providing security cover,tribune-nation
2020-09-10,"Seshadripuram police conducts raids in Bidar and Kalaburagi; 1,352 kg ganja seized",deccanherald
2020-09-10,"Delhi Metro ridership crosses 53,000 as Blue and Pink lines reopen",hindustantimes
2020-09-10,Big delay in tur payments to farmers: CAG,timesofindia
2020-09-11,PM-Kisan scheme: combination of factors led to scam in Tamil Nadu,hindu
2020-09-11,High drama as legislator stopped on way to Pipli,tribune-haryana
2020-09-11,Kisan sabha: Govt trying to muzzle voice of farmers,tribune-haryana
2020-09-11,"Protect mandi, MSP system: Hooda to govt",tribune-haryana
2020-09-11,Farm activists stopped midway,tribune-haryana
2020-09-11,SIT to probe ‘expensive’ COVID kit purchases in U.P.,hindu
2020-09-11,580 fake accounts in Erode district,hindu
2020-09-11,Ryots on a warpath against metering of farm pumpsets,hindu
2020-09-11,580 fake accounts detected in Erode,hindu
2020-09-11,"Agitation to continue, farmers need say in policy making: Haryana Bharatiya Kisan Union chief",hindustantimes
2020-09-11,"Farmers’ stir: BJP, JJP leaders demand a fair probe into lathicharge on protesters in Kurukshetra",hindustantimes
2020-09-11,"Cong leaders make beeline for Kurukshetra, extend support to protesting farmers",hindustantimes
2020-09-11,Bihar medical aspirant shoots self while taking selfie with father’s pistol,hindustantimes
2020-09-11,Mumbai firm to dismantle thermal plant at Bathinda but iconic towers will stay,hindustantimes
2020-09-11,"Farm unions scale up efforts to get youth, women into their fold",hindustantimes
2020-09-11,"Rs. 59 lakh recovered from 2,987 ineligible accounts under PM-KISAN scheme",hindu
2020-09-11,National Commission for Women urged to look into allegation of BMC harassing Kangana Ranaut,hindustantimes
2020-09-11,"Stopped from reaching rally, farmers clash with cops",tribune-haryana
2020-09-11,"BJP MLA writes to Amit Shah over Kangana Ranaut, alleges Dawood angle",hindustantimes
2020-09-11,Bee-keeping class in Eco Park,telegraph
2020-09-11,Haryana farmers protest against farm ordinance,hindu
2020-09-11,Monsoon plan in place at RGIA,hindu
2020-09-11,‘App-based crop survey must from next year’,hindu
2020-09-11,"‘Vikel Te Pikel’ initiative: Maharashtra government to connect farmers with 1,370 market-based value chains",hindustantimes
2020-09-11,ASI with medical condition has meltdown at Chandigarh ISBT,hindustantimes
2020-09-11,An agriculture-led revival as flawed claim,hindu
2020-09-11,"Delhi: Shift in Covid times a worry, thousands despair about their lives going off track",timesofindia
2020-09-11,"Minister announces grants for godown, vehicles",timesofindia
2020-09-11,UP: FIR against Gayatri Prasad Prajapati & rape complainant for ‘striking deal’,timesofindia
2020-09-11,Winds of inter-change: Ridership up 60%,timesofindia
2020-09-11,Voice for arrest of officials gets stronger,timesofindia
2020-09-11,Regularise workers: Assciation,tribune-punjab
2020-09-11,"Suicide cases rise by 44% in Bihar, highest in country",timesofindia
2020-09-11,PM Narendra Modi lays foundation for Rs 295-crore projects in Bihar,timesofindia
2020-09-11,No land to land solatium to Mucherla farmers,timesofindia
2020-09-11,"Uttar Pradesh: SIT to probe purchase rates of oximeters, thermometers",timesofindia
2020-09-11,Businessman’s murder: Nephew’s role under police lens,timesofindia
2020-09-11,"AP: Govt to spend Rs 6,000 crore for multipurpose facilities at RBKs",timesofindia
2020-09-11,"1,200kg ganja seized from sheep pen in Kalaburagi",timesofindia
2020-09-11,Land reforms: Unfinished business,deccanherald
2020-09-11,"UT cop goes berserk, damages cars, snatches phones",timesofindia
2020-09-11,Cannabis grown in north Karnataka villages supplied to religious institutions,timesofindia
2020-09-12,"Farmer kills boy, 14, after fight over watering fields",timesofindia
2020-09-12,Gujarat: Cotton farmer immolates self to death,timesofindia
2020-09-12,Many genuine farmers left out of PM Kisan Scheme in Tamil Nadu,timesofindia
2020-09-12,Many genuine farmers left out of PM Kisan Scheme in Tamil Nadu,timesofindia
2020-09-12,Many genuine farmers left out of PM Kisan Scheme in Tamil Nadu,timesofindia
2020-09-12,Kisan Rail reaches Delhi in 40 hours,hindu
2020-09-12,Farmers welcome relaxations for agri power connections,hindu
2020-09-12,Capt Amarinder rolls out state-wide Smart Ration Card scheme to cover 1.41 cr NFSA beneficiaries,tribune-punjab
2020-09-12,Withdraw cases against farmers: Cong.,hindu
2020-09-12,A portrait of vibrant India,hindu
2020-09-12,Sex work with face masks and hand sanitisers,hindu
2020-09-12,"Ex-min Prajapati arrested again, in 14-day remand",timesofindia
2020-09-12,Muzaffarnagar farmers stage protest to seek fair compensation for their land acquired for road,timesofindia
2020-09-12,"4 lose battle, 318 +ve in Himachal; tally near 9,000",timesofindia
2020-09-12,East corporation gets 6 more trommel machines for Delhi's Ghazipur landfill,timesofindia
2020-09-12,Zilla parishad teacher in Palghar works hard to arrest dropout rate,timesofindia
2020-09-12,"After Kurukshetra rally, farmers to march till Parliament",timesofindia
2020-09-12,Agitated farmers protest outside deputy CM’s residence in Sirsa,timesofindia
2020-09-12,Strong buzz about Kangana Ranaut and family joining saffron party,timesofindia
2020-09-12,Rs. 300-crore package for Odisha farmers,hindu
2020-09-12,Odisha package for farmers hit by floods,telegraph
2020-09-12,Haryana: Om Parkash Dhankar sets up 3-member panel for talks with farmers,timesofindia
2020-09-12,Raghuvansh lists demands in letters to Nitish,telegraph
2020-09-12,Many genuine farmers left out of PM Kisan Scheme in Tamil Nadu,timesofindia
2020-09-12,Government lines up 23 Bills for Monsoon session,deccanherald
2020-09-12,"Low production, quality may mar Kashmir’s apple industry",deccanherald
2020-09-12,"Govt’s 3 farm ordinances ‘death knell’ for agriculture, alleges Cong",tribune-nation
2020-09-12,Agriculture reform ordinances ‘more about agri-businesses than farmers’: Agri activists,tribune-nation
2020-09-12,Bill to cut MPs’ salaries for a year among 23 on agenda,tribune-nation
2020-09-12,News updates from Hindustan Times: PM Modi says no carelessness till Covid-19 medicine is developed and all the latest news,hindustantimes
2020-09-12,"Relocate, then demolish: Delhi govt’s slum board to railways",hindustantimes
2020-09-12,Four FIRs day after farmers & cops clash,timesofindia
2020-09-12,"Maize prices crashed this time, repeat feared during basmati, cotton season",hindustantimes
2020-09-12,Former UP minister Gayatri Prajapati’s jail stay got longer despite bail,hindustantimes
2020-09-12,"Take back cases, Bhupinder Hooda warns govt",tribune-haryana
2020-09-12,"Common interests get peasants, arhtiyas together on one platform",tribune-haryana
2020-09-12,"Day later, farmers booked in Kurukshetra",tribune-haryana
2020-09-12,Ludhiana farmer bludgeons 14-year-old in brawl over watering crops,hindustantimes
2020-09-12,‘Rs. 1.8 crore recovered from ineligible accounts’,hindu
2020-09-12,Many genuine farmers left out of PM Kisan Scheme in Tamil Nadu,timesofindia
2020-09-12,"UP don Mukhtar Ansari’s wife, her two brothers booked under gangsters act",hindustantimes
2020-09-12,Punjab CM rolls out state-wide smart ration card scheme to cover 1.41 crore beneficiaries,hindustantimes
2020-09-12,Mandi reports maximum 162 rapes in Himachal over past three years,hindustantimes
2020-09-12,NSA to be imposed against men suspected of murdering Dalit man,hindustantimes
2020-09-12,SAD appeals to Centre not to enact laws on farm ordinances till redressal of farmers’ fears,hindustantimes
2020-09-12,Many genuine farmers left out of PM Kisan Scheme in Tamil Nadu,timesofindia
2020-09-12,"Bharatiya Kisan Union chief, 300 unknown people booked for damaging property",hindustantimes
2020-09-13,Congress wages farm fight against Modi govt ordinances,telegraph
2020-09-13,"Accused of hooch trade by husband, woman held",telegraph
2020-09-13,"Delhi slum eviction: Covid-19 took away everything, now roof being taken away, say residents",deccanherald
2020-09-13,Opposition trying to create doubt about farm ordinances: BJP,deccanherald
2020-09-13,NSA likely against those accused of killing farmer in UP’s Malihabad,hindustantimes
2020-09-13,Haryana farmers protest against three agriculture ordinances,hindustantimes
2020-09-13,Three-member panel meets Haryana farmers to hear grievances,hindustantimes
2020-09-13,Kerala police grow organic vegetables in confiscated vehicles stranded outside stations: Report,deccanherald
2020-09-13,"Congress says ordinances will hurt farmers, affect food procurement system",hindustantimes
2020-09-13,BJP MPs meet farmers protesting in Haryana,hindustantimes
2020-09-13,"Modi govt. is anti-farmer, says Congress",hindu
2020-09-13,Paddy farmers begin preparing nursery,hindu
2020-09-13,BKU threatens to block roads in Haryana on Sept 20 against Central ordinances,hindustantimes
2020-09-13,"Virus claims four more lives in Himachal, toll 75",hindustantimes
2020-09-13,Prices of onions shoot up in Tiruchi,hindu
2020-09-13,Sukhbir Singh Badal's 'U-turn' on farm ordinances cheap gimmick: Punjab CM,deccanherald
2020-09-13,‘A good parliamentarian and a grassroot level leader’: Political leaders condole Raghuvansh Prasad Singh’s death,hindustantimes
2020-09-13,"BJP’s policies would ruin small farmers, bizmen: Selja",hindustantimes
2020-09-13,"MP farmer arrested for causing brother’s death, hiding corpse",hindustantimes
2020-09-13,PM Kisan applicants in Tamil Nadu to undergo double scrutiny,timesofindia
2020-09-13,"BSP MLA Mukhtar Ansari's wife, kin booked under Gangster Act",tribune-nation
2020-09-13,"Decide fate of sugar factory by Sept 25, demand farmers",timesofindia
2020-09-13,"Rohtak farmers meet BJP panel,  give suggestions on ordinances",tribune-haryana
2020-09-13,"Delhi slum eviction: COVID pandemic took away everything, now roof being taken away, say residents",tribune-nation
2020-09-13,"Himachal reports 2 more deaths, 445 test positive",timesofindia
2020-09-13,200 farmers booked over Covid curbs,timesofindia
2020-09-13,Agitation on despite curbs in Bathinda,tribune-punjab
2020-09-13,"Will raise farmers’ concerns, put suggestions before Centre: BJP MPs",timesofindia
2020-09-13,"UP: Gangsters Act slapped on Mukhtar Ansari’s wife, her brothers",timesofindia
2020-09-13,"Farmers, citizens to put green back in Guirim coconut trees",timesofindia
2020-09-13,Farmers protest in Haryana and Punjab: What has happened so far,hindustantimes
2020-09-13,Parliament Monsoon Session: Opposition to target 3 agriculture Ordinances,deccanherald
2020-09-13,"Post protests, SAD makes U-turn on ordinances in Punjab",tribune-punjab
2020-09-13,"Delhi slum eviction: Coronavirus took away everything, now roof's taken away too, say residents",deccanherald
2020-09-13,Congress-led Opposition to oppose 4 ordinances in Monsoon Session,tribune-nation
2020-09-14,Parliament's Monsoon session off to a stormy start,deccanherald
2020-09-14,"Mukhtar Ansari's wife, her two brothers booked under Gangster Act: Police",deccanherald
2020-09-14,Chinks in the armour,tribune-punjab
2020-09-14,Farm Ordinances: Congress seeks to revive 2014 land bill movement,deccanherald
2020-09-14,Farmers seeks special girdawari in mahapanchayat in Hisar,tribune-haryana
2020-09-14,"Farmers’ Ordinances: Akalis to join hands with Haryana’s JJP, Jat Mahasabha, UP farmers for joint strategy",tribune-haryana
2020-09-14,Chinks in the armour,tribune-haryana
2020-09-14,"MSP will stay, farmers will get investment, technology: Govt on farm sector Bills",deccanherald
2020-09-14,"MSP will stay, farmers will get investment, technology, Centre on farm sector Bills",tribune-nation
